 

stn;time;hns000d0
URN;19781005;0
URN;19781006;0
URN;19781007;0
URN;19781008;0
URN;19781009;0
URN;19781010;0
URN;19781011;0
URN;19781012;0
URN;19781013;0
URN;19781014;0
URN;19781015;0
URN;19781016;0
URN;19781017;3
URN;19781018;-
URN;19781019;0
URN;19781020;-
URN;19781021;-
URN;19781022;-
URN;19781023;-
URN;19781024;0
URN;19781025;-
URN;19781026;-
URN;19781027;0
URN;19781028;0
URN;19781029;0
URN;19781030;0
URN;19781031;0
URN;19781101;0
URN;19781102;0
URN;19781103;0
URN;19781104;0
URN;19781105;0
URN;19781106;0
URN;19781107;0
URN;19781108;0
URN;19781109;0
URN;19781110;0
URN;19781111;0
URN;19781112;0
URN;19781113;0
URN;19781114;0
URN;19781115;0
URN;19781116;-
URN;19781117;0
URN;19781118;0
URN;19781119;0
URN;19781120;0
URN;19781121;0
URN;19781122;0
URN;19781123;0
URN;19781124;0
URN;19781125;8
URN;19781126;20
URN;19781127;3
URN;19781128;9
URN;19781129;0
URN;19781130;0
URN;19781201;0
URN;19781202;0
URN;19781203;0
URN;19781204;0
URN;19781205;0
URN;19781206;0
URN;19781207;0
URN;19781208;0
URN;19781209;0
URN;19781210;0
URN;19781211;0
URN;19781212;0
URN;19781213;0
URN;19781214;0
URN;19781215;0
URN;19781216;5
URN;19781217;0
URN;19781218;0
URN;19781219;0
URN;19781220;0
URN;19781221;0
URN;19781222;0
URN;19781223;0
URN;19781224;0
URN;19781225;0
URN;19781226;0
URN;19781227;0
URN;19781228;0
URN;19781229;0
URN;19781230;0
URN;19781231;0
URN;19790101;5
URN;19790102;4
URN;19790103;1
URN;19790104;0
URN;19790105;0
URN;19790106;0
URN;19790107;0
URN;19790108;0
URN;19790109;5
URN;19790110;4
URN;19790111;10
URN;19790112;5
URN;19790113;2
URN;19790114;0
URN;19790115;0
URN;19790116;2
URN;19790117;0
URN;19790118;0
URN;19790119;0
URN;19790120;0
URN;19790121;0
URN;19790122;0
URN;19790123;0
URN;19790124;5
URN;19790125;0
URN;19790126;10
URN;19790127;0
URN;19790128;3
URN;19790129;5
URN;19790130;5
URN;19790131;1
URN;19790201;0
URN;19790202;0
URN;19790203;0
URN;19790204;0
URN;19790205;1
URN;19790206;0
URN;19790207;0
URN;19790208;0
URN;19790209;0
URN;19790210;0
URN;19790211;0
URN;19790212;0
URN;19790213;0
URN;19790214;0
URN;19790215;0
URN;19790216;0
URN;19790217;0
URN;19790218;3
URN;19790219;0
URN;19790220;0
URN;19790221;0
URN;19790222;3
URN;19790223;5
URN;19790224;0
URN;19790225;0
URN;19790226;0
URN;19790227;0
URN;19790228;0
URN;19790301;0
URN;19790302;0
URN;19790303;0
URN;19790304;0
URN;19790305;0
URN;19790306;0
URN;19790307;3
URN;19790308;0
URN;19790309;5
URN;19790310;0
URN;19790311;0
URN;19790312;0
URN;19790313;0
URN;19790314;0
URN;19790315;3
URN;19790316;0
URN;19790317;0
URN;19790318;0
URN;19790319;0
URN;19790320;0
URN;19790321;2
URN;19790322;0
URN;19790323;5
URN;19790324;0
URN;19790325;0
URN;19790326;0
URN;19790327;0
URN;19790328;10
URN;19790329;5
URN;19790330;5
URN;19790331;0
URN;19790401;0
URN;19790402;0
URN;19790403;3
URN;19790404;2
URN;19790405;5
URN;19790406;20
URN;19790407;3
URN;19790408;0
URN;19790409;0
URN;19790410;0
URN;19790411;-
URN;19790412;-
URN;19790413;0
URN;19790414;0
URN;19790415;0
URN;19790416;3
URN;19790417;3
URN;19790418;-
URN;19790419;0
URN;19790420;-
URN;19790421;-
URN;19790422;-
URN;19790423;-
URN;19790424;-
URN;19790425;-
URN;19790426;-
URN;19790427;5
URN;19790428;0
URN;19790429;0
URN;19790430;-
URN;19790501;-
URN;19790502;5
URN;19790503;2
URN;19790504;3
URN;19790505;2
URN;19790506;0
URN;19790507;0
URN;19790508;0
URN;19790509;0
URN;19790510;-
URN;19790511;-
URN;19790512;-
URN;19790513;0
URN;19790514;0
URN;19790515;0
URN;19790516;0
URN;19790517;0
URN;19790518;0
URN;19790519;0
URN;19790520;-
URN;19790521;0
URN;19790522;0
URN;19790523;0
URN;19790524;-
URN;19790525;0
URN;19790526;0
URN;19790527;-
URN;19790528;0
URN;19790529;0
URN;19790530;0
