 

stn;time;hns000d0
CVI;19791101;0
CVI;19791102;0
CVI;19791103;0
CVI;19791104;-
CVI;19791105;-
CVI;19791106;-
CVI;19791107;-
CVI;19791108;-
CVI;19791109;-
CVI;19791110;-
CVI;19791111;0
CVI;19791112;-
CVI;19791113;0
CVI;19791114;-
CVI;19791115;-
CVI;19791116;0
CVI;19791117;0
CVI;19791118;-
CVI;19791119;0
CVI;19791120;0
CVI;19791121;0
CVI;19791122;0
CVI;19791123;0
CVI;19791124;0
CVI;19791125;0
CVI;19791126;0
CVI;19791127;0
CVI;19791128;0
CVI;19791129;0
CVI;19791130;0
CVI;19791201;0
CVI;19791202;0
CVI;19791203;0
CVI;19791204;0
CVI;19791205;0
CVI;19791206;0
CVI;19791207;0
CVI;19791208;-
CVI;19791209;-
CVI;19791210;-
CVI;19791211;1
CVI;19791212;0
CVI;19791213;-
CVI;19791214;-
CVI;19791215;5
CVI;19791216;-
CVI;19791217;-
CVI;19791218;10
CVI;19791219;2
CVI;19791220;0
CVI;19791221;0
CVI;19791222;0
CVI;19791223;0
CVI;19791224;0
CVI;19791225;0
CVI;19791226;0
CVI;19791227;0
CVI;19791228;6
CVI;19791229;20
CVI;19791230;5
CVI;19791231;3
CVI;19800101;0
CVI;19800102;10
CVI;19800103;-
CVI;19800104;-
CVI;19800105;-
CVI;19800106;5
CVI;19800107;2
CVI;19800108;0
CVI;19800109;0
CVI;19800110;-
CVI;19800111;0
CVI;19800112;0
CVI;19800113;0
CVI;19800114;0
CVI;19800115;0
CVI;19800116;0
CVI;19800117;0
CVI;19800118;0
CVI;19800119;0
CVI;19800120;6
CVI;19800121;8
CVI;19800122;-
CVI;19800123;-
CVI;19800124;-
CVI;19800125;0
CVI;19800126;0
CVI;19800127;0
CVI;19800128;0
CVI;19800129;0
CVI;19800130;0
CVI;19800131;-
CVI;19800201;5
CVI;19800202;3
CVI;19800203;-
CVI;19800204;-
CVI;19800205;-
CVI;19800206;-
CVI;19800207;-
CVI;19800208;0
CVI;19800209;0
CVI;19800210;-
CVI;19800211;0
CVI;19800212;0
CVI;19800213;0
CVI;19800214;0
CVI;19800215;0
CVI;19800216;-
CVI;19800217;0
CVI;19800218;0
CVI;19800219;0
CVI;19800220;0
CVI;19800221;0
CVI;19800222;-
CVI;19800223;0
CVI;19800224;0
CVI;19800225;0
CVI;19800226;0
CVI;19800227;0
CVI;19800228;0
CVI;19800229;0
CVI;19800301;0
CVI;19800302;0
CVI;19800303;0
CVI;19800304;0
CVI;19800305;5
CVI;19800306;3
CVI;19800307;3
CVI;19800308;8
CVI;19800309;0
CVI;19800310;0
CVI;19800311;0
CVI;19800312;0
CVI;19800313;-
CVI;19800314;-
CVI;19800315;0
CVI;19800316;0
CVI;19800317;0
CVI;19800318;0
CVI;19800319;0
CVI;19800320;-
CVI;19800321;0
CVI;19800322;0
CVI;19800323;-
CVI;19800324;0
CVI;19800325;-
CVI;19800326;-
CVI;19800327;-
CVI;19800328;-
CVI;19800329;0
CVI;19800330;0
CVI;19800331;-
CVI;19800401;0
CVI;19800402;-
CVI;19800403;-
CVI;19800404;0
CVI;19800405;0
CVI;19800406;0
CVI;19800407;0
CVI;19800408;-
CVI;19800409;0
CVI;19800410;0
CVI;19800411;0
CVI;19800412;0
CVI;19800413;0
CVI;19800414;0
CVI;19800415;0
CVI;19800416;-
CVI;19800417;-
CVI;19800418;0
CVI;19800419;-
CVI;19800420;5
CVI;19800421;-
CVI;19800422;0
CVI;19800423;0
CVI;19800424;0
CVI;19800425;0
CVI;19800426;-
CVI;19800427;-
CVI;19800428;0
CVI;19800429;0
CVI;19800430;0
CVI;19800501;-
CVI;19800502;0
CVI;19800503;-
CVI;19800504;-
CVI;19800505;-
CVI;19800506;-
CVI;19800507;-
CVI;19800508;-
CVI;19800509;0
CVI;19800510;0
CVI;19800511;0
CVI;19800512;0
CVI;19800513;-
CVI;19800514;0
CVI;19800515;0
CVI;19800516;0
CVI;19800517;0
CVI;19800518;0
CVI;19800519;0
CVI;19800520;0
CVI;19800521;-
CVI;19800522;0
CVI;19800523;0
CVI;19800524;0
CVI;19800525;0
CVI;19800526;-
CVI;19800527;-
CVI;19800528;-
CVI;19800529;-
CVI;19800530;-
