 

stn;time;hns000d0
EUT;19771101;0
EUT;19771102;0
EUT;19771103;0
EUT;19771104;0
EUT;19771105;0
EUT;19771106;0
EUT;19771107;0
EUT;19771108;0
EUT;19771109;0
EUT;19771110;0
EUT;19771111;0
EUT;19771112;0
EUT;19771113;9
EUT;19771114;0
EUT;19771115;13
EUT;19771116;2
EUT;19771117;5
EUT;19771118;10
EUT;19771119;0
EUT;19771120;0
EUT;19771121;2
EUT;19771122;7
EUT;19771123;0
EUT;19771124;12
EUT;19771125;11
EUT;19771126;25
EUT;19771127;0
EUT;19771128;0
EUT;19771129;0
EUT;19771130;0
EUT;19771201;0
EUT;19771202;0
EUT;19771203;0
EUT;19771204;0
EUT;19771205;0
EUT;19771206;0
EUT;19771207;0
EUT;19771208;0
EUT;19771209;0
EUT;19771210;0
EUT;19771211;0
EUT;19771212;0
EUT;19771213;0
EUT;19771214;0
EUT;19771215;0
EUT;19771216;0
EUT;19771217;0
EUT;19771218;0
EUT;19771219;0
EUT;19771220;0
EUT;19771221;0
EUT;19771222;0
EUT;19771223;0
EUT;19771224;0
EUT;19771225;0
EUT;19771226;0
EUT;19771227;0
EUT;19771228;2
EUT;19771229;1
EUT;19771230;8
EUT;19771231;1
EUT;19780101;0
EUT;19780102;0
EUT;19780103;1
EUT;19780104;20
EUT;19780105;2
EUT;19780106;0
EUT;19780107;0
EUT;19780108;0
EUT;19780109;0
EUT;19780110;0
EUT;19780111;7
EUT;19780112;4
EUT;19780113;0
EUT;19780114;0
EUT;19780115;0
EUT;19780116;0
EUT;19780117;1
EUT;19780118;0
EUT;19780119;0
EUT;19780120;4
EUT;19780121;2
EUT;19780122;1
EUT;19780123;0
EUT;19780124;1
EUT;19780125;2
EUT;19780126;8
EUT;19780127;0
EUT;19780128;10
EUT;19780129;1
EUT;19780130;24
EUT;19780131;5
EUT;19780201;3
EUT;19780202;10
EUT;19780203;12
EUT;19780204;0
EUT;19780205;4
EUT;19780206;12
EUT;19780207;8
EUT;19780208;0
EUT;19780209;0
EUT;19780210;0
EUT;19780211;2
EUT;19780212;0
EUT;19780213;2
EUT;19780214;0
EUT;19780215;3
EUT;19780216;7
EUT;19780217;2
EUT;19780218;2
EUT;19780219;1
EUT;19780220;0
EUT;19780221;0
EUT;19780222;0
EUT;19780223;0
EUT;19780224;0
EUT;19780225;0
EUT;19780226;0
EUT;19780227;0
EUT;19780228;0
EUT;19780301;0
EUT;19780302;0
EUT;19780303;0
EUT;19780304;1
EUT;19780305;5
EUT;19780306;0
EUT;19780307;0
EUT;19780308;0
EUT;19780309;0
EUT;19780310;0
EUT;19780311;0
EUT;19780312;0
EUT;19780313;0
EUT;19780314;1
EUT;19780315;0
EUT;19780316;6
EUT;19780317;14
EUT;19780318;5
EUT;19780319;5
EUT;19780320;1
EUT;19780321;5
EUT;19780322;0
EUT;19780323;13
EUT;19780324;11
EUT;19780325;0
EUT;19780326;13
EUT;19780327;0
EUT;19780328;0
EUT;19780329;0
EUT;19780330;0
EUT;19780331;0
EUT;19780401;0
EUT;19780402;0
EUT;19780403;0
EUT;19780404;0
EUT;19780405;0
EUT;19780406;0
EUT;19780407;0
EUT;19780408;0
EUT;19780409;0
EUT;19780410;0
EUT;19780411;17
EUT;19780412;0
EUT;19780413;0
EUT;19780414;0
EUT;19780415;0
EUT;19780416;25
EUT;19780417;0
EUT;19780418;0
EUT;19780419;0
EUT;19780420;0
EUT;19780421;0
EUT;19780422;0
EUT;19780423;0
EUT;19780424;0
EUT;19780425;0
EUT;19780426;0
EUT;19780427;0
EUT;19780428;0
EUT;19780429;0
EUT;19780430;0
EUT;19780501;0
EUT;19780502;0
EUT;19780503;0
EUT;19780504;0
EUT;19780505;0
EUT;19780506;0
EUT;19780507;0
EUT;19780508;0
EUT;19780509;0
EUT;19780510;0
EUT;19780511;0
EUT;19780512;0
EUT;19780513;0
EUT;19780514;0
EUT;19780515;0
EUT;19780516;0
EUT;19780517;0
EUT;19780518;0
EUT;19780519;0
EUT;19780520;0
EUT;19780521;0
EUT;19780522;0
EUT;19780523;0
EUT;19780524;0
EUT;19780525;0
EUT;19780526;0
EUT;19780527;0
EUT;19780528;0
EUT;19780529;0
EUT;19780530;0
