 

stn;time;hns000d0
SSE;19701005;0
SSE;19701006;0
SSE;19701007;0
SSE;19701008;0
SSE;19701009;0
SSE;19701010;0
SSE;19701011;0
SSE;19701012;0
SSE;19701013;0
SSE;19701014;0
SSE;19701015;0
SSE;19701016;0
SSE;19701017;0
SSE;19701018;0
SSE;19701019;-
SSE;19701020;1
SSE;19701021;2
SSE;19701022;1
SSE;19701023;2
SSE;19701024;10
SSE;19701025;0
SSE;19701026;0
SSE;19701027;0
SSE;19701028;0
SSE;19701029;0
SSE;19701030;0
SSE;19701031;0
SSE;19701101;0
SSE;19701102;0
SSE;19701103;0
SSE;19701104;0
SSE;19701105;-
SSE;19701106;-
SSE;19701107;-
SSE;19701108;-
SSE;19701109;-
SSE;19701110;-
SSE;19701111;0
SSE;19701112;-
SSE;19701113;-
SSE;19701114;-
SSE;19701115;-
SSE;19701116;2
SSE;19701117;0
SSE;19701118;0
SSE;19701119;-
SSE;19701120;-
SSE;19701121;-
SSE;19701122;3
SSE;19701123;2
SSE;19701124;0
SSE;19701125;0
SSE;19701126;0
SSE;19701127;0
SSE;19701128;0
SSE;19701129;0
SSE;19701130;-
SSE;19701201;-
SSE;19701202;-
SSE;19701203;-
SSE;19701204;-
SSE;19701205;-
SSE;19701206;0
SSE;19701207;-
SSE;19701208;3
SSE;19701209;0
SSE;19701210;0
SSE;19701211;0
SSE;19701212;0
SSE;19701213;0
SSE;19701214;0
SSE;19701215;7
SSE;19701216;1
SSE;19701217;0
SSE;19701218;0
SSE;19701219;0
SSE;19701220;0
SSE;19701221;0
SSE;19701222;17
SSE;19701223;5
SSE;19701224;0
SSE;19701225;0
SSE;19701226;0
SSE;19701227;0
SSE;19701228;0
SSE;19701229;2
SSE;19701230;1
SSE;19701231;17
SSE;19710101;8
SSE;19710102;1
SSE;19710103;0
SSE;19710104;0
SSE;19710105;0
SSE;19710106;0
SSE;19710107;0
SSE;19710108;0
SSE;19710109;0
SSE;19710110;0
SSE;19710111;0
SSE;19710112;0
SSE;19710113;0
SSE;19710114;0
SSE;19710115;0
SSE;19710116;0
SSE;19710117;0
SSE;19710118;0
SSE;19710119;0
SSE;19710120;3
SSE;19710121;0
SSE;19710122;1
SSE;19710123;0
SSE;19710124;0
SSE;19710125;0
SSE;19710126;0
SSE;19710127;0
SSE;19710128;0
SSE;19710129;1
SSE;19710130;0
SSE;19710131;0
SSE;19710201;0
SSE;19710202;9
SSE;19710203;0
SSE;19710204;10
SSE;19710205;2
SSE;19710206;0
SSE;19710207;0
SSE;19710208;0
SSE;19710209;0
SSE;19710210;0
SSE;19710211;0
SSE;19710212;0
SSE;19710213;0
SSE;19710214;2
SSE;19710215;2
SSE;19710216;0
SSE;19710217;10
SSE;19710218;3
SSE;19710219;10
SSE;19710220;10
SSE;19710221;0
SSE;19710222;1
SSE;19710223;19
SSE;19710224;4
SSE;19710225;0
SSE;19710226;0
SSE;19710227;14
SSE;19710228;12
SSE;19710301;14
SSE;19710302;5
SSE;19710303;2
SSE;19710304;3
SSE;19710305;2
SSE;19710306;1
SSE;19710307;1
SSE;19710308;0
SSE;19710309;0
SSE;19710310;0
SSE;19710311;7
SSE;19710312;7
SSE;19710313;0
SSE;19710314;0
SSE;19710315;0
SSE;19710316;8
SSE;19710317;0
SSE;19710318;0
SSE;19710319;0
SSE;19710320;0
SSE;19710321;0
SSE;19710322;0
SSE;19710323;5
SSE;19710324;0
SSE;19710325;0
SSE;19710326;0
SSE;19710327;3
SSE;19710328;9
SSE;19710329;0
SSE;19710330;0
SSE;19710331;0
SSE;19710401;0
SSE;19710402;0
SSE;19710403;0
SSE;19710404;0
SSE;19710405;0
SSE;19710406;0
SSE;19710407;0
SSE;19710408;0
SSE;19710409;0
SSE;19710410;0
SSE;19710411;0
SSE;19710412;0
SSE;19710413;0
SSE;19710414;0
SSE;19710415;0
SSE;19710416;0
SSE;19710417;0
SSE;19710418;0
SSE;19710419;0
SSE;19710420;0
SSE;19710421;0
SSE;19710422;0
SSE;19710423;0
SSE;19710424;0
SSE;19710425;0
SSE;19710426;0
SSE;19710427;0
SSE;19710428;6
SSE;19710429;0
SSE;19710430;0
SSE;19710501;-
SSE;19710502;-
SSE;19710503;-
SSE;19710504;-
SSE;19710505;-
SSE;19710506;0
SSE;19710507;0
SSE;19710508;0
SSE;19710509;0
SSE;19710510;0
SSE;19710511;-
SSE;19710512;0
SSE;19710513;-
SSE;19710514;0
SSE;19710515;-
SSE;19710516;0
SSE;19710517;0
SSE;19710518;0
SSE;19710519;0
SSE;19710520;-
SSE;19710521;-
SSE;19710522;-
SSE;19710523;-
SSE;19710524;-
SSE;19710525;-
