 

stn;time;hns000d0
TDG;20131020;0
TDG;20131021;0
TDG;20131022;0
TDG;20131023;0
TDG;20131024;0
TDG;20131025;0
TDG;20131026;0
TDG;20131027;0
TDG;20131028;0
TDG;20131029;0
TDG;20131030;0
TDG;20131031;0
TDG;20131101;0
TDG;20131102;0
TDG;20131103;0
TDG;20131104;0
TDG;20131105;0
TDG;20131106;0
TDG;20131107;0
TDG;20131108;0
TDG;20131109;0
TDG;20131110;1
TDG;20131111;0
TDG;20131112;0
TDG;20131113;0
TDG;20131114;2
TDG;20131115;0
TDG;20131116;0
TDG;20131117;0
TDG;20131118;0
TDG;20131119;5
TDG;20131120;13
TDG;20131121;3
TDG;20131122;0
TDG;20131123;0
TDG;20131124;0
TDG;20131125;0
TDG;20131126;0
TDG;20131127;0
TDG;20131128;0
TDG;20131129;11
TDG;20131130;0
TDG;20131201;0
TDG;20131202;0
TDG;20131203;0
TDG;20131204;0
TDG;20131205;0
TDG;20131206;0
TDG;20131207;0
TDG;20131208;0
TDG;20131209;0
TDG;20131210;0
TDG;20131211;0
TDG;20131212;0
TDG;20131213;0
TDG;20131214;0
TDG;20131215;0
TDG;20131216;0
TDG;20131217;0
TDG;20131218;0
TDG;20131219;0
TDG;20131220;0
TDG;20131221;0
TDG;20131222;0
TDG;20131223;0
TDG;20131224;0
TDG;20131225;10
TDG;20131226;8
TDG;20131227;0
TDG;20131228;0
TDG;20131229;0
TDG;20131230;0
TDG;20131231;0
TDG;20140101;0
TDG;20140102;0
TDG;20140103;0
TDG;20140104;0
TDG;20140105;0
TDG;20140106;0
TDG;20140107;0
TDG;20140108;0
TDG;20140109;0
TDG;20140110;0
TDG;20140111;0
TDG;20140112;0
TDG;20140113;0
TDG;20140114;2
TDG;20140115;0
TDG;20140116;0
TDG;20140117;0
TDG;20140118;0
TDG;20140119;0
TDG;20140120;1
TDG;20140121;0
TDG;20140122;0
TDG;20140123;3
TDG;20140124;0
TDG;20140125;0
TDG;20140126;0
TDG;20140127;0
TDG;20140128;0
TDG;20140129;0
TDG;20140130;0
TDG;20140131;0
TDG;20140201;8
TDG;20140202;0
TDG;20140203;0
TDG;20140204;0
TDG;20140205;10
TDG;20140206;0
TDG;20140207;0
TDG;20140208;0
TDG;20140209;0
TDG;20140210;5
TDG;20140211;0
TDG;20140212;0
TDG;20140213;0
TDG;20140214;0
TDG;20140215;5
TDG;20140216;0
TDG;20140217;0
TDG;20140218;0
TDG;20140219;0
TDG;20140220;0
TDG;20140221;0
TDG;20140222;0
TDG;20140223;0
TDG;20140224;0
TDG;20140225;0
TDG;20140226;10
TDG;20140227;0
TDG;20140228;0
