 

stn;time;hns000d0
ZWE;19791101;0
ZWE;19791102;-
ZWE;19791103;0
ZWE;19791104;-
ZWE;19791105;1
ZWE;19791106;-
ZWE;19791107;-
ZWE;19791108;-
ZWE;19791109;-
ZWE;19791110;8
ZWE;19791111;0
ZWE;19791112;1
ZWE;19791113;-
ZWE;19791114;3
ZWE;19791115;12
ZWE;19791116;0
ZWE;19791117;0
ZWE;19791118;13
ZWE;19791119;0
ZWE;19791120;0
ZWE;19791121;0
ZWE;19791122;0
ZWE;19791123;0
ZWE;19791124;0
ZWE;19791125;0
ZWE;19791126;0
ZWE;19791127;0
ZWE;19791128;0
ZWE;19791129;0
ZWE;19791130;0
ZWE;19791201;0
ZWE;19791202;0
ZWE;19791203;0
ZWE;19791204;0
ZWE;19791205;0
ZWE;19791206;0
ZWE;19791207;0
ZWE;19791208;-
ZWE;19791209;-
ZWE;19791210;-
ZWE;19791211;10
ZWE;19791212;3
ZWE;19791213;-
ZWE;19791214;1
ZWE;19791215;17
ZWE;19791216;5
ZWE;19791217;8
ZWE;19791218;10
ZWE;19791219;22
ZWE;19791220;0
ZWE;19791221;1
ZWE;19791222;-
ZWE;19791223;1
ZWE;19791224;0
ZWE;19791225;0
ZWE;19791226;0
ZWE;19791227;0
ZWE;19791228;5
ZWE;19791229;25
ZWE;19791230;15
ZWE;19791231;4
ZWE;19800101;0
ZWE;19800102;8
ZWE;19800103;5
ZWE;19800104;5
ZWE;19800105;6
ZWE;19800106;7
ZWE;19800107;7
ZWE;19800108;0
ZWE;19800109;1
ZWE;19800110;1
ZWE;19800111;1
ZWE;19800112;0
ZWE;19800113;0
ZWE;19800114;0
ZWE;19800115;0
ZWE;19800116;0
ZWE;19800117;0
ZWE;19800118;0
ZWE;19800119;0
ZWE;19800120;0
ZWE;19800121;2
ZWE;19800122;6
ZWE;19800123;1
ZWE;19800124;7
ZWE;19800125;0
ZWE;19800126;0
ZWE;19800127;0
ZWE;19800128;0
ZWE;19800129;0
ZWE;19800130;0
ZWE;19800131;-
ZWE;19800201;4
ZWE;19800202;6
ZWE;19800203;-
ZWE;19800204;-
ZWE;19800205;-
ZWE;19800206;-
ZWE;19800207;-
ZWE;19800208;0
ZWE;19800209;0
ZWE;19800210;-
ZWE;19800211;0
ZWE;19800212;0
ZWE;19800213;0
ZWE;19800214;0
ZWE;19800215;0
ZWE;19800216;2
ZWE;19800217;-
ZWE;19800218;0
ZWE;19800219;0
ZWE;19800220;0
ZWE;19800221;11
ZWE;19800222;2
ZWE;19800223;0
ZWE;19800224;0
ZWE;19800225;0
ZWE;19800226;0
ZWE;19800227;0
ZWE;19800228;0
ZWE;19800229;0
ZWE;19800301;0
ZWE;19800302;0
ZWE;19800303;0
ZWE;19800304;0
ZWE;19800305;0
ZWE;19800306;-
ZWE;19800307;1
ZWE;19800308;11
ZWE;19800309;0
ZWE;19800310;9
ZWE;19800311;0
ZWE;19800312;0
ZWE;19800313;3
ZWE;19800314;1
ZWE;19800315;-
ZWE;19800316;0
ZWE;19800317;0
ZWE;19800318;0
ZWE;19800319;0
ZWE;19800320;-
ZWE;19800321;0
ZWE;19800322;0
ZWE;19800323;-
ZWE;19800324;0
ZWE;19800325;-
ZWE;19800326;-
ZWE;19800327;-
ZWE;19800328;-
ZWE;19800329;-
ZWE;19800330;0
ZWE;19800331;-
ZWE;19800401;-
ZWE;19800402;19
ZWE;19800403;14
ZWE;19800404;-
ZWE;19800405;0
ZWE;19800406;0
ZWE;19800407;1
ZWE;19800408;2
ZWE;19800409;0
ZWE;19800410;0
ZWE;19800411;0
ZWE;19800412;0
ZWE;19800413;0
ZWE;19800414;0
ZWE;19800415;0
ZWE;19800416;-
ZWE;19800417;-
ZWE;19800418;-
ZWE;19800419;-
ZWE;19800420;4
ZWE;19800421;11
ZWE;19800422;1
ZWE;19800423;1
ZWE;19800424;3
ZWE;19800425;-
ZWE;19800426;-
ZWE;19800427;-
ZWE;19800428;0
ZWE;19800429;0
ZWE;19800430;0
ZWE;19800501;-
ZWE;19800502;-
ZWE;19800503;-
ZWE;19800504;-
ZWE;19800505;-
ZWE;19800506;-
ZWE;19800507;-
ZWE;19800508;-
ZWE;19800509;-
ZWE;19800510;0
ZWE;19800511;0
ZWE;19800512;0
ZWE;19800513;-
ZWE;19800514;0
ZWE;19800515;-
ZWE;19800516;0
ZWE;19800517;0
ZWE;19800518;0
ZWE;19800519;0
ZWE;19800520;0
ZWE;19800521;-
ZWE;19800522;0
ZWE;19800523;0
ZWE;19800524;0
ZWE;19800525;0
