 

stn;time;hns000d0
SLF2OG;20110930;0
SLF2OG;20111001;0
SLF2OG;20111002;0
SLF2OG;20111003;0
SLF2OG;20111004;0
SLF2OG;20111005;0
SLF2OG;20111006;0
SLF2OG;20111007;5
SLF2OG;20111008;0
SLF2OG;20111009;0
SLF2OG;20111010;0
SLF2OG;20111011;0
SLF2OG;20111012;0
SLF2OG;20111013;0
SLF2OG;20111014;0
SLF2OG;20111015;0
SLF2OG;20111016;0
SLF2OG;20111017;0
SLF2OG;20111018;7
SLF2OG;20111019;0
SLF2OG;20111020;0
SLF2OG;20111021;0
SLF2OG;20111022;0
SLF2OG;20111023;0
SLF2OG;20111024;0
SLF2OG;20111025;0
SLF2OG;20111026;0
SLF2OG;20111027;0
SLF2OG;20111028;0
SLF2OG;20111029;0
SLF2OG;20111030;0
SLF2OG;20111031;0
SLF2OG;20111101;0
SLF2OG;20111102;0
SLF2OG;20111103;0
SLF2OG;20111104;0
SLF2OG;20111105;0
SLF2OG;20111106;0
SLF2OG;20111107;0
SLF2OG;20111108;0
SLF2OG;20111109;0
SLF2OG;20111110;0
SLF2OG;20111111;0
SLF2OG;20111112;0
SLF2OG;20111113;0
SLF2OG;20111114;0
SLF2OG;20111115;0
SLF2OG;20111116;0
SLF2OG;20111117;0
SLF2OG;20111118;0
SLF2OG;20111119;0
SLF2OG;20111120;0
SLF2OG;20111121;0
SLF2OG;20111122;0
SLF2OG;20111123;0
SLF2OG;20111124;0
SLF2OG;20111125;0
SLF2OG;20111126;0
SLF2OG;20111127;0
SLF2OG;20111128;0
SLF2OG;20111129;0
SLF2OG;20111130;0
SLF2OG;20111201;0
SLF2OG;20111202;0
SLF2OG;20111203;0
SLF2OG;20111204;0
SLF2OG;20111205;7
SLF2OG;20111206;27
SLF2OG;20111207;3
SLF2OG;20111208;0
SLF2OG;20111209;0
SLF2OG;20111210;0
SLF2OG;20111211;0
SLF2OG;20111212;1
SLF2OG;20111213;0
SLF2OG;20111214;1
SLF2OG;20111215;7
SLF2OG;20111216;9
SLF2OG;20111217;16
SLF2OG;20111218;17
SLF2OG;20111219;9
SLF2OG;20111220;24
SLF2OG;20111221;12
SLF2OG;20111222;0
SLF2OG;20111223;2
SLF2OG;20111224;7
SLF2OG;20111225;0
SLF2OG;20111226;0
SLF2OG;20111227;0
SLF2OG;20111228;3
SLF2OG;20111229;9
SLF2OG;20111230;11
SLF2OG;20111231;0
SLF2OG;20120101;0
SLF2OG;20120102;5
SLF2OG;20120103;1
SLF2OG;20120104;4
SLF2OG;20120105;22
SLF2OG;20120106;7
SLF2OG;20120107;1
SLF2OG;20120108;12
SLF2OG;20120109;1
SLF2OG;20120110;0
SLF2OG;20120111;0
SLF2OG;20120112;2
SLF2OG;20120113;2
SLF2OG;20120114;0
SLF2OG;20120115;0
SLF2OG;20120116;0
SLF2OG;20120117;0
SLF2OG;20120118;0
SLF2OG;20120119;0
SLF2OG;20120120;18
SLF2OG;20120121;0
SLF2OG;20120122;0
SLF2OG;20120123;11
SLF2OG;20120124;14
SLF2OG;20120125;3
SLF2OG;20120126;0
SLF2OG;20120127;11
SLF2OG;20120128;2
SLF2OG;20120129;0
SLF2OG;20120130;1
SLF2OG;20120131;2
SLF2OG;20120201;4
SLF2OG;20120202;3
SLF2OG;20120203;1
SLF2OG;20120204;0
SLF2OG;20120205;0
SLF2OG;20120206;0
SLF2OG;20120207;1
SLF2OG;20120208;0
SLF2OG;20120209;3
SLF2OG;20120210;4
SLF2OG;20120211;1
SLF2OG;20120212;0
SLF2OG;20120213;0
SLF2OG;20120214;13
SLF2OG;20120215;29
SLF2OG;20120216;1
SLF2OG;20120217;0
SLF2OG;20120218;2
SLF2OG;20120219;15
SLF2OG;20120220;0
SLF2OG;20120221;0
SLF2OG;20120222;0
SLF2OG;20120223;0
SLF2OG;20120224;0
SLF2OG;20120225;0
SLF2OG;20120226;2
SLF2OG;20120227;0
SLF2OG;20120228;0
SLF2OG;20120229;0
SLF2OG;20120301;0
SLF2OG;20120302;0
SLF2OG;20120303;0
SLF2OG;20120304;3
SLF2OG;20120305;7
SLF2OG;20120306;0
SLF2OG;20120307;8
SLF2OG;20120308;8
SLF2OG;20120309;0
SLF2OG;20120310;0
SLF2OG;20120311;0
SLF2OG;20120312;0
SLF2OG;20120313;0
SLF2OG;20120314;0
SLF2OG;20120315;0
SLF2OG;20120316;0
SLF2OG;20120317;0
SLF2OG;20120318;11
SLF2OG;20120319;15
SLF2OG;20120320;0
SLF2OG;20120321;0
SLF2OG;20120322;0
SLF2OG;20120323;0
SLF2OG;20120324;0
SLF2OG;20120325;0
SLF2OG;20120326;0
SLF2OG;20120327;0
SLF2OG;20120328;0
SLF2OG;20120329;0
SLF2OG;20120330;0
SLF2OG;20120331;0
SLF2OG;20120401;0
SLF2OG;20120402;0
SLF2OG;20120403;0
SLF2OG;20120404;0
SLF2OG;20120405;0
SLF2OG;20120406;0
SLF2OG;20120407;9
SLF2OG;20120408;11
SLF2OG;20120409;0
SLF2OG;20120410;0
SLF2OG;20120411;0
SLF2OG;20120412;1
SLF2OG;20120413;0
SLF2OG;20120414;0
SLF2OG;20120415;5
SLF2OG;20120416;3
SLF2OG;20120417;0
SLF2OG;20120418;0
SLF2OG;20120419;0
SLF2OG;20120420;0
SLF2OG;20120421;0
SLF2OG;20120422;0
SLF2OG;20120423;3
SLF2OG;20120424;0
SLF2OG;20120425;0
SLF2OG;20120426;0
SLF2OG;20120427;0
SLF2OG;20120428;0
SLF2OG;20120429;0
SLF2OG;20120430;0
SLF2OG;20120501;0
SLF2OG;20120502;0
SLF2OG;20120503;0
SLF2OG;20120504;0
SLF2OG;20120505;0
SLF2OG;20120506;0
SLF2OG;20120507;0
SLF2OG;20120508;0
SLF2OG;20120509;0
SLF2OG;20120510;0
SLF2OG;20120511;0
SLF2OG;20120512;0
SLF2OG;20120513;0
SLF2OG;20120514;0
SLF2OG;20120515;2
SLF2OG;20120516;1
SLF2OG;20120517;0
SLF2OG;20120518;0
SLF2OG;20120519;0
SLF2OG;20120520;0
SLF2OG;20120521;0
SLF2OG;20120522;0
SLF2OG;20120523;0
SLF2OG;20120524;0
SLF2OG;20120525;0
SLF2OG;20120526;0
SLF2OG;20120527;0
SLF2OG;20120528;0
SLF2OG;20120529;0
