 

stn;time;hns000d0
AUB;20080111;15
AUB;20080112;-
AUB;20080113;-
AUB;20080114;2
AUB;20080115;1
AUB;20080116;3
AUB;20080117;-
AUB;20080118;-
AUB;20080119;-
AUB;20080120;-
AUB;20080121;-
AUB;20080122;2
AUB;20080123;-
AUB;20080124;-
AUB;20080125;-
AUB;20080126;-
AUB;20080127;-
AUB;20080128;-
AUB;20080129;-
AUB;20080130;1
AUB;20080131;2
AUB;20080201;15
AUB;20080202;-
AUB;20080203;2
AUB;20080204;8
AUB;20080205;-
AUB;20080206;-
AUB;20080207;-
AUB;20080208;-
AUB;20080209;-
AUB;20080210;-
AUB;20080211;-
AUB;20080212;-
AUB;20080213;-
AUB;20080214;-
AUB;20080215;-
AUB;20080216;-
AUB;20080217;-
AUB;20080218;-
AUB;20080219;-
AUB;20080220;-
AUB;20080221;-
AUB;20080222;-
AUB;20080223;-
AUB;20080224;-
AUB;20080225;-
AUB;20080226;-
AUB;20080227;-
AUB;20080228;-
AUB;20080229;-
AUB;20080301;-
AUB;20080302;-
AUB;20080303;5
AUB;20080304;3
AUB;20080305;0
AUB;20080306;0
AUB;20080307;-
AUB;20080308;0
AUB;20080309;5
AUB;20080310;-
AUB;20080311;0
AUB;20080312;-
AUB;20080313;-
AUB;20080314;-
AUB;20080315;0
AUB;20080316;-
AUB;20080317;-
AUB;20080318;0
AUB;20080319;0
AUB;20080320;16
AUB;20080321;31
AUB;20080322;2
AUB;20080323;5
AUB;20080324;26
AUB;20080325;9
AUB;20080326;2
AUB;20080327;-
AUB;20080328;-
AUB;20080329;-
