 

stn;time;hns000d0
GRY;19731101;0
GRY;19731102;0
GRY;19731103;0
GRY;19731104;0
GRY;19731105;-
GRY;19731106;-
GRY;19731107;7
GRY;19731108;0
GRY;19731109;0
GRY;19731110;0
GRY;19731111;0
GRY;19731112;0
GRY;19731113;-
GRY;19731114;-
GRY;19731115;-
GRY;19731116;0
GRY;19731117;0
GRY;19731118;0
GRY;19731119;0
GRY;19731120;0
GRY;19731121;0
GRY;19731122;0
GRY;19731123;0
GRY;19731124;0
GRY;19731125;-
GRY;19731126;-
GRY;19731127;-
GRY;19731128;-
GRY;19731129;12
GRY;19731130;15
GRY;19731201;2
GRY;19731202;0
GRY;19731203;0
GRY;19731204;0
GRY;19731205;0
GRY;19731206;-
GRY;19731207;-
GRY;19731208;-
GRY;19731209;16
GRY;19731210;0
GRY;19731211;0
GRY;19731212;0
GRY;19731213;-
GRY;19731214;12
GRY;19731215;2
GRY;19731216;-
GRY;19731217;-
GRY;19731218;0
GRY;19731219;0
GRY;19731220;0
GRY;19731221;-
GRY;19731222;0
GRY;19731223;0
GRY;19731224;0
GRY;19731225;-
GRY;19731226;0
GRY;19731227;0
GRY;19731228;0
GRY;19731229;0
GRY;19731230;0
GRY;19731231;0
GRY;19740101;0
GRY;19740102;0
GRY;19740103;0
GRY;19740104;0
GRY;19740105;0
GRY;19740106;1
GRY;19740107;0
GRY;19740108;0
GRY;19740109;0
GRY;19740110;1
GRY;19740111;0
GRY;19740112;0
GRY;19740113;0
GRY;19740114;0
GRY;19740115;0
GRY;19740116;1
GRY;19740117;1
GRY;19740118;15
GRY;19740119;6
GRY;19740120;0
GRY;19740121;0
GRY;19740122;0
GRY;19740123;0
GRY;19740124;1
GRY;19740125;1
GRY;19740126;1
GRY;19740127;1
GRY;19740128;2
GRY;19740129;1
GRY;19740130;0
GRY;19740131;0
GRY;19740201;1
GRY;19740202;0
GRY;19740203;-
GRY;19740204;2
GRY;19740205;1
GRY;19740206;18
GRY;19740207;45
GRY;19740208;-
GRY;19740209;0
GRY;19740210;0
GRY;19740211;-
GRY;19740212;-
GRY;19740213;-
GRY;19740214;5
GRY;19740215;4
GRY;19740216;0
GRY;19740217;0
GRY;19740218;-
GRY;19740219;1
GRY;19740220;0
GRY;19740221;0
GRY;19740222;-
GRY;19740223;13
GRY;19740224;10
GRY;19740225;0
GRY;19740226;0
GRY;19740227;0
GRY;19740228;0
GRY;19740301;-
GRY;19740302;25
GRY;19740303;0
GRY;19740304;-
GRY;19740305;20
GRY;19740306;10
GRY;19740307;0
GRY;19740308;0
GRY;19740309;0
GRY;19740310;0
GRY;19740311;0
GRY;19740312;0
GRY;19740313;-
GRY;19740314;-
GRY;19740315;7
GRY;19740316;1
GRY;19740317;-
GRY;19740318;0
GRY;19740319;0
GRY;19740320;0
GRY;19740321;0
GRY;19740322;0
GRY;19740323;0
GRY;19740324;0
GRY;19740325;0
GRY;19740326;-
GRY;19740327;0
GRY;19740328;0
GRY;19740329;0
GRY;19740330;0
GRY;19740331;-
GRY;19740401;0
GRY;19740402;0
GRY;19740403;0
GRY;19740404;0
GRY;19740405;-
GRY;19740406;0
GRY;19740407;0
GRY;19740408;0
GRY;19740409;0
GRY;19740410;0
GRY;19740411;0
GRY;19740412;0
GRY;19740413;0
GRY;19740414;0
GRY;19740415;0
GRY;19740416;0
GRY;19740417;0
GRY;19740418;0
GRY;19740419;0
GRY;19740420;0
GRY;19740421;0
GRY;19740422;0
GRY;19740423;-
GRY;19740424;-
GRY;19740425;1
GRY;19740426;2
GRY;19740427;0
GRY;19740428;0
GRY;19740429;-
GRY;19740430;-
GRY;19740501;-
GRY;19740502;-
GRY;19740503;0
GRY;19740504;-
GRY;19740505;-
GRY;19740506;-
GRY;19740507;-
GRY;19740508;0
GRY;19740509;0
GRY;19740510;-
GRY;19740511;-
GRY;19740512;0
GRY;19740513;-
GRY;19740514;-
GRY;19740515;0
GRY;19740516;-
GRY;19740517;-
GRY;19740518;0
GRY;19740519;0
GRY;19740520;0
GRY;19740521;0
GRY;19740522;-
GRY;19740523;-
GRY;19740524;-
GRY;19740525;1
GRY;19740526;2
GRY;19740527;-
GRY;19740528;-
