 

stn;time;hns000d0
IYSMT;19910901;0
IYSMT;19910902;0
IYSMT;19910903;0
IYSMT;19910904;0
IYSMT;19910905;0
IYSMT;19910906;0
IYSMT;19910907;0
IYSMT;19910908;0
IYSMT;19910909;0
IYSMT;19910910;0
IYSMT;19910911;0
IYSMT;19910912;0
IYSMT;19910913;0
IYSMT;19910914;0
IYSMT;19910915;0
IYSMT;19910916;0
IYSMT;19910917;0
IYSMT;19910918;0
IYSMT;19910919;0
IYSMT;19910920;0
IYSMT;19910921;0
IYSMT;19910922;0
IYSMT;19910923;0
IYSMT;19910924;0
IYSMT;19910925;0
IYSMT;19910926;0
IYSMT;19910927;0
IYSMT;19910928;0
IYSMT;19910929;0
IYSMT;19910930;0
IYSMT;19911001;0
IYSMT;19911002;0
IYSMT;19911003;0
IYSMT;19911004;0
IYSMT;19911005;0
IYSMT;19911006;0
IYSMT;19911007;0
IYSMT;19911008;0
IYSMT;19911009;0
IYSMT;19911010;0
IYSMT;19911011;0
IYSMT;19911012;0
IYSMT;19911013;0
IYSMT;19911014;0
IYSMT;19911015;0
IYSMT;19911016;0
IYSMT;19911017;0
IYSMT;19911018;0
IYSMT;19911019;0
IYSMT;19911020;0
IYSMT;19911021;0
IYSMT;19911022;0
IYSMT;19911023;0
IYSMT;19911024;0
IYSMT;19911025;0
IYSMT;19911026;0
IYSMT;19911027;0
IYSMT;19911028;0
IYSMT;19911029;0
IYSMT;19911030;0
IYSMT;19911031;0
IYSMT;19911101;0
IYSMT;19911102;0
IYSMT;19911103;0
IYSMT;19911104;0
IYSMT;19911105;0
IYSMT;19911106;0
IYSMT;19911107;0
IYSMT;19911108;0
IYSMT;19911109;0
IYSMT;19911110;0
IYSMT;19911111;0
IYSMT;19911112;0
IYSMT;19911113;0
IYSMT;19911114;0
IYSMT;19911115;0
IYSMT;19911116;10
IYSMT;19911117;11
IYSMT;19911118;0
IYSMT;19911119;0
IYSMT;19911120;6
IYSMT;19911121;5
IYSMT;19911122;0
IYSMT;19911123;0
IYSMT;19911124;0
IYSMT;19911125;0
IYSMT;19911126;0
IYSMT;19911127;0
IYSMT;19911128;0
IYSMT;19911129;0
IYSMT;19911130;0
IYSMT;19911201;0
IYSMT;19911202;0
IYSMT;19911203;0
IYSMT;19911204;0
IYSMT;19911205;0
IYSMT;19911206;0
IYSMT;19911207;0
IYSMT;19911208;0
IYSMT;19911209;0
IYSMT;19911210;0
IYSMT;19911211;0
IYSMT;19911212;0
IYSMT;19911213;0
IYSMT;19911214;0
IYSMT;19911215;0
IYSMT;19911216;0
IYSMT;19911217;0
IYSMT;19911218;0
IYSMT;19911219;0
IYSMT;19911220;2
IYSMT;19911221;3
IYSMT;19911222;38
IYSMT;19911223;0
IYSMT;19911224;0
IYSMT;19911225;0
IYSMT;19911226;0
IYSMT;19911227;0
IYSMT;19911228;0
IYSMT;19911229;0
IYSMT;19911230;0
IYSMT;19911231;0
IYSMT;19920101;0
IYSMT;19920102;0
IYSMT;19920103;0
IYSMT;19920104;0
IYSMT;19920105;0
IYSMT;19920106;0
IYSMT;19920107;0
IYSMT;19920108;0
IYSMT;19920109;0
IYSMT;19920110;0
IYSMT;19920111;0
IYSMT;19920112;0
IYSMT;19920113;0
IYSMT;19920114;0
IYSMT;19920115;0
IYSMT;19920116;0
IYSMT;19920117;0
IYSMT;19920118;0
IYSMT;19920119;0
IYSMT;19920120;0
IYSMT;19920121;0
IYSMT;19920122;0
IYSMT;19920123;0
IYSMT;19920124;0
IYSMT;19920125;0
IYSMT;19920126;0
IYSMT;19920127;0
IYSMT;19920128;0
IYSMT;19920129;0
IYSMT;19920130;0
IYSMT;19920131;0
IYSMT;19920201;0
IYSMT;19920202;0
IYSMT;19920203;0
IYSMT;19920204;0
IYSMT;19920205;0
IYSMT;19920206;0
IYSMT;19920207;0
IYSMT;19920208;0
IYSMT;19920209;0
IYSMT;19920210;0
IYSMT;19920211;2
IYSMT;19920212;0
IYSMT;19920213;0
IYSMT;19920214;2
IYSMT;19920215;0
IYSMT;19920216;0
IYSMT;19920217;0
IYSMT;19920218;0
IYSMT;19920219;0
IYSMT;19920220;0
IYSMT;19920221;0
IYSMT;19920222;0
IYSMT;19920223;0
IYSMT;19920224;0
IYSMT;19920225;0
IYSMT;19920226;0
IYSMT;19920227;0
IYSMT;19920228;0
IYSMT;19920229;0
IYSMT;19920301;0
IYSMT;19920302;0
IYSMT;19920303;0
IYSMT;19920304;0
IYSMT;19920305;0
IYSMT;19920306;0
IYSMT;19920307;0
IYSMT;19920308;0
IYSMT;19920309;0
IYSMT;19920310;0
IYSMT;19920311;0
IYSMT;19920312;0
IYSMT;19920313;0
IYSMT;19920314;0
IYSMT;19920315;0
IYSMT;19920316;0
IYSMT;19920317;0
IYSMT;19920318;0
IYSMT;19920319;0
IYSMT;19920320;0
