 

stn;time;hns000d0
LTO;19731031;0
LTO;19731101;0
LTO;19731102;0
LTO;19731103;0
LTO;19731104;-
LTO;19731105;-
LTO;19731106;-
LTO;19731107;0
LTO;19731108;0
LTO;19731109;0
LTO;19731110;0
LTO;19731111;-
LTO;19731112;-
LTO;19731113;-
LTO;19731114;-
LTO;19731115;-
LTO;19731116;0
LTO;19731117;0
LTO;19731118;0
LTO;19731119;0
LTO;19731120;0
LTO;19731121;0
LTO;19731122;0
LTO;19731123;0
LTO;19731124;3
LTO;19731125;2
LTO;19731126;2
LTO;19731127;30
LTO;19731128;10
LTO;19731129;4
LTO;19731130;-
LTO;19731201;0
LTO;19731202;0
LTO;19731203;-
LTO;19731204;-
LTO;19731205;3
LTO;19731206;-
LTO;19731207;4
LTO;19731208;0
LTO;19731209;0
LTO;19731210;1
LTO;19731211;3
LTO;19731212;2
LTO;19731213;8
LTO;19731214;2
LTO;19731215;3
LTO;19731216;5
LTO;19731217;2
LTO;19731218;0
LTO;19731219;0
LTO;19731220;3
LTO;19731221;0
LTO;19731222;0
LTO;19731223;0
LTO;19731224;1
LTO;19731225;0
LTO;19731226;0
LTO;19731227;0
LTO;19731228;0
LTO;19731229;0
LTO;19731230;0
LTO;19731231;0
LTO;19740101;0
LTO;19740102;0
LTO;19740103;2
LTO;19740104;3
LTO;19740105;0
LTO;19740106;-
LTO;19740107;-
LTO;19740108;5
LTO;19740109;-
LTO;19740110;-
LTO;19740111;0
LTO;19740112;-
LTO;19740113;-
LTO;19740114;-
LTO;19740115;2
LTO;19740116;10
LTO;19740117;5
LTO;19740118;-
LTO;19740119;0
LTO;19740120;0
LTO;19740121;0
LTO;19740122;0
LTO;19740123;-
LTO;19740124;0
LTO;19740125;-
LTO;19740126;8
LTO;19740127;-
LTO;19740128;2
LTO;19740129;-
LTO;19740130;-
LTO;19740131;3
LTO;19740201;0
LTO;19740202;5
LTO;19740203;-
LTO;19740204;15
LTO;19740205;30
LTO;19740206;20
LTO;19740207;-
LTO;19740208;-
LTO;19740209;0
LTO;19740210;1
LTO;19740211;2
LTO;19740212;-
LTO;19740213;2
LTO;19740214;1
LTO;19740215;0
LTO;19740216;0
LTO;19740217;2
LTO;19740218;1
LTO;19740219;0
LTO;19740220;0
LTO;19740221;5
LTO;19740222;2
LTO;19740223;1
LTO;19740224;0
LTO;19740225;3
LTO;19740226;0
LTO;19740227;5
LTO;19740228;30
LTO;19740301;2
LTO;19740302;0
LTO;19740303;8
LTO;19740304;2
LTO;19740305;0
LTO;19740306;0
LTO;19740307;0
LTO;19740308;0
LTO;19740309;-
LTO;19740310;1
LTO;19740311;0
LTO;19740312;-
LTO;19740313;3
LTO;19740314;5
LTO;19740315;-
LTO;19740316;-
LTO;19740317;0
LTO;19740318;-
LTO;19740319;0
LTO;19740320;0
LTO;19740321;0
LTO;19740322;-
LTO;19740323;0
LTO;19740324;0
LTO;19740325;-
LTO;19740326;-
LTO;19740327;-
LTO;19740328;0
LTO;19740329;0
LTO;19740330;0
LTO;19740331;0
LTO;19740401;0
LTO;19740402;0
LTO;19740403;0
LTO;19740404;0
LTO;19740405;0
LTO;19740406;0
LTO;19740407;0
LTO;19740408;0
LTO;19740409;0
LTO;19740410;0
LTO;19740411;0
LTO;19740412;0
LTO;19740413;0
LTO;19740414;1
LTO;19740415;2
LTO;19740416;1
LTO;19740417;0
LTO;19740418;0
LTO;19740419;0
LTO;19740420;0
LTO;19740421;0
LTO;19740422;0
LTO;19740423;-
LTO;19740424;8
LTO;19740425;2
LTO;19740426;1
LTO;19740427;-
LTO;19740428;-
LTO;19740429;-
LTO;19740430;-
LTO;19740501;-
LTO;19740502;-
LTO;19740503;-
LTO;19740504;-
LTO;19740505;2
LTO;19740506;-
LTO;19740507;0
LTO;19740508;-
LTO;19740509;-
LTO;19740510;-
LTO;19740511;0
LTO;19740512;-
LTO;19740513;0
LTO;19740514;0
LTO;19740515;0
LTO;19740516;0
LTO;19740517;0
LTO;19740518;0
LTO;19740519;0
LTO;19740520;0
LTO;19740521;-
LTO;19740522;-
LTO;19740523;-
LTO;19740524;0
