 

stn;time;hns000d0
SLF2GO;20130930;0
SLF2GO;20131001;0
SLF2GO;20131002;0
SLF2GO;20131003;0
SLF2GO;20131004;0
SLF2GO;20131005;0
SLF2GO;20131006;0
SLF2GO;20131007;0
SLF2GO;20131008;0
SLF2GO;20131009;0
SLF2GO;20131010;11
SLF2GO;20131011;6
SLF2GO;20131012;3
SLF2GO;20131013;0
SLF2GO;20131014;0
SLF2GO;20131015;0
SLF2GO;20131016;0
SLF2GO;20131017;0
SLF2GO;20131018;0
SLF2GO;20131019;0
SLF2GO;20131020;0
SLF2GO;20131021;0
SLF2GO;20131022;0
SLF2GO;20131023;0
SLF2GO;20131024;0
SLF2GO;20131025;0
SLF2GO;20131026;0
SLF2GO;20131027;0
SLF2GO;20131028;0
SLF2GO;20131029;0
SLF2GO;20131030;0
SLF2GO;20131031;0
SLF2GO;20131101;0
SLF2GO;20131102;0
SLF2GO;20131103;0
SLF2GO;20131104;0
SLF2GO;20131105;0
SLF2GO;20131106;0
SLF2GO;20131107;0
SLF2GO;20131108;0
SLF2GO;20131109;0
SLF2GO;20131110;28
SLF2GO;20131111;0
SLF2GO;20131112;0
SLF2GO;20131113;0
SLF2GO;20131114;13
SLF2GO;20131115;0
SLF2GO;20131116;0
SLF2GO;20131117;0
SLF2GO;20131118;0
SLF2GO;20131119;4
SLF2GO;20131120;15
SLF2GO;20131121;21
SLF2GO;20131122;0
SLF2GO;20131123;7
SLF2GO;20131124;3
SLF2GO;20131125;0
SLF2GO;20131126;0
SLF2GO;20131127;0
SLF2GO;20131128;0
SLF2GO;20131129;11
SLF2GO;20131130;0
SLF2GO;20131201;0
SLF2GO;20131202;0
SLF2GO;20131203;0
SLF2GO;20131204;0
SLF2GO;20131205;4
SLF2GO;20131206;3
SLF2GO;20131207;0
SLF2GO;20131208;0
SLF2GO;20131209;0
SLF2GO;20131210;0
SLF2GO;20131211;0
SLF2GO;20131212;0
SLF2GO;20131213;0
SLF2GO;20131214;3
SLF2GO;20131215;0
SLF2GO;20131216;0
SLF2GO;20131217;0
SLF2GO;20131218;0
SLF2GO;20131219;0
SLF2GO;20131220;0
SLF2GO;20131221;0
SLF2GO;20131222;0
SLF2GO;20131223;0
SLF2GO;20131224;0
SLF2GO;20131225;13
SLF2GO;20131226;24
SLF2GO;20131227;0
SLF2GO;20131228;3
SLF2GO;20131229;3
SLF2GO;20131230;0
SLF2GO;20131231;0
SLF2GO;20140101;0
SLF2GO;20140102;0
SLF2GO;20140103;0
SLF2GO;20140104;0
SLF2GO;20140105;0
SLF2GO;20140106;0
SLF2GO;20140107;0
SLF2GO;20140108;0
SLF2GO;20140109;0
SLF2GO;20140110;0
SLF2GO;20140111;0
SLF2GO;20140112;0
SLF2GO;20140113;0
SLF2GO;20140114;22
SLF2GO;20140115;0
SLF2GO;20140116;0
SLF2GO;20140117;0
SLF2GO;20140118;0
SLF2GO;20140119;0
SLF2GO;20140120;3
SLF2GO;20140121;3
SLF2GO;20140122;0
SLF2GO;20140123;10
SLF2GO;20140124;3
SLF2GO;20140125;10
SLF2GO;20140126;4
SLF2GO;20140127;6
SLF2GO;20140128;0
SLF2GO;20140129;0
SLF2GO;20140130;3
SLF2GO;20140131;0
SLF2GO;20140201;54
SLF2GO;20140202;4
SLF2GO;20140203;0
SLF2GO;20140204;0
SLF2GO;20140205;0
SLF2GO;20140206;0
SLF2GO;20140207;3
SLF2GO;20140208;0
SLF2GO;20140209;0
SLF2GO;20140210;5
SLF2GO;20140211;3
SLF2GO;20140212;0
SLF2GO;20140213;11
SLF2GO;20140214;0
SLF2GO;20140215;4
SLF2GO;20140216;22
SLF2GO;20140217;0
SLF2GO;20140218;0
SLF2GO;20140219;3
SLF2GO;20140220;0
SLF2GO;20140221;4
SLF2GO;20140222;5
SLF2GO;20140223;0
SLF2GO;20140224;0
SLF2GO;20140225;0
SLF2GO;20140226;0
SLF2GO;20140227;0
SLF2GO;20140228;20
SLF2GO;20140301;14
SLF2GO;20140302;0
SLF2GO;20140303;5
SLF2GO;20140304;5
SLF2GO;20140305;0
SLF2GO;20140306;0
SLF2GO;20140307;0
SLF2GO;20140308;0
SLF2GO;20140309;0
SLF2GO;20140310;0
SLF2GO;20140311;0
SLF2GO;20140312;0
SLF2GO;20140313;0
SLF2GO;20140314;0
SLF2GO;20140315;0
SLF2GO;20140316;0
SLF2GO;20140317;0
SLF2GO;20140318;0
SLF2GO;20140319;0
SLF2GO;20140320;0
SLF2GO;20140321;0
SLF2GO;20140322;23
SLF2GO;20140323;14
SLF2GO;20140324;0
SLF2GO;20140325;0
SLF2GO;20140326;0
SLF2GO;20140327;0
SLF2GO;20140328;0
SLF2GO;20140329;0
SLF2GO;20140330;0
SLF2GO;20140331;0
SLF2GO;20140401;0
SLF2GO;20140402;0
SLF2GO;20140403;0
