 

stn;time;hns000d0
DIB;19741102;10
DIB;19741103;-
DIB;19741104;6
DIB;19741105;12
DIB;19741106;0
DIB;19741107;0
DIB;19741108;0
DIB;19741109;0
DIB;19741110;-
DIB;19741111;0
DIB;19741112;0
DIB;19741113;0
DIB;19741114;0
DIB;19741115;0
DIB;19741116;-
DIB;19741117;0
DIB;19741118;-
DIB;19741119;20
DIB;19741120;-
DIB;19741121;3
DIB;19741122;-
DIB;19741123;0
DIB;19741124;-
DIB;19741125;-
DIB;19741126;8
DIB;19741127;4
DIB;19741128;30
DIB;19741129;-
DIB;19741130;15
DIB;19741201;10
DIB;19741202;0
DIB;19741203;0
DIB;19741204;0
DIB;19741205;0
DIB;19741206;-
DIB;19741207;-
DIB;19741208;0
DIB;19741209;0
DIB;19741210;0
DIB;19741211;-
DIB;19741212;17
DIB;19741213;16
DIB;19741214;10
DIB;19741215;0
DIB;19741216;-
DIB;19741217;10
DIB;19741218;5
DIB;19741219;4
DIB;19741220;0
DIB;19741221;0
DIB;19741222;0
DIB;19741223;0
DIB;19741224;-
DIB;19741225;-
DIB;19741226;0
DIB;19741227;-
DIB;19741228;-
DIB;19741229;-
DIB;19741230;5
DIB;19741231;5
DIB;19750101;0
DIB;19750102;0
DIB;19750103;0
DIB;19750104;0
DIB;19750105;0
DIB;19750106;0
DIB;19750107;10
DIB;19750108;4
DIB;19750109;0
DIB;19750110;0
DIB;19750111;0
DIB;19750112;0
DIB;19750113;0
DIB;19750114;0
DIB;19750115;0
DIB;19750116;-
DIB;19750117;-
DIB;19750118;-
DIB;19750119;17
DIB;19750120;0
DIB;19750121;-
DIB;19750122;0
DIB;19750123;0
DIB;19750124;0
DIB;19750125;-
DIB;19750126;0
DIB;19750127;-
DIB;19750128;5
DIB;19750129;4
DIB;19750130;-
DIB;19750131;-
DIB;19750201;-
DIB;19750202;0
DIB;19750203;0
DIB;19750204;0
DIB;19750205;0
DIB;19750206;0
DIB;19750207;0
DIB;19750208;0
DIB;19750209;0
DIB;19750210;0
DIB;19750211;0
DIB;19750212;-
DIB;19750213;5
DIB;19750214;2
DIB;19750215;0
DIB;19750216;0
DIB;19750217;0
DIB;19750218;-
DIB;19750219;3
DIB;19750220;0
DIB;19750221;0
DIB;19750222;0
DIB;19750223;0
DIB;19750224;0
DIB;19750225;0
DIB;19750226;0
DIB;19750227;0
DIB;19750228;0
DIB;19750301;0
DIB;19750302;0
DIB;19750303;0
DIB;19750304;-
DIB;19750305;2
DIB;19750306;10
DIB;19750307;-
DIB;19750308;0
DIB;19750309;-
DIB;19750310;19
DIB;19750311;-
DIB;19750312;0
DIB;19750313;13
DIB;19750314;11
DIB;19750315;6
DIB;19750316;10
DIB;19750317;18
DIB;19750318;10
DIB;19750319;5
DIB;19750320;0
DIB;19750321;0
DIB;19750322;-
DIB;19750323;22
DIB;19750324;2
DIB;19750325;27
DIB;19750326;0
DIB;19750327;-
DIB;19750328;3
DIB;19750329;20
DIB;19750330;2
DIB;19750331;3
DIB;19750401;0
DIB;19750402;0
DIB;19750403;-
DIB;19750404;6
DIB;19750405;10
DIB;19750406;22
DIB;19750407;12
DIB;19750408;-
DIB;19750409;-
DIB;19750410;9
DIB;19750411;18
DIB;19750412;3
DIB;19750413;0
DIB;19750414;-
DIB;19750415;-
DIB;19750416;2
DIB;19750417;0
DIB;19750418;0
DIB;19750419;0
DIB;19750420;0
DIB;19750421;0
DIB;19750422;0
DIB;19750423;0
DIB;19750424;0
DIB;19750425;0
DIB;19750426;0
DIB;19750427;0
DIB;19750428;0
DIB;19750429;-
DIB;19750430;-
DIB;19750501;0
DIB;19750502;0
DIB;19750503;-
DIB;19750504;0
DIB;19750505;0
DIB;19750506;0
DIB;19750507;0
DIB;19750508;-
DIB;19750509;0
DIB;19750510;0
DIB;19750511;-
DIB;19750512;0
DIB;19750513;0
DIB;19750514;0
DIB;19750515;-
DIB;19750516;0
DIB;19750517;0
DIB;19750518;0
DIB;19750519;-
DIB;19750520;0
DIB;19750521;0
DIB;19750522;-
DIB;19750523;-
DIB;19750524;-
DIB;19750525;-
DIB;19750526;-
DIB;19750527;0
