 

stn;time;hns000d0
SLF3MG;19571031;0
SLF3MG;19571101;0
SLF3MG;19571102;0
SLF3MG;19571103;0
SLF3MG;19571104;0
SLF3MG;19571105;0
SLF3MG;19571106;0
SLF3MG;19571107;0
SLF3MG;19571108;0
SLF3MG;19571109;0
SLF3MG;19571110;0
SLF3MG;19571111;0
SLF3MG;19571112;0
SLF3MG;19571113;0
SLF3MG;19571114;0
SLF3MG;19571115;0
SLF3MG;19571116;0
SLF3MG;19571117;0
SLF3MG;19571118;0
SLF3MG;19571119;0
SLF3MG;19571120;0
SLF3MG;19571121;0
SLF3MG;19571122;0
SLF3MG;19571123;0
SLF3MG;19571124;0
SLF3MG;19571125;0
SLF3MG;19571126;0
SLF3MG;19571127;0
SLF3MG;19571128;0
SLF3MG;19571129;0
SLF3MG;19571130;0
SLF3MG;19571201;0
SLF3MG;19571202;0
SLF3MG;19571203;0
SLF3MG;19571204;0
SLF3MG;19571205;0
SLF3MG;19571206;0
SLF3MG;19571207;13
SLF3MG;19571208;0
SLF3MG;19571209;3
SLF3MG;19571210;0
SLF3MG;19571211;0
SLF3MG;19571212;0
SLF3MG;19571213;5
SLF3MG;19571214;0
SLF3MG;19571215;0
SLF3MG;19571216;0
SLF3MG;19571217;0
SLF3MG;19571218;1
SLF3MG;19571219;4
SLF3MG;19571220;0
SLF3MG;19571221;0
SLF3MG;19571222;0
SLF3MG;19571223;0
SLF3MG;19571224;0
SLF3MG;19571225;0
SLF3MG;19571226;0
SLF3MG;19571227;0
SLF3MG;19571228;0
SLF3MG;19571229;0
SLF3MG;19571230;0
SLF3MG;19571231;0
SLF3MG;19580101;0
SLF3MG;19580102;0
SLF3MG;19580103;0
SLF3MG;19580104;0
SLF3MG;19580105;8
SLF3MG;19580106;4
SLF3MG;19580107;7
SLF3MG;19580108;11
SLF3MG;19580109;14
SLF3MG;19580110;0
SLF3MG;19580111;3
SLF3MG;19580112;13
SLF3MG;19580113;2
SLF3MG;19580114;0
SLF3MG;19580115;0
SLF3MG;19580116;0
SLF3MG;19580117;0
SLF3MG;19580118;0
SLF3MG;19580119;1
SLF3MG;19580120;10
SLF3MG;19580121;0
SLF3MG;19580122;0
SLF3MG;19580123;2
SLF3MG;19580124;1
SLF3MG;19580125;0
SLF3MG;19580126;0
SLF3MG;19580127;0
SLF3MG;19580128;0
SLF3MG;19580129;0
SLF3MG;19580130;0
SLF3MG;19580131;0
SLF3MG;19580201;0
SLF3MG;19580202;0
SLF3MG;19580203;0
SLF3MG;19580204;0
SLF3MG;19580205;0
SLF3MG;19580206;13
SLF3MG;19580207;3
SLF3MG;19580208;0
SLF3MG;19580209;0
SLF3MG;19580210;0
SLF3MG;19580211;0
SLF3MG;19580212;0
SLF3MG;19580213;0
SLF3MG;19580214;0
SLF3MG;19580215;0
SLF3MG;19580216;0
SLF3MG;19580217;12
SLF3MG;19580218;5
SLF3MG;19580219;9
SLF3MG;19580220;20
SLF3MG;19580221;40
SLF3MG;19580222;11
SLF3MG;19580223;23
SLF3MG;19580224;0
SLF3MG;19580225;0
SLF3MG;19580226;13
SLF3MG;19580227;4
SLF3MG;19580228;0
SLF3MG;19580301;0
SLF3MG;19580302;7
SLF3MG;19580303;1
SLF3MG;19580304;0
SLF3MG;19580305;0
SLF3MG;19580306;6
SLF3MG;19580307;4
SLF3MG;19580308;0
SLF3MG;19580309;1
SLF3MG;19580310;0
SLF3MG;19580311;12
SLF3MG;19580312;0
SLF3MG;19580313;40
SLF3MG;19580314;10
SLF3MG;19580315;0
SLF3MG;19580316;0
SLF3MG;19580317;5
SLF3MG;19580318;4
SLF3MG;19580319;3
SLF3MG;19580320;14
SLF3MG;19580321;4
SLF3MG;19580322;0
SLF3MG;19580323;0
SLF3MG;19580324;0
SLF3MG;19580325;0
SLF3MG;19580326;0
SLF3MG;19580327;0
SLF3MG;19580328;0
SLF3MG;19580329;0
SLF3MG;19580330;0
SLF3MG;19580331;0
SLF3MG;19580401;0
SLF3MG;19580402;0
SLF3MG;19580403;0
SLF3MG;19580404;0
SLF3MG;19580405;3
SLF3MG;19580406;5
SLF3MG;19580407;7
SLF3MG;19580408;6
SLF3MG;19580409;3
SLF3MG;19580410;19
SLF3MG;19580411;3
SLF3MG;19580412;0
SLF3MG;19580413;0
SLF3MG;19580414;0
SLF3MG;19580415;7
SLF3MG;19580416;18
SLF3MG;19580417;3
SLF3MG;19580418;0
SLF3MG;19580419;0
SLF3MG;19580420;0
SLF3MG;19580421;0
SLF3MG;19580422;2
SLF3MG;19580423;0
SLF3MG;19580424;0
SLF3MG;19580425;0
SLF3MG;19580426;0
SLF3MG;19580427;15
SLF3MG;19580428;0
