 

stn;time;hns000d0
SLF5KR;19521107;18
SLF5KR;19521108;60
SLF5KR;19521109;10
SLF5KR;19521110;70
SLF5KR;19521111;15
SLF5KR;19521112;5
SLF5KR;19521113;0
SLF5KR;19521114;-
SLF5KR;19521115;0
SLF5KR;19521116;0
SLF5KR;19521117;0
SLF5KR;19521118;0
SLF5KR;19521119;0
SLF5KR;19521120;0
SLF5KR;19521121;0
SLF5KR;19521122;14
SLF5KR;19521123;0
SLF5KR;19521124;0
SLF5KR;19521125;0
SLF5KR;19521126;0
SLF5KR;19521127;0
SLF5KR;19521128;0
SLF5KR;19521129;0
SLF5KR;19521130;0
SLF5KR;19521201;0
SLF5KR;19521202;5
SLF5KR;19521203;4
SLF5KR;19521204;5
SLF5KR;19521205;0
SLF5KR;19521206;5
SLF5KR;19521207;0
SLF5KR;19521208;0
SLF5KR;19521209;0
SLF5KR;19521210;0
SLF5KR;19521211;0
SLF5KR;19521212;0
SLF5KR;19521213;10
SLF5KR;19521214;18
SLF5KR;19521215;3
SLF5KR;19521216;3
SLF5KR;19521217;15
SLF5KR;19521218;5
SLF5KR;19521219;0
SLF5KR;19521220;7
SLF5KR;19521221;25
SLF5KR;19521222;10
SLF5KR;19521223;10
SLF5KR;19521224;0
SLF5KR;19521225;0
SLF5KR;19521226;0
SLF5KR;19521227;0
SLF5KR;19521228;0
SLF5KR;19521229;0
SLF5KR;19521230;0
SLF5KR;19521231;3
SLF5KR;19530101;0
SLF5KR;19530102;4
SLF5KR;19530103;0
SLF5KR;19530104;0
SLF5KR;19530105;0
SLF5KR;19530106;0
SLF5KR;19530107;0
SLF5KR;19530108;0
SLF5KR;19530109;2
SLF5KR;19530110;18
SLF5KR;19530111;0
SLF5KR;19530112;0
SLF5KR;19530113;0
SLF5KR;19530114;0
SLF5KR;19530115;0
SLF5KR;19530116;0
SLF5KR;19530117;0
SLF5KR;19530118;0
SLF5KR;19530119;4
SLF5KR;19530120;0
SLF5KR;19530121;0
SLF5KR;19530122;0
SLF5KR;19530123;0
SLF5KR;19530124;0
SLF5KR;19530125;10
SLF5KR;19530126;0
SLF5KR;19530127;0
SLF5KR;19530128;0
SLF5KR;19530129;0
SLF5KR;19530130;0
SLF5KR;19530131;14
SLF5KR;19530201;38
SLF5KR;19530202;10
SLF5KR;19530203;3
SLF5KR;19530204;0
SLF5KR;19530205;3
SLF5KR;19530206;5
SLF5KR;19530207;10
SLF5KR;19530208;5
SLF5KR;19530209;15
SLF5KR;19530210;5
SLF5KR;19530211;0
SLF5KR;19530212;0
SLF5KR;19530213;0
SLF5KR;19530214;0
SLF5KR;19530215;0
SLF5KR;19530216;0
SLF5KR;19530217;0
SLF5KR;19530218;0
SLF5KR;19530219;0
SLF5KR;19530220;0
SLF5KR;19530221;0
SLF5KR;19530222;0
SLF5KR;19530223;0
SLF5KR;19530224;0
SLF5KR;19530225;0
SLF5KR;19530226;0
SLF5KR;19530227;0
SLF5KR;19530228;0
SLF5KR;19530301;0
SLF5KR;19530302;0
SLF5KR;19530303;0
SLF5KR;19530304;0
SLF5KR;19530305;0
SLF5KR;19530306;0
SLF5KR;19530307;0
SLF5KR;19530308;3
SLF5KR;19530309;0
SLF5KR;19530310;0
SLF5KR;19530311;0
SLF5KR;19530312;0
SLF5KR;19530313;0
SLF5KR;19530314;0
SLF5KR;19530315;0
SLF5KR;19530316;0
SLF5KR;19530317;0
SLF5KR;19530318;0
SLF5KR;19530319;0
SLF5KR;19530320;0
SLF5KR;19530321;0
SLF5KR;19530322;0
SLF5KR;19530323;0
SLF5KR;19530324;0
SLF5KR;19530325;0
SLF5KR;19530326;0
SLF5KR;19530327;0
SLF5KR;19530328;0
SLF5KR;19530329;0
