 

stn;time;hns000d0
CTA;19671102;3
CTA;19671103;-
CTA;19671104;-
CTA;19671105;-
CTA;19671106;2
CTA;19671107;0
CTA;19671108;0
CTA;19671109;0
CTA;19671110;0
CTA;19671111;-
CTA;19671112;0
CTA;19671113;0
CTA;19671114;0
CTA;19671115;-
CTA;19671116;-
CTA;19671117;0
CTA;19671118;0
CTA;19671119;0
CTA;19671120;0
CTA;19671121;0
CTA;19671122;0
CTA;19671123;0
CTA;19671124;0
CTA;19671125;0
CTA;19671126;2
CTA;19671127;-
CTA;19671128;0
CTA;19671129;-
CTA;19671130;0
CTA;19671201;0
CTA;19671202;0
CTA;19671203;0
CTA;19671204;0
CTA;19671205;0
CTA;19671206;2
CTA;19671207;1
CTA;19671208;1
CTA;19671209;0
CTA;19671210;0
CTA;19671211;0
CTA;19671212;0
CTA;19671213;0
CTA;19671214;0
CTA;19671215;0
CTA;19671216;0
CTA;19671217;0
CTA;19671218;0
CTA;19671219;4
CTA;19671220;0
CTA;19671221;0
CTA;19671222;-
CTA;19671223;-
CTA;19671224;-
CTA;19671225;22
CTA;19671226;20
CTA;19671227;19
CTA;19671228;15
CTA;19671229;-
CTA;19671230;1
CTA;19671231;9
CTA;19680101;9
CTA;19680102;12
CTA;19680103;8
CTA;19680104;-
CTA;19680105;-
CTA;19680106;22
CTA;19680107;29
CTA;19680108;8
CTA;19680109;17
CTA;19680110;4
CTA;19680111;11
CTA;19680112;4
CTA;19680113;2
CTA;19680114;-
CTA;19680115;0
CTA;19680116;0
CTA;19680117;18
CTA;19680118;6
CTA;19680119;-
CTA;19680120;0
CTA;19680121;-
CTA;19680122;0
CTA;19680123;0
CTA;19680124;13
CTA;19680125;-
CTA;19680126;14
CTA;19680127;-
CTA;19680128;0
CTA;19680129;0
CTA;19680130;0
CTA;19680131;0
CTA;19680201;0
CTA;19680202;5
CTA;19680203;24
CTA;19680204;0
CTA;19680205;18
CTA;19680206;12
CTA;19680207;0
CTA;19680208;9
CTA;19680209;20
CTA;19680210;0
CTA;19680211;-
CTA;19680212;-
CTA;19680213;-
CTA;19680214;-
CTA;19680215;0
CTA;19680216;2
CTA;19680217;0
CTA;19680218;0
CTA;19680219;14
CTA;19680220;-
CTA;19680221;-
CTA;19680222;3
CTA;19680223;-
CTA;19680224;-
CTA;19680225;0
CTA;19680226;0
CTA;19680227;0
CTA;19680228;0
CTA;19680229;0
CTA;19680301;0
CTA;19680302;-
CTA;19680303;0
CTA;19680304;0
CTA;19680305;0
CTA;19680306;5
CTA;19680307;-
CTA;19680308;0
CTA;19680309;0
CTA;19680310;5
CTA;19680311;3
CTA;19680312;0
CTA;19680313;0
CTA;19680314;0
CTA;19680315;11
CTA;19680316;-
CTA;19680317;-
CTA;19680318;-
CTA;19680319;0
CTA;19680320;1
CTA;19680321;9
CTA;19680322;1
CTA;19680323;0
CTA;19680324;0
CTA;19680325;0
CTA;19680326;0
CTA;19680327;0
CTA;19680328;0
CTA;19680329;0
CTA;19680330;0
CTA;19680331;-
CTA;19680401;0
CTA;19680402;-
CTA;19680403;-
CTA;19680404;0
CTA;19680405;0
CTA;19680406;-
CTA;19680407;8
CTA;19680408;0
CTA;19680409;0
CTA;19680410;0
CTA;19680411;0
CTA;19680412;3
CTA;19680413;-
CTA;19680414;-
CTA;19680415;0
CTA;19680416;0
CTA;19680417;0
CTA;19680418;0
CTA;19680419;0
CTA;19680420;0
CTA;19680421;0
CTA;19680422;0
CTA;19680423;-
CTA;19680424;-
CTA;19680425;-
CTA;19680426;0
CTA;19680427;-
CTA;19680428;-
CTA;19680429;-
CTA;19680430;-
CTA;19680501;-
CTA;19680502;-
CTA;19680503;-
CTA;19680504;-
CTA;19680505;-
CTA;19680506;-
CTA;19680507;-
CTA;19680508;0
CTA;19680509;-
CTA;19680510;-
CTA;19680511;-
CTA;19680512;-
CTA;19680513;0
CTA;19680514;0
CTA;19680515;0
CTA;19680516;-
CTA;19680517;0
CTA;19680518;0
CTA;19680519;0
CTA;19680520;-
CTA;19680521;-
CTA;19680522;-
CTA;19680523;0
CTA;19680524;0
CTA;19680525;-
CTA;19680526;-
CTA;19680527;-
CTA;19680528;-
CTA;19680529;-
CTA;19680530;-
