 

stn;time;hns000d0
SLF5SI;19631120;4
SLF5SI;19631121;0
SLF5SI;19631122;0
SLF5SI;19631123;0
SLF5SI;19631124;0
SLF5SI;19631125;8
SLF5SI;19631126;16
SLF5SI;19631127;3
SLF5SI;19631128;0
SLF5SI;19631129;0
SLF5SI;19631130;0
SLF5SI;19631201;0
SLF5SI;19631202;0
SLF5SI;19631203;0
SLF5SI;19631204;0
SLF5SI;19631205;2
SLF5SI;19631206;0
SLF5SI;19631207;0
SLF5SI;19631208;0
SLF5SI;19631209;0
SLF5SI;19631210;0
SLF5SI;19631211;0
SLF5SI;19631212;3
SLF5SI;19631213;2
SLF5SI;19631214;0
SLF5SI;19631215;0
SLF5SI;19631216;4
SLF5SI;19631217;0
SLF5SI;19631218;0
SLF5SI;19631219;0
SLF5SI;19631220;1
SLF5SI;19631221;0
SLF5SI;19631222;0
SLF5SI;19631223;0
SLF5SI;19631224;0
SLF5SI;19631225;0
SLF5SI;19631226;0
SLF5SI;19631227;0
SLF5SI;19631228;0
SLF5SI;19631229;0
SLF5SI;19631230;0
SLF5SI;19631231;0
SLF5SI;19640101;0
SLF5SI;19640102;0
SLF5SI;19640103;0
SLF5SI;19640104;0
SLF5SI;19640105;0
SLF5SI;19640106;0
SLF5SI;19640107;0
SLF5SI;19640108;0
SLF5SI;19640109;0
SLF5SI;19640110;5
SLF5SI;19640111;0
SLF5SI;19640112;0
SLF5SI;19640113;0
SLF5SI;19640114;0
SLF5SI;19640115;0
SLF5SI;19640116;0
SLF5SI;19640117;0
SLF5SI;19640118;0
SLF5SI;19640119;0
SLF5SI;19640120;0
SLF5SI;19640121;0
SLF5SI;19640122;0
SLF5SI;19640123;0
SLF5SI;19640124;0
SLF5SI;19640125;0
SLF5SI;19640126;0
SLF5SI;19640127;0
SLF5SI;19640128;0
SLF5SI;19640129;0
SLF5SI;19640130;2
SLF5SI;19640131;3
SLF5SI;19640201;0
SLF5SI;19640202;0
SLF5SI;19640203;0
SLF5SI;19640204;0
SLF5SI;19640205;0
SLF5SI;19640206;3
SLF5SI;19640207;0
SLF5SI;19640208;0
SLF5SI;19640209;3
SLF5SI;19640210;0
SLF5SI;19640211;3
SLF5SI;19640212;8
SLF5SI;19640213;0
SLF5SI;19640214;0
SLF5SI;19640215;0
SLF5SI;19640216;0
SLF5SI;19640217;0
SLF5SI;19640218;0
SLF5SI;19640219;2
SLF5SI;19640220;0
SLF5SI;19640221;0
SLF5SI;19640222;0
SLF5SI;19640223;0
SLF5SI;19640224;0
SLF5SI;19640225;0
SLF5SI;19640226;0
SLF5SI;19640227;0
SLF5SI;19640228;0
SLF5SI;19640229;3
SLF5SI;19640301;0
SLF5SI;19640302;0
SLF5SI;19640303;0
SLF5SI;19640304;5
SLF5SI;19640305;7
SLF5SI;19640306;0
SLF5SI;19640307;0
SLF5SI;19640308;0
SLF5SI;19640309;0
SLF5SI;19640310;0
SLF5SI;19640311;0
SLF5SI;19640312;0
SLF5SI;19640313;0
SLF5SI;19640314;0
SLF5SI;19640315;0
SLF5SI;19640316;2
SLF5SI;19640317;5
SLF5SI;19640318;4
SLF5SI;19640319;0
SLF5SI;19640320;0
SLF5SI;19640321;0
SLF5SI;19640322;0
SLF5SI;19640323;2
SLF5SI;19640324;0
SLF5SI;19640325;0
SLF5SI;19640326;15
SLF5SI;19640327;6
SLF5SI;19640328;8
SLF5SI;19640329;0
SLF5SI;19640330;0
SLF5SI;19640331;0
SLF5SI;19640401;0
SLF5SI;19640402;0
SLF5SI;19640403;0
SLF5SI;19640404;0
SLF5SI;19640405;1
SLF5SI;19640406;2
SLF5SI;19640407;5
SLF5SI;19640408;0
SLF5SI;19640409;0
SLF5SI;19640410;0
SLF5SI;19640411;0
SLF5SI;19640412;0
SLF5SI;19640413;0
SLF5SI;19640414;0
SLF5SI;19640415;0
SLF5SI;19640416;0
SLF5SI;19640417;0
SLF5SI;19640418;0
SLF5SI;19640419;0
SLF5SI;19640420;0
SLF5SI;19640421;0
SLF5SI;19640422;0
SLF5SI;19640423;0
SLF5SI;19640424;23
SLF5SI;19640425;0
SLF5SI;19640426;0
SLF5SI;19640427;0
SLF5SI;19640428;0
