 

stn;time;hns000d0
SLF1MI;20131031;0
SLF1MI;20131101;0
SLF1MI;20131102;0
SLF1MI;20131103;0
SLF1MI;20131104;0
SLF1MI;20131105;0
SLF1MI;20131106;0
SLF1MI;20131107;0
SLF1MI;20131108;0
SLF1MI;20131109;0
SLF1MI;20131110;10
SLF1MI;20131111;0
SLF1MI;20131112;0
SLF1MI;20131113;0
SLF1MI;20131114;5
SLF1MI;20131115;0
SLF1MI;20131116;0
SLF1MI;20131117;0
SLF1MI;20131118;0
SLF1MI;20131119;5
SLF1MI;20131120;5
SLF1MI;20131121;15
SLF1MI;20131122;0
SLF1MI;20131123;0
SLF1MI;20131124;0
SLF1MI;20131125;0
SLF1MI;20131126;0
SLF1MI;20131127;0
SLF1MI;20131128;0
SLF1MI;20131129;15
SLF1MI;20131130;0
SLF1MI;20131201;0
SLF1MI;20131202;0
SLF1MI;20131203;0
SLF1MI;20131204;0
SLF1MI;20131205;0
SLF1MI;20131206;0
SLF1MI;20131207;0
SLF1MI;20131208;0
SLF1MI;20131209;0
SLF1MI;20131210;0
SLF1MI;20131211;0
SLF1MI;20131212;0
SLF1MI;20131213;0
SLF1MI;20131214;0
SLF1MI;20131215;0
SLF1MI;20131216;0
SLF1MI;20131217;0
SLF1MI;20131218;0
SLF1MI;20131219;8
SLF1MI;20131220;8
SLF1MI;20131221;0
SLF1MI;20131222;0
SLF1MI;20131223;0
SLF1MI;20131224;0
SLF1MI;20131225;24
SLF1MI;20131226;11
SLF1MI;20131227;0
SLF1MI;20131228;13
SLF1MI;20131229;1
SLF1MI;20131230;0
SLF1MI;20131231;2
SLF1MI;20140101;0
SLF1MI;20140102;9
SLF1MI;20140103;0
SLF1MI;20140104;20
SLF1MI;20140105;0
SLF1MI;20140106;0
SLF1MI;20140107;0
SLF1MI;20140108;0
SLF1MI;20140109;0
SLF1MI;20140110;0
SLF1MI;20140111;0
SLF1MI;20140112;0
SLF1MI;20140113;6
SLF1MI;20140114;10
SLF1MI;20140115;0
SLF1MI;20140116;22
SLF1MI;20140117;0
SLF1MI;20140118;0
SLF1MI;20140119;0
SLF1MI;20140120;5
SLF1MI;20140121;0
SLF1MI;20140122;0
SLF1MI;20140123;30
SLF1MI;20140124;5
SLF1MI;20140125;7
SLF1MI;20140126;5
SLF1MI;20140127;3
SLF1MI;20140128;0
SLF1MI;20140129;0
SLF1MI;20140130;0
SLF1MI;20140131;0
SLF1MI;20140201;9
SLF1MI;20140202;6
SLF1MI;20140203;1
SLF1MI;20140204;0
SLF1MI;20140205;21
SLF1MI;20140206;0
SLF1MI;20140207;18
SLF1MI;20140208;12
SLF1MI;20140209;4
SLF1MI;20140210;12
SLF1MI;20140211;0
SLF1MI;20140212;8
SLF1MI;20140213;13
SLF1MI;20140214;0
SLF1MI;20140215;30
SLF1MI;20140216;5
SLF1MI;20140217;0
SLF1MI;20140218;0
SLF1MI;20140219;0
SLF1MI;20140220;3
SLF1MI;20140221;9
SLF1MI;20140222;10
SLF1MI;20140223;0
SLF1MI;20140224;0
SLF1MI;20140225;1
SLF1MI;20140226;15
SLF1MI;20140227;10
SLF1MI;20140228;10
SLF1MI;20140301;1
SLF1MI;20140302;2
SLF1MI;20140303;5
SLF1MI;20140304;1
SLF1MI;20140305;0
SLF1MI;20140306;0
SLF1MI;20140307;0
SLF1MI;20140308;0
SLF1MI;20140309;0
SLF1MI;20140310;0
SLF1MI;20140311;0
SLF1MI;20140312;0
SLF1MI;20140313;0
SLF1MI;20140314;0
SLF1MI;20140315;0
SLF1MI;20140316;0
SLF1MI;20140317;0
SLF1MI;20140318;0
SLF1MI;20140319;0
SLF1MI;20140320;0
SLF1MI;20140321;0
SLF1MI;20140322;16
SLF1MI;20140323;18
SLF1MI;20140324;2
SLF1MI;20140325;0
SLF1MI;20140326;0
SLF1MI;20140327;0
SLF1MI;20140328;0
SLF1MI;20140329;0
SLF1MI;20140330;0
SLF1MI;20140331;0
SLF1MI;20140401;0
SLF1MI;20140402;0
SLF1MI;20140403;0
SLF1MI;20140404;0
SLF1MI;20140405;0
SLF1MI;20140406;0
SLF1MI;20140407;0
SLF1MI;20140408;0
SLF1MI;20140409;0
SLF1MI;20140410;0
SLF1MI;20140411;0
SLF1MI;20140412;0
SLF1MI;20140413;0
SLF1MI;20140414;0
SLF1MI;20140415;0
SLF1MI;20140416;0
SLF1MI;20140417;0
SLF1MI;20140418;1
SLF1MI;20140419;0
SLF1MI;20140420;0
SLF1MI;20140421;0
SLF1MI;20140422;0
SLF1MI;20140423;0
SLF1MI;20140424;0
SLF1MI;20140425;0
SLF1MI;20140426;0
SLF1MI;20140427;1
SLF1MI;20140428;0
SLF1MI;20140429;0
SLF1MI;20140430;0
SLF1MI;20140501;0
SLF1MI;20140502;0
SLF1MI;20140503;0
SLF1MI;20140504;0
SLF1MI;20140505;0
SLF1MI;20140506;0
SLF1MI;20140507;0
SLF1MI;20140508;0
SLF1MI;20140509;0
SLF1MI;20140510;0
SLF1MI;20140511;2
SLF1MI;20140512;0
SLF1MI;20140513;1
SLF1MI;20140514;0
SLF1MI;20140515;0
SLF1MI;20140516;0
SLF1MI;20140517;0
SLF1MI;20140518;0
SLF1MI;20140519;0
SLF1MI;20140520;0
SLF1MI;20140521;0
SLF1MI;20140522;0
SLF1MI;20140523;0
SLF1MI;20140524;0
SLF1MI;20140525;0
SLF1MI;20140526;0
SLF1MI;20140527;0
SLF1MI;20140528;0
SLF1MI;20140529;0
