 

stn;time;hns000d0
SLF2ME;20140930;0
SLF2ME;20141001;0
SLF2ME;20141002;0
SLF2ME;20141003;0
SLF2ME;20141004;0
SLF2ME;20141005;0
SLF2ME;20141006;0
SLF2ME;20141007;0
SLF2ME;20141008;0
SLF2ME;20141009;0
SLF2ME;20141010;0
SLF2ME;20141011;0
SLF2ME;20141012;0
SLF2ME;20141013;0
SLF2ME;20141014;0
SLF2ME;20141015;0
SLF2ME;20141016;0
SLF2ME;20141017;0
SLF2ME;20141018;0
SLF2ME;20141019;0
SLF2ME;20141020;0
SLF2ME;20141021;5
SLF2ME;20141022;15
SLF2ME;20141023;0
SLF2ME;20141024;0
SLF2ME;20141025;0
SLF2ME;20141026;0
SLF2ME;20141027;0
SLF2ME;20141028;0
SLF2ME;20141029;0
SLF2ME;20141030;0
SLF2ME;20141031;0
SLF2ME;20141101;0
SLF2ME;20141102;0
SLF2ME;20141103;0
SLF2ME;20141104;0
SLF2ME;20141105;64
SLF2ME;20141106;0
SLF2ME;20141107;0
SLF2ME;20141108;0
SLF2ME;20141109;0
SLF2ME;20141110;0
SLF2ME;20141111;0
SLF2ME;20141112;0
SLF2ME;20141113;0
SLF2ME;20141114;0
SLF2ME;20141115;9
SLF2ME;20141116;1
SLF2ME;20141117;0
SLF2ME;20141118;0
SLF2ME;20141119;0
SLF2ME;20141120;0
SLF2ME;20141121;0
SLF2ME;20141122;0
SLF2ME;20141123;0
SLF2ME;20141124;0
SLF2ME;20141125;0
SLF2ME;20141126;0
SLF2ME;20141127;0
SLF2ME;20141128;0
SLF2ME;20141129;0
SLF2ME;20141130;0
SLF2ME;20141201;0
SLF2ME;20141202;0
SLF2ME;20141203;0
SLF2ME;20141204;0
SLF2ME;20141205;1
SLF2ME;20141206;0
SLF2ME;20141207;4
SLF2ME;20141208;12
SLF2ME;20141209;1
SLF2ME;20141210;0
SLF2ME;20141211;0
SLF2ME;20141212;0
SLF2ME;20141213;0
SLF2ME;20141214;0
SLF2ME;20141215;0
SLF2ME;20141216;0
SLF2ME;20141217;7
SLF2ME;20141218;0
SLF2ME;20141219;0
SLF2ME;20141220;0
SLF2ME;20141221;0
SLF2ME;20141222;0
SLF2ME;20141223;0
SLF2ME;20141224;0
SLF2ME;20141225;12
SLF2ME;20141226;10
SLF2ME;20141227;9
SLF2ME;20141228;4
SLF2ME;20141229;5
SLF2ME;20141230;5
SLF2ME;20141231;0
SLF2ME;20150101;0
SLF2ME;20150102;0
SLF2ME;20150103;2
SLF2ME;20150104;0
SLF2ME;20150105;0
SLF2ME;20150106;0
