 

stn;time;hns000d0
SLF3FB;19591027;0
SLF3FB;19591028;33
SLF3FB;19591029;10
SLF3FB;19591030;1
SLF3FB;19591031;12
SLF3FB;19591101;0
SLF3FB;19591102;0
SLF3FB;19591103;0
SLF3FB;19591104;1
SLF3FB;19591105;8
SLF3FB;19591106;0
SLF3FB;19591107;0
SLF3FB;19591108;0
SLF3FB;19591109;0
SLF3FB;19591110;5
SLF3FB;19591111;0
SLF3FB;19591112;5
SLF3FB;19591113;0
SLF3FB;19591114;30
SLF3FB;19591115;20
SLF3FB;19591116;0
SLF3FB;19591117;0
SLF3FB;19591118;0
SLF3FB;19591119;0
SLF3FB;19591120;0
SLF3FB;19591121;0
SLF3FB;19591122;0
SLF3FB;19591123;0
SLF3FB;19591124;0
SLF3FB;19591125;0
SLF3FB;19591126;0
SLF3FB;19591127;0
SLF3FB;19591128;0
SLF3FB;19591129;0
SLF3FB;19591130;0
SLF3FB;19591201;0
SLF3FB;19591202;0
SLF3FB;19591203;12
SLF3FB;19591204;5
SLF3FB;19591205;0
SLF3FB;19591206;0
SLF3FB;19591207;0
SLF3FB;19591208;10
SLF3FB;19591209;0
SLF3FB;19591210;0
SLF3FB;19591211;0
SLF3FB;19591212;0
SLF3FB;19591213;0
SLF3FB;19591214;0
SLF3FB;19591215;0
SLF3FB;19591216;0
SLF3FB;19591217;1
SLF3FB;19591218;10
SLF3FB;19591219;2
SLF3FB;19591220;0
SLF3FB;19591221;12
SLF3FB;19591222;0
SLF3FB;19591223;4
SLF3FB;19591224;10
SLF3FB;19591225;0
SLF3FB;19591226;0
SLF3FB;19591227;10
SLF3FB;19591228;20
SLF3FB;19591229;8
SLF3FB;19591230;0
SLF3FB;19591231;0
SLF3FB;19600101;0
SLF3FB;19600102;10
SLF3FB;19600103;0
SLF3FB;19600104;0
SLF3FB;19600105;6
SLF3FB;19600106;0
SLF3FB;19600107;0
SLF3FB;19600108;10
SLF3FB;19600109;8
SLF3FB;19600110;0
SLF3FB;19600111;1
SLF3FB;19600112;2
SLF3FB;19600113;0
SLF3FB;19600114;0
SLF3FB;19600115;0
SLF3FB;19600116;0
SLF3FB;19600117;0
SLF3FB;19600118;0
SLF3FB;19600119;2
SLF3FB;19600120;10
SLF3FB;19600121;0
SLF3FB;19600122;0
SLF3FB;19600123;0
SLF3FB;19600124;0
SLF3FB;19600125;0
SLF3FB;19600126;0
SLF3FB;19600127;0
SLF3FB;19600128;1
SLF3FB;19600129;3
SLF3FB;19600130;0
SLF3FB;19600131;0
SLF3FB;19600201;6
SLF3FB;19600202;0
SLF3FB;19600203;0
SLF3FB;19600204;8
SLF3FB;19600205;3
SLF3FB;19600206;3
SLF3FB;19600207;0
SLF3FB;19600208;0
SLF3FB;19600209;0
SLF3FB;19600210;0
SLF3FB;19600211;0
SLF3FB;19600212;0
SLF3FB;19600213;3
SLF3FB;19600214;15
SLF3FB;19600215;0
SLF3FB;19600216;5
SLF3FB;19600217;8
SLF3FB;19600218;0
SLF3FB;19600219;0
SLF3FB;19600220;0
SLF3FB;19600221;0
SLF3FB;19600222;1
SLF3FB;19600223;15
SLF3FB;19600224;0
SLF3FB;19600225;0
SLF3FB;19600226;0
SLF3FB;19600227;0
SLF3FB;19600228;0
SLF3FB;19600229;0
SLF3FB;19600301;0
SLF3FB;19600302;5
SLF3FB;19600303;0
SLF3FB;19600304;8
SLF3FB;19600305;0
SLF3FB;19600306;0
SLF3FB;19600307;12
SLF3FB;19600308;4
SLF3FB;19600309;0
SLF3FB;19600310;0
SLF3FB;19600311;0
SLF3FB;19600312;0
SLF3FB;19600313;0
SLF3FB;19600314;0
SLF3FB;19600315;0
SLF3FB;19600316;3
SLF3FB;19600317;0
SLF3FB;19600318;0
SLF3FB;19600319;0
SLF3FB;19600320;0
SLF3FB;19600321;0
SLF3FB;19600322;0
SLF3FB;19600323;0
SLF3FB;19600324;0
SLF3FB;19600325;0
SLF3FB;19600326;0
SLF3FB;19600327;0
SLF3FB;19600328;0
SLF3FB;19600329;0
SLF3FB;19600330;0
SLF3FB;19600331;0
SLF3FB;19600401;0
SLF3FB;19600402;0
SLF3FB;19600403;2
SLF3FB;19600404;0
