 

stn;time;hns000d0
SLF3UI;20101031;0
SLF3UI;20101101;0
SLF3UI;20101102;0
SLF3UI;20101103;0
SLF3UI;20101104;0
SLF3UI;20101105;0
SLF3UI;20101106;0
SLF3UI;20101107;6
SLF3UI;20101108;0
SLF3UI;20101109;0
SLF3UI;20101110;0
SLF3UI;20101111;0
SLF3UI;20101112;0
SLF3UI;20101113;0
SLF3UI;20101114;0
SLF3UI;20101115;8
SLF3UI;20101116;2
SLF3UI;20101117;0
SLF3UI;20101118;3
SLF3UI;20101119;0
SLF3UI;20101120;0
SLF3UI;20101121;5
SLF3UI;20101122;6
SLF3UI;20101123;14
SLF3UI;20101124;12
SLF3UI;20101125;15
SLF3UI;20101126;15
SLF3UI;20101127;0
SLF3UI;20101128;15
SLF3UI;20101129;0
SLF3UI;20101130;0
SLF3UI;20101201;15
SLF3UI;20101202;0
SLF3UI;20101203;0
SLF3UI;20101204;0
SLF3UI;20101205;5
SLF3UI;20101206;0
SLF3UI;20101207;0
SLF3UI;20101208;15
SLF3UI;20101209;10
SLF3UI;20101210;30
SLF3UI;20101211;0
SLF3UI;20101212;40
SLF3UI;20101213;1
SLF3UI;20101214;12
SLF3UI;20101215;11
SLF3UI;20101216;7
SLF3UI;20101217;40
SLF3UI;20101218;0
SLF3UI;20101219;3
SLF3UI;20101220;0
SLF3UI;20101221;0
SLF3UI;20101222;0
SLF3UI;20101223;0
SLF3UI;20101224;8
SLF3UI;20101225;8
SLF3UI;20101226;0
SLF3UI;20101227;0
SLF3UI;20101228;5
SLF3UI;20101229;0
SLF3UI;20101230;0
SLF3UI;20101231;0
SLF3UI;20110101;0
SLF3UI;20110102;0
SLF3UI;20110103;0
SLF3UI;20110104;0
SLF3UI;20110105;0
SLF3UI;20110106;0
SLF3UI;20110107;0
SLF3UI;20110108;0
SLF3UI;20110109;3
SLF3UI;20110110;0
SLF3UI;20110111;6
SLF3UI;20110112;0
SLF3UI;20110113;0
SLF3UI;20110114;0
SLF3UI;20110115;0
SLF3UI;20110116;0
SLF3UI;20110117;0
SLF3UI;20110118;0
SLF3UI;20110119;3
SLF3UI;20110120;8
SLF3UI;20110121;2
SLF3UI;20110122;0
SLF3UI;20110123;0
SLF3UI;20110124;0
SLF3UI;20110125;4
SLF3UI;20110126;0
SLF3UI;20110127;0
SLF3UI;20110128;0
SLF3UI;20110129;0
SLF3UI;20110130;0
SLF3UI;20110131;0
SLF3UI;20110201;0
SLF3UI;20110202;0
SLF3UI;20110203;0
SLF3UI;20110204;0
SLF3UI;20110205;0
SLF3UI;20110206;0
SLF3UI;20110207;0
SLF3UI;20110208;0
SLF3UI;20110209;0
SLF3UI;20110210;0
SLF3UI;20110211;0
SLF3UI;20110212;0
SLF3UI;20110213;0
SLF3UI;20110214;0
SLF3UI;20110215;0
SLF3UI;20110216;0
SLF3UI;20110217;0
SLF3UI;20110218;0
SLF3UI;20110219;0
SLF3UI;20110220;25
SLF3UI;20110221;10
SLF3UI;20110222;5
SLF3UI;20110223;0
SLF3UI;20110224;13
SLF3UI;20110225;1
SLF3UI;20110226;8
SLF3UI;20110227;25
SLF3UI;20110228;0
SLF3UI;20110301;0
SLF3UI;20110302;0
SLF3UI;20110303;0
SLF3UI;20110304;0
SLF3UI;20110305;0
SLF3UI;20110306;0
SLF3UI;20110307;0
SLF3UI;20110308;0
SLF3UI;20110309;0
SLF3UI;20110310;0
SLF3UI;20110311;0
SLF3UI;20110312;0
SLF3UI;20110313;0
SLF3UI;20110314;0
SLF3UI;20110315;0
SLF3UI;20110316;0
SLF3UI;20110317;1
SLF3UI;20110318;5
SLF3UI;20110319;0
SLF3UI;20110320;0
SLF3UI;20110321;0
SLF3UI;20110322;0
SLF3UI;20110323;0
SLF3UI;20110324;0
SLF3UI;20110325;0
SLF3UI;20110326;0
SLF3UI;20110327;0
SLF3UI;20110328;0
SLF3UI;20110329;0
SLF3UI;20110330;0
SLF3UI;20110331;0
SLF3UI;20110401;0
SLF3UI;20110402;0
SLF3UI;20110403;0
SLF3UI;20110404;0
SLF3UI;20110405;0
SLF3UI;20110406;0
SLF3UI;20110407;0
SLF3UI;20110408;0
SLF3UI;20110409;0
SLF3UI;20110410;0
SLF3UI;20110411;0
SLF3UI;20110412;15
SLF3UI;20110413;0
SLF3UI;20110414;0
SLF3UI;20110415;0
SLF3UI;20110416;0
SLF3UI;20110417;0
SLF3UI;20110418;0
SLF3UI;20110419;0
SLF3UI;20110420;0
SLF3UI;20110421;0
SLF3UI;20110422;0
SLF3UI;20110423;0
SLF3UI;20110424;0
SLF3UI;20110425;0
SLF3UI;20110426;0
SLF3UI;20110427;0
SLF3UI;20110428;0
SLF3UI;20110429;0
SLF3UI;20110430;0
SLF3UI;20110501;0
SLF3UI;20110502;0
SLF3UI;20110503;0
SLF3UI;20110504;0
SLF3UI;20110505;0
SLF3UI;20110506;0
SLF3UI;20110507;0
SLF3UI;20110508;0
SLF3UI;20110509;0
SLF3UI;20110510;0
SLF3UI;20110511;0
SLF3UI;20110512;0
SLF3UI;20110513;0
SLF3UI;20110514;0
SLF3UI;20110515;1
SLF3UI;20110516;0
SLF3UI;20110517;0
SLF3UI;20110518;0
SLF3UI;20110519;0
SLF3UI;20110520;0
SLF3UI;20110521;0
SLF3UI;20110522;0
SLF3UI;20110523;0
SLF3UI;20110524;0
SLF3UI;20110525;0
SLF3UI;20110526;0
SLF3UI;20110527;0
SLF3UI;20110528;0
SLF3UI;20110529;0
