 

stn;time;hns000d0
SLF1LC;19771031;0
SLF1LC;19771101;0
SLF1LC;19771102;0
SLF1LC;19771103;0
SLF1LC;19771104;0
SLF1LC;19771105;0
SLF1LC;19771106;0
SLF1LC;19771107;0
SLF1LC;19771108;0
SLF1LC;19771109;0
SLF1LC;19771110;0
SLF1LC;19771111;0
SLF1LC;19771112;0
SLF1LC;19771113;19
SLF1LC;19771114;5
SLF1LC;19771115;21
SLF1LC;19771116;8
SLF1LC;19771117;28
SLF1LC;19771118;5
SLF1LC;19771119;0
SLF1LC;19771120;0
SLF1LC;19771121;33
SLF1LC;19771122;18
SLF1LC;19771123;0
SLF1LC;19771124;35
SLF1LC;19771125;21
SLF1LC;19771126;8
SLF1LC;19771127;4
SLF1LC;19771128;0
SLF1LC;19771129;0
SLF1LC;19771130;0
SLF1LC;19771201;0
SLF1LC;19771202;0
SLF1LC;19771203;0
SLF1LC;19771204;0
SLF1LC;19771205;0
SLF1LC;19771206;17
SLF1LC;19771207;0
SLF1LC;19771208;6
SLF1LC;19771209;3
SLF1LC;19771210;0
SLF1LC;19771211;0
SLF1LC;19771212;0
SLF1LC;19771213;0
SLF1LC;19771214;0
SLF1LC;19771215;0
SLF1LC;19771216;0
SLF1LC;19771217;0
SLF1LC;19771218;0
SLF1LC;19771219;0
SLF1LC;19771220;0
SLF1LC;19771221;1
SLF1LC;19771222;0
SLF1LC;19771223;0
SLF1LC;19771224;0
SLF1LC;19771225;0
SLF1LC;19771226;0
SLF1LC;19771227;4
SLF1LC;19771228;2
SLF1LC;19771229;0
SLF1LC;19771230;26
SLF1LC;19771231;5
SLF1LC;19780101;0
SLF1LC;19780102;3
SLF1LC;19780103;10
SLF1LC;19780104;14
SLF1LC;19780105;0
SLF1LC;19780106;0
SLF1LC;19780107;0
SLF1LC;19780108;0
SLF1LC;19780109;0
SLF1LC;19780110;0
SLF1LC;19780111;14
SLF1LC;19780112;7
SLF1LC;19780113;0
SLF1LC;19780114;0
SLF1LC;19780115;0
SLF1LC;19780116;0
SLF1LC;19780117;0
SLF1LC;19780118;1
SLF1LC;19780119;4
SLF1LC;19780120;2
SLF1LC;19780121;0
SLF1LC;19780122;3
SLF1LC;19780123;12
SLF1LC;19780124;13
SLF1LC;19780125;10
SLF1LC;19780126;17
SLF1LC;19780127;0
SLF1LC;19780128;12
SLF1LC;19780129;22
SLF1LC;19780130;65
SLF1LC;19780131;4
SLF1LC;19780201;23
SLF1LC;19780202;67
SLF1LC;19780203;0
SLF1LC;19780204;0
SLF1LC;19780205;2
SLF1LC;19780206;18
SLF1LC;19780207;5
SLF1LC;19780208;1
SLF1LC;19780209;0
SLF1LC;19780210;1
SLF1LC;19780211;7
SLF1LC;19780212;2
SLF1LC;19780213;1
SLF1LC;19780214;0
SLF1LC;19780215;13
SLF1LC;19780216;0
SLF1LC;19780217;0
SLF1LC;19780218;0
SLF1LC;19780219;2
SLF1LC;19780220;0
SLF1LC;19780221;0
SLF1LC;19780222;0
SLF1LC;19780223;0
SLF1LC;19780224;0
SLF1LC;19780225;3
SLF1LC;19780226;2
SLF1LC;19780227;0
SLF1LC;19780228;0
SLF1LC;19780301;1
SLF1LC;19780302;0
SLF1LC;19780303;0
SLF1LC;19780304;5
SLF1LC;19780305;2
SLF1LC;19780306;0
SLF1LC;19780307;0
SLF1LC;19780308;0
SLF1LC;19780309;0
SLF1LC;19780310;0
SLF1LC;19780311;0
SLF1LC;19780312;0
SLF1LC;19780313;0
SLF1LC;19780314;6
SLF1LC;19780315;6
SLF1LC;19780316;24
SLF1LC;19780317;13
SLF1LC;19780318;5
SLF1LC;19780319;14
SLF1LC;19780320;8
SLF1LC;19780321;19
SLF1LC;19780322;15
SLF1LC;19780323;32
SLF1LC;19780324;16
SLF1LC;19780325;7
SLF1LC;19780326;28
SLF1LC;19780327;8
SLF1LC;19780328;0
SLF1LC;19780329;0
SLF1LC;19780330;0
SLF1LC;19780331;0
SLF1LC;19780401;2
SLF1LC;19780402;0
SLF1LC;19780403;0
SLF1LC;19780404;0
SLF1LC;19780405;0
SLF1LC;19780406;0
SLF1LC;19780407;0
SLF1LC;19780408;0
SLF1LC;19780409;0
SLF1LC;19780410;2
SLF1LC;19780411;5
SLF1LC;19780412;0
SLF1LC;19780413;0
SLF1LC;19780414;6
SLF1LC;19780415;0
SLF1LC;19780416;10
SLF1LC;19780417;0
SLF1LC;19780418;1
SLF1LC;19780419;0
SLF1LC;19780420;11
SLF1LC;19780421;0
SLF1LC;19780422;0
SLF1LC;19780423;0
SLF1LC;19780424;0
SLF1LC;19780425;0
SLF1LC;19780426;6
SLF1LC;19780427;0
SLF1LC;19780428;0
SLF1LC;19780429;0
SLF1LC;19780430;0
SLF1LC;19780501;5
SLF1LC;19780502;0
SLF1LC;19780503;0
SLF1LC;19780504;0
SLF1LC;19780505;0
SLF1LC;19780506;3
SLF1LC;19780507;4
SLF1LC;19780508;0
SLF1LC;19780509;0
SLF1LC;19780510;0
SLF1LC;19780511;0
SLF1LC;19780512;15
SLF1LC;19780513;6
SLF1LC;19780514;4
SLF1LC;19780515;0
SLF1LC;19780516;0
SLF1LC;19780517;0
SLF1LC;19780518;0
SLF1LC;19780519;0
SLF1LC;19780520;0
SLF1LC;19780521;0
SLF1LC;19780522;0
SLF1LC;19780523;0
SLF1LC;19780524;0
SLF1LC;19780525;0
SLF1LC;19780526;0
SLF1LC;19780527;0
SLF1LC;19780528;0
SLF1LC;19780529;0
