 

stn;time;hns000d0
SLF4OW;19661015;0
SLF4OW;19661016;0
SLF4OW;19661017;0
SLF4OW;19661018;0
SLF4OW;19661019;3
SLF4OW;19661020;0
SLF4OW;19661021;0
SLF4OW;19661022;0
SLF4OW;19661023;0
SLF4OW;19661024;0
SLF4OW;19661025;0
SLF4OW;19661026;2
SLF4OW;19661027;3
SLF4OW;19661028;6
SLF4OW;19661029;0
SLF4OW;19661030;0
SLF4OW;19661031;0
SLF4OW;19661101;0
SLF4OW;19661102;22
SLF4OW;19661103;34
SLF4OW;19661104;48
SLF4OW;19661105;10
SLF4OW;19661106;0
SLF4OW;19661107;0
SLF4OW;19661108;0
SLF4OW;19661109;0
SLF4OW;19661110;0
SLF4OW;19661111;0
SLF4OW;19661112;0
SLF4OW;19661113;0
SLF4OW;19661114;30
SLF4OW;19661115;18
SLF4OW;19661116;22
SLF4OW;19661117;11
SLF4OW;19661118;0
SLF4OW;19661119;2
SLF4OW;19661120;0
SLF4OW;19661121;0
SLF4OW;19661122;2
SLF4OW;19661123;5
SLF4OW;19661124;4
SLF4OW;19661125;0
SLF4OW;19661126;0
SLF4OW;19661127;0
SLF4OW;19661128;8
SLF4OW;19661129;3
SLF4OW;19661130;17
SLF4OW;19661201;0
SLF4OW;19661202;14
SLF4OW;19661203;5
SLF4OW;19661204;0
SLF4OW;19661205;0
SLF4OW;19661206;0
SLF4OW;19661207;0
SLF4OW;19661208;10
SLF4OW;19661209;4
SLF4OW;19661210;35
SLF4OW;19661211;18
SLF4OW;19661212;14
SLF4OW;19661213;32
SLF4OW;19661214;28
SLF4OW;19661215;11
SLF4OW;19661216;0
SLF4OW;19661217;0
SLF4OW;19661218;0
SLF4OW;19661219;0
SLF4OW;19661220;15
SLF4OW;19661221;17
SLF4OW;19661222;37
SLF4OW;19661223;12
SLF4OW;19661224;22
SLF4OW;19661225;0
SLF4OW;19661226;5
SLF4OW;19661227;0
SLF4OW;19661228;7
SLF4OW;19661229;15
SLF4OW;19661230;5
SLF4OW;19661231;15
SLF4OW;19670101;11
SLF4OW;19670102;24
SLF4OW;19670103;5
SLF4OW;19670104;10
SLF4OW;19670105;3
SLF4OW;19670106;5
SLF4OW;19670107;0
SLF4OW;19670108;0
SLF4OW;19670109;0
SLF4OW;19670110;0
SLF4OW;19670111;0
SLF4OW;19670112;0
SLF4OW;19670113;0
SLF4OW;19670114;5
SLF4OW;19670115;0
SLF4OW;19670116;0
SLF4OW;19670117;0
SLF4OW;19670118;0
SLF4OW;19670119;0
SLF4OW;19670120;0
SLF4OW;19670121;0
SLF4OW;19670122;3
SLF4OW;19670123;3
SLF4OW;19670124;23
SLF4OW;19670125;9
SLF4OW;19670126;21
SLF4OW;19670127;0
SLF4OW;19670128;0
SLF4OW;19670129;0
SLF4OW;19670130;0
SLF4OW;19670131;0
SLF4OW;19670201;0
SLF4OW;19670202;0
SLF4OW;19670203;0
SLF4OW;19670204;0
SLF4OW;19670205;0
SLF4OW;19670206;0
SLF4OW;19670207;0
SLF4OW;19670208;0
SLF4OW;19670209;0
SLF4OW;19670210;0
SLF4OW;19670211;0
SLF4OW;19670212;0
SLF4OW;19670213;0
SLF4OW;19670214;0
SLF4OW;19670215;0
SLF4OW;19670216;0
SLF4OW;19670217;5
SLF4OW;19670218;12
SLF4OW;19670219;38
SLF4OW;19670220;32
SLF4OW;19670221;0
SLF4OW;19670222;0
SLF4OW;19670223;0
SLF4OW;19670224;0
SLF4OW;19670225;0
SLF4OW;19670226;5
SLF4OW;19670227;2
SLF4OW;19670228;0
SLF4OW;19670301;27
SLF4OW;19670302;0
SLF4OW;19670303;0
SLF4OW;19670304;0
SLF4OW;19670305;0
SLF4OW;19670306;0
SLF4OW;19670307;0
SLF4OW;19670308;0
SLF4OW;19670309;0
SLF4OW;19670310;0
SLF4OW;19670311;0
SLF4OW;19670312;20
SLF4OW;19670313;32
SLF4OW;19670314;0
SLF4OW;19670315;0
SLF4OW;19670316;16
SLF4OW;19670317;22
SLF4OW;19670318;52
SLF4OW;19670319;43
SLF4OW;19670320;63
SLF4OW;19670321;0
SLF4OW;19670322;0
SLF4OW;19670323;6
SLF4OW;19670324;0
SLF4OW;19670325;0
SLF4OW;19670326;0
SLF4OW;19670327;11
SLF4OW;19670328;7
SLF4OW;19670329;0
SLF4OW;19670330;0
SLF4OW;19670331;5
SLF4OW;19670401;0
SLF4OW;19670402;5
SLF4OW;19670403;10
SLF4OW;19670404;0
SLF4OW;19670405;0
SLF4OW;19670406;5
SLF4OW;19670407;0
SLF4OW;19670408;0
SLF4OW;19670409;7
SLF4OW;19670410;0
SLF4OW;19670411;15
SLF4OW;19670412;0
SLF4OW;19670413;0
SLF4OW;19670414;0
SLF4OW;19670415;0
SLF4OW;19670416;0
SLF4OW;19670417;0
SLF4OW;19670418;0
SLF4OW;19670419;0
SLF4OW;19670420;0
SLF4OW;19670421;15
SLF4OW;19670422;3
SLF4OW;19670423;23
SLF4OW;19670424;8
SLF4OW;19670425;0
SLF4OW;19670426;0
SLF4OW;19670427;0
SLF4OW;19670428;0
SLF4OW;19670429;0
SLF4OW;19670430;0
SLF4OW;19670501;0
SLF4OW;19670502;23
SLF4OW;19670503;15
SLF4OW;19670504;0
SLF4OW;19670505;0
SLF4OW;19670506;0
SLF4OW;19670507;0
SLF4OW;19670508;0
SLF4OW;19670509;0
SLF4OW;19670510;0
SLF4OW;19670511;0
SLF4OW;19670512;0
SLF4OW;19670513;0
SLF4OW;19670514;0
SLF4OW;19670515;0
SLF4OW;19670516;0
SLF4OW;19670517;0
SLF4OW;19670518;0
SLF4OW;19670519;0
SLF4OW;19670520;0
SLF4OW;19670521;0
SLF4OW;19670522;6
SLF4OW;19670523;0
SLF4OW;19670524;0
SLF4OW;19670525;0
SLF4OW;19670526;0
SLF4OW;19670527;0
SLF4OW;19670528;0
SLF4OW;19670529;0
