 

stn;time;hns000d0
SLF4UL;19750930;0
SLF4UL;19751001;0
SLF4UL;19751002;0
SLF4UL;19751003;0
SLF4UL;19751004;0
SLF4UL;19751005;0
SLF4UL;19751006;0
SLF4UL;19751007;0
SLF4UL;19751008;0
SLF4UL;19751009;0
SLF4UL;19751010;10
SLF4UL;19751011;3
SLF4UL;19751012;5
SLF4UL;19751013;0
SLF4UL;19751014;0
SLF4UL;19751015;0
SLF4UL;19751016;0
SLF4UL;19751017;10
SLF4UL;19751018;0
SLF4UL;19751019;0
SLF4UL;19751020;0
SLF4UL;19751021;0
SLF4UL;19751022;0
SLF4UL;19751023;0
SLF4UL;19751024;0
SLF4UL;19751025;0
SLF4UL;19751026;0
SLF4UL;19751027;0
SLF4UL;19751028;0
SLF4UL;19751029;0
SLF4UL;19751030;0
SLF4UL;19751031;0
SLF4UL;19751101;0
SLF4UL;19751102;0
SLF4UL;19751103;0
SLF4UL;19751104;0
SLF4UL;19751105;0
SLF4UL;19751106;0
SLF4UL;19751107;28
SLF4UL;19751108;0
SLF4UL;19751109;0
SLF4UL;19751110;0
SLF4UL;19751111;0
SLF4UL;19751112;5
SLF4UL;19751113;0
SLF4UL;19751114;0
SLF4UL;19751115;3
SLF4UL;19751116;17
SLF4UL;19751117;36
SLF4UL;19751118;9
SLF4UL;19751119;12
SLF4UL;19751120;9
SLF4UL;19751121;2
SLF4UL;19751122;0
SLF4UL;19751123;0
SLF4UL;19751124;0
SLF4UL;19751125;0
SLF4UL;19751126;3
SLF4UL;19751127;0
SLF4UL;19751128;0
SLF4UL;19751129;3
SLF4UL;19751130;10
SLF4UL;19751201;0
SLF4UL;19751202;0
SLF4UL;19751203;0
SLF4UL;19751204;0
SLF4UL;19751205;0
SLF4UL;19751206;0
SLF4UL;19751207;0
SLF4UL;19751208;0
SLF4UL;19751209;0
SLF4UL;19751210;0
SLF4UL;19751211;0
SLF4UL;19751212;0
SLF4UL;19751213;0
SLF4UL;19751214;0
SLF4UL;19751215;0
SLF4UL;19751216;0
SLF4UL;19751217;8
SLF4UL;19751218;0
SLF4UL;19751219;0
SLF4UL;19751220;0
SLF4UL;19751221;0
SLF4UL;19751222;0
SLF4UL;19751223;0
SLF4UL;19751224;0
SLF4UL;19751225;4
SLF4UL;19751226;0
SLF4UL;19751227;0
SLF4UL;19751228;0
SLF4UL;19751229;0
SLF4UL;19751230;0
SLF4UL;19751231;0
SLF4UL;19760101;3
SLF4UL;19760102;0
SLF4UL;19760103;0
SLF4UL;19760104;0
SLF4UL;19760105;0
SLF4UL;19760106;0
SLF4UL;19760107;0
SLF4UL;19760108;0
SLF4UL;19760109;0
SLF4UL;19760110;10
SLF4UL;19760111;0
SLF4UL;19760112;0
SLF4UL;19760113;0
SLF4UL;19760114;2
SLF4UL;19760115;10
SLF4UL;19760116;15
SLF4UL;19760117;0
SLF4UL;19760118;0
SLF4UL;19760119;1
SLF4UL;19760120;8
SLF4UL;19760121;1
SLF4UL;19760122;10
SLF4UL;19760123;11
SLF4UL;19760124;2
SLF4UL;19760125;0
SLF4UL;19760126;0
SLF4UL;19760127;7
SLF4UL;19760128;0
SLF4UL;19760129;0
SLF4UL;19760130;0
SLF4UL;19760131;0
SLF4UL;19760201;5
SLF4UL;19760202;0
SLF4UL;19760203;0
SLF4UL;19760204;0
SLF4UL;19760205;0
SLF4UL;19760206;0
SLF4UL;19760207;0
SLF4UL;19760208;0
SLF4UL;19760209;0
SLF4UL;19760210;4
SLF4UL;19760211;5
SLF4UL;19760212;4
SLF4UL;19760213;5
SLF4UL;19760214;0
SLF4UL;19760215;2
SLF4UL;19760216;0
SLF4UL;19760217;0
SLF4UL;19760218;0
SLF4UL;19760219;0
SLF4UL;19760220;0
SLF4UL;19760221;0
SLF4UL;19760222;0
SLF4UL;19760223;0
SLF4UL;19760224;0
SLF4UL;19760225;0
SLF4UL;19760226;0
SLF4UL;19760227;0
SLF4UL;19760228;0
SLF4UL;19760229;0
SLF4UL;19760301;0
SLF4UL;19760302;0
SLF4UL;19760303;0
SLF4UL;19760304;0
SLF4UL;19760305;0
SLF4UL;19760306;0
SLF4UL;19760307;0
SLF4UL;19760308;0
SLF4UL;19760309;0
SLF4UL;19760310;0
SLF4UL;19760311;0
SLF4UL;19760312;0
SLF4UL;19760313;0
SLF4UL;19760314;0
SLF4UL;19760315;0
SLF4UL;19760316;0
SLF4UL;19760317;0
SLF4UL;19760318;0
SLF4UL;19760319;0
SLF4UL;19760320;0
SLF4UL;19760321;0
SLF4UL;19760322;3
SLF4UL;19760323;0
SLF4UL;19760324;0
SLF4UL;19760325;3
SLF4UL;19760326;0
SLF4UL;19760327;0
SLF4UL;19760328;0
SLF4UL;19760329;0
SLF4UL;19760330;0
SLF4UL;19760331;0
SLF4UL;19760401;0
SLF4UL;19760402;0
SLF4UL;19760403;0
SLF4UL;19760404;0
SLF4UL;19760405;0
SLF4UL;19760406;0
SLF4UL;19760407;2
SLF4UL;19760408;0
SLF4UL;19760409;0
SLF4UL;19760410;0
SLF4UL;19760411;0
SLF4UL;19760412;0
SLF4UL;19760413;0
SLF4UL;19760414;39
SLF4UL;19760415;0
SLF4UL;19760416;0
SLF4UL;19760417;0
SLF4UL;19760418;0
SLF4UL;19760419;0
SLF4UL;19760420;0
SLF4UL;19760421;0
SLF4UL;19760422;0
SLF4UL;19760423;73
SLF4UL;19760424;0
SLF4UL;19760425;2
SLF4UL;19760426;0
SLF4UL;19760427;0
SLF4UL;19760428;0
