 

stn;time;hns000d0
SWA;20100101;33
SWA;20100102;-
SWA;20100103;-
SWA;20100104;0
SWA;20100105;0
SWA;20100106;-
SWA;20100107;-
SWA;20100108;0
SWA;20100109;0
SWA;20100110;-
SWA;20100111;-
SWA;20100112;-
SWA;20100113;-
SWA;20100114;-
SWA;20100115;-
SWA;20100116;0
SWA;20100117;2
SWA;20100118;-
SWA;20100119;-
SWA;20100120;-
SWA;20100121;-
SWA;20100122;0
SWA;20100123;0
SWA;20100124;-
SWA;20100125;-
SWA;20100126;0
SWA;20100127;-
SWA;20100128;-
SWA;20100129;-
SWA;20100130;-
SWA;20100131;-
SWA;20100201;-
SWA;20100202;-
SWA;20100203;0
SWA;20100204;0
SWA;20100205;0
SWA;20100206;0
SWA;20100207;0
SWA;20100208;-
SWA;20100209;-
SWA;20100210;0
SWA;20100211;10
SWA;20100212;6
SWA;20100213;0
SWA;20100214;0
SWA;20100215;0
SWA;20100216;0
SWA;20100217;0
SWA;20100218;0
SWA;20100219;0
SWA;20100220;-
SWA;20100221;-
SWA;20100222;0
SWA;20100223;-
SWA;20100224;-
SWA;20100225;0
SWA;20100226;3
SWA;20100227;0
SWA;20100228;0
SWA;20100301;1
SWA;20100302;4
SWA;20100303;2
SWA;20100304;1
SWA;20100305;4
SWA;20100306;9
SWA;20100307;-
SWA;20100308;-
SWA;20100309;0
SWA;20100310;0
SWA;20100311;5
SWA;20100312;0
SWA;20100313;0
SWA;20100314;0
SWA;20100315;6
SWA;20100316;10
SWA;20100317;11
SWA;20100318;0
SWA;20100319;0
SWA;20100320;0
SWA;20100321;0
SWA;20100322;0
SWA;20100323;0
SWA;20100324;0
SWA;20100325;0
SWA;20100326;0
SWA;20100327;11
SWA;20100328;15
SWA;20100329;0
SWA;20100330;0
SWA;20100331;6
SWA;20100401;0
SWA;20100402;15
SWA;20100403;0
SWA;20100404;2
SWA;20100405;9
SWA;20100406;7
SWA;20100407;-
SWA;20100408;-
SWA;20100409;-
SWA;20100410;-
SWA;20100411;-
SWA;20100412;6
SWA;20100413;4
SWA;20100414;0
SWA;20100415;2
SWA;20100416;-
SWA;20100417;-
SWA;20100418;-
SWA;20100419;-
SWA;20100420;-
SWA;20100421;-
SWA;20100422;-
SWA;20100423;-
SWA;20100424;-
SWA;20100425;-
SWA;20100426;0
SWA;20100427;-
SWA;20100428;-
SWA;20100429;-
SWA;20100430;-
SWA;20100501;0
SWA;20100502;0
SWA;20100503;0
SWA;20100504;0
SWA;20100505;0
SWA;20100506;0
SWA;20100507;0
SWA;20100508;-
SWA;20100509;-
SWA;20100510;0
SWA;20100511;0
SWA;20100512;0
SWA;20100513;0
SWA;20100514;0
SWA;20100515;0
SWA;20100516;0
SWA;20100517;0
SWA;20100518;0
SWA;20100519;0
SWA;20100520;0
SWA;20100521;-
SWA;20100522;-
SWA;20100523;-
SWA;20100524;-
SWA;20100525;-
SWA;20100526;-
SWA;20100527;0
SWA;20100528;-
SWA;20100529;-
SWA;20100530;-
SWA;20100531;0
SWA;20100601;0
SWA;20100602;0
SWA;20100603;0
SWA;20100604;0
SWA;20100605;0
SWA;20100606;0
SWA;20100607;0
SWA;20100608;0
SWA;20100609;0
SWA;20100610;0
SWA;20100611;0
SWA;20100612;0
SWA;20100613;0
SWA;20100614;0
SWA;20100615;0
SWA;20100616;0
SWA;20100617;0
SWA;20100618;0
SWA;20100619;0
SWA;20100620;0
SWA;20100621;0
SWA;20100622;0
SWA;20100623;0
SWA;20100624;0
SWA;20100625;0
SWA;20100626;0
SWA;20100627;0
SWA;20100628;0
SWA;20100629;0
SWA;20100630;0
SWA;20100701;-
SWA;20100702;-
SWA;20100703;-
SWA;20100704;-
SWA;20100705;0
SWA;20100706;0
SWA;20100707;-
SWA;20100708;-
SWA;20100709;-
SWA;20100710;-
SWA;20100711;0
SWA;20100712;0
SWA;20100713;-
SWA;20100714;-
SWA;20100715;-
SWA;20100716;-
SWA;20100717;-
SWA;20100718;-
SWA;20100719;-
SWA;20100720;-
SWA;20100721;-
SWA;20100722;0
SWA;20100723;0
SWA;20100724;0
SWA;20100725;-
SWA;20100726;-
SWA;20100727;0
SWA;20100728;0
SWA;20100729;0
SWA;20100730;0
SWA;20100731;-
SWA;20100801;0
SWA;20100802;0
SWA;20100803;0
SWA;20100804;0
SWA;20100805;0
SWA;20100806;0
SWA;20100807;0
SWA;20100808;0
SWA;20100809;0
SWA;20100810;0
SWA;20100811;0
SWA;20100812;0
SWA;20100813;0
SWA;20100814;0
SWA;20100815;0
SWA;20100816;0
SWA;20100817;0
SWA;20100818;0
SWA;20100819;0
SWA;20100820;0
SWA;20100821;0
SWA;20100822;0
SWA;20100823;0
SWA;20100824;0
SWA;20100825;0
SWA;20100826;0
SWA;20100827;0
SWA;20100828;0
SWA;20100829;0
SWA;20100830;0
SWA;20100831;0
SWA;20100901;0
SWA;20100902;0
SWA;20100903;0
SWA;20100904;0
SWA;20100905;0
SWA;20100906;0
SWA;20100907;0
SWA;20100908;0
SWA;20100909;0
SWA;20100910;0
SWA;20100911;0
SWA;20100912;0
SWA;20100913;0
SWA;20100914;0
SWA;20100915;0
SWA;20100916;0
SWA;20100917;0
SWA;20100918;0
SWA;20100919;0
SWA;20100920;0
SWA;20100921;0
SWA;20100922;0
SWA;20100923;0
SWA;20100924;0
SWA;20100925;0
SWA;20100926;0
SWA;20100927;0
SWA;20100928;0
SWA;20100929;0
SWA;20100930;0
SWA;20101001;0
SWA;20101002;0
SWA;20101003;0
SWA;20101004;0
SWA;20101005;0
SWA;20101006;0
SWA;20101007;0
SWA;20101008;0
SWA;20101009;0
SWA;20101010;0
SWA;20101011;0
SWA;20101012;0
SWA;20101013;0
SWA;20101014;0
SWA;20101015;0
SWA;20101016;0
SWA;20101017;7
SWA;20101018;15
SWA;20101019;0
SWA;20101020;0
SWA;20101021;0
SWA;20101022;0
SWA;20101023;0
SWA;20101024;2
SWA;20101025;43
SWA;20101026;0
SWA;20101027;0
SWA;20101028;0
SWA;20101029;0
SWA;20101030;0
SWA;20101031;0
SWA;20101101;-
SWA;20101102;-
SWA;20101103;-
SWA;20101104;-
SWA;20101105;-
SWA;20101106;-
SWA;20101107;-
SWA;20101108;-
SWA;20101109;-
SWA;20101110;-
SWA;20101111;-
SWA;20101112;-
SWA;20101113;-
SWA;20101114;-
SWA;20101115;-
SWA;20101116;-
SWA;20101117;-
SWA;20101118;-
SWA;20101119;-
SWA;20101120;-
SWA;20101121;-
SWA;20101122;-
SWA;20101123;-
SWA;20101124;-
SWA;20101125;-
SWA;20101126;-
SWA;20101127;-
SWA;20101128;-
SWA;20101129;-
SWA;20101130;-
SWA;20101201;0
SWA;20101202;18
SWA;20101203;0
SWA;20101204;0
SWA;20101205;0
SWA;20101206;0
SWA;20101207;0
SWA;20101208;0
SWA;20101209;19
SWA;20101210;9
SWA;20101211;0
SWA;20101212;0
SWA;20101213;18
SWA;20101214;10
SWA;20101215;12
SWA;20101216;23
SWA;20101217;9
SWA;20101218;21
SWA;20101219;5
SWA;20101220;0
SWA;20101221;0
SWA;20101222;0
SWA;20101223;0
SWA;20101224;9
SWA;20101225;12
SWA;20101226;11
SWA;20101227;0
SWA;20101228;0
SWA;20101229;6
SWA;20101230;0
SWA;20101231;0
SWA;20110101;0
SWA;20110102;0
SWA;20110103;0
SWA;20110104;0
SWA;20110105;0
SWA;20110106;0
SWA;20110107;0
SWA;20110108;0
SWA;20110109;8
SWA;20110110;0
SWA;20110111;0
SWA;20110112;13
SWA;20110113;0
SWA;20110114;0
SWA;20110115;0
SWA;20110116;0
SWA;20110117;0
SWA;20110118;0
SWA;20110119;2
SWA;20110120;13
SWA;20110121;23
SWA;20110122;2
SWA;20110123;5
SWA;20110124;0
SWA;20110125;3
SWA;20110126;5
SWA;20110127;0
SWA;20110128;0
SWA;20110129;0
SWA;20110130;0
SWA;20110131;0
SWA;20110201;0
SWA;20110202;0
SWA;20110203;0
SWA;20110204;0
SWA;20110205;0
SWA;20110206;0
SWA;20110207;0
SWA;20110208;0
SWA;20110209;0
SWA;20110210;0
SWA;20110211;0
SWA;20110212;0
SWA;20110213;0
SWA;20110214;0
SWA;20110215;0
SWA;20110216;0
SWA;20110217;1
SWA;20110218;0
SWA;20110219;1
SWA;20110220;0
SWA;20110221;30
SWA;20110222;8
SWA;20110223;5
SWA;20110224;0
SWA;20110225;0
SWA;20110226;0
SWA;20110227;10
SWA;20110228;27
