 

stn;time;hns000d0
CDM;19741101;5
CDM;19741102;0
CDM;19741103;0
CDM;19741104;15
CDM;19741105;0
CDM;19741106;0
CDM;19741107;0
CDM;19741108;0
CDM;19741109;0
CDM;19741110;0
CDM;19741111;0
CDM;19741112;0
CDM;19741113;0
CDM;19741114;0
CDM;19741115;0
CDM;19741116;0
CDM;19741117;0
CDM;19741118;30
CDM;19741119;0
CDM;19741120;5
CDM;19741121;0
CDM;19741122;0
CDM;19741123;0
CDM;19741124;0
CDM;19741125;10
CDM;19741126;20
CDM;19741127;0
CDM;19741128;80
CDM;19741129;20
CDM;19741130;40
CDM;19741201;0
CDM;19741202;0
CDM;19741203;0
CDM;19741204;2
CDM;19741205;0
CDM;19741206;2
CDM;19741207;0
CDM;19741208;0
CDM;19741209;0
CDM;19741210;0
CDM;19741211;20
CDM;19741212;20
CDM;19741213;20
CDM;19741214;0
CDM;19741215;0
CDM;19741216;30
CDM;19741217;0
CDM;19741218;20
CDM;19741219;0
CDM;19741220;0
CDM;19741221;0
CDM;19741222;0
CDM;19741223;0
CDM;19741224;0
CDM;19741225;0
CDM;19741226;0
CDM;19741227;10
CDM;19741228;0
CDM;19741229;10
CDM;19741230;5
CDM;19741231;0
CDM;19750101;0
CDM;19750102;0
CDM;19750103;0
CDM;19750104;0
CDM;19750105;0
CDM;19750106;0
CDM;19750107;15
CDM;19750108;15
CDM;19750109;0
CDM;19750110;0
CDM;19750111;0
CDM;19750112;0
CDM;19750113;0
CDM;19750114;0
CDM;19750115;0
CDM;19750116;0
CDM;19750117;0
CDM;19750118;15
CDM;19750119;0
CDM;19750120;0
CDM;19750121;5
CDM;19750122;0
CDM;19750123;0
CDM;19750124;0
CDM;19750125;0
CDM;19750126;0
CDM;19750127;20
CDM;19750128;10
CDM;19750129;0
CDM;19750130;0
CDM;19750131;5
CDM;19750201;5
CDM;19750202;0
CDM;19750203;0
CDM;19750204;0
CDM;19750205;0
CDM;19750206;0
CDM;19750207;0
CDM;19750208;0
CDM;19750209;0
CDM;19750210;0
CDM;19750211;0
CDM;19750212;5
CDM;19750213;2
CDM;19750214;0
CDM;19750215;0
CDM;19750216;0
CDM;19750217;0
CDM;19750218;0
CDM;19750219;10
CDM;19750220;0
CDM;19750221;0
CDM;19750222;0
CDM;19750223;0
CDM;19750224;0
CDM;19750225;0
CDM;19750226;0
CDM;19750227;0
CDM;19750228;0
CDM;19750301;0
CDM;19750302;0
CDM;19750303;10
CDM;19750304;10
CDM;19750305;0
CDM;19750306;0
CDM;19750307;0
CDM;19750308;0
CDM;19750309;10
CDM;19750310;10
CDM;19750311;0
CDM;19750312;0
CDM;19750313;2
CDM;19750314;2
CDM;19750315;5
CDM;19750316;10
CDM;19750317;10
CDM;19750318;20
CDM;19750319;10
CDM;19750320;0
CDM;19750321;0
CDM;19750322;20
CDM;19750323;5
CDM;19750324;30
CDM;19750325;5
CDM;19750326;0
CDM;19750327;15
CDM;19750328;25
CDM;19750329;0
CDM;19750330;0
CDM;19750331;0
CDM;19750401;0
CDM;19750402;0
CDM;19750403;5
CDM;19750404;5
CDM;19750405;20
CDM;19750406;10
CDM;19750407;0
CDM;19750408;5
CDM;19750409;10
CDM;19750410;20
CDM;19750411;0
CDM;19750412;0
CDM;19750413;0
CDM;19750414;0
CDM;19750415;20
CDM;19750416;10
CDM;19750417;0
CDM;19750418;0
CDM;19750419;0
CDM;19750420;0
CDM;19750421;0
CDM;19750422;0
CDM;19750423;0
CDM;19750424;0
CDM;19750425;0
CDM;19750426;0
CDM;19750427;0
CDM;19750428;0
CDM;19750429;0
CDM;19750430;0
CDM;19750501;0
CDM;19750502;0
CDM;19750503;5
CDM;19750504;0
CDM;19750505;0
CDM;19750506;0
CDM;19750507;0
CDM;19750508;0
CDM;19750509;0
CDM;19750510;0
CDM;19750511;0
CDM;19750512;0
CDM;19750513;0
CDM;19750514;0
CDM;19750515;0
CDM;19750516;0
CDM;19750517;0
CDM;19750518;0
CDM;19750519;0
CDM;19750520;0
CDM;19750521;0
CDM;19750522;0
CDM;19750523;0
CDM;19750524;0
CDM;19750525;0
CDM;19750526;0
CDM;19750527;0
CDM;19750528;0
CDM;19750529;0
CDM;19750530;0
