 

stn;time;hns000d0
MVE;20130930;0
MVE;20131001;0
MVE;20131002;0
MVE;20131003;0
MVE;20131004;0
MVE;20131005;0
MVE;20131006;0
MVE;20131007;0
MVE;20131008;0
MVE;20131009;0
MVE;20131010;0
MVE;20131011;0
MVE;20131012;0
MVE;20131013;0
MVE;20131014;0
MVE;20131015;0
MVE;20131016;0
MVE;20131017;0
MVE;20131018;0
MVE;20131019;0
MVE;20131020;0
MVE;20131021;0
MVE;20131022;0
MVE;20131023;0
MVE;20131024;0
MVE;20131025;0
MVE;20131026;0
MVE;20131027;0
MVE;20131028;0
MVE;20131029;0
MVE;20131030;0
MVE;20131031;0
MVE;20131101;0
MVE;20131102;0
MVE;20131103;0
MVE;20131104;0
MVE;20131105;0
MVE;20131106;0
MVE;20131107;0
MVE;20131108;0
MVE;20131109;16
MVE;20131110;22
MVE;20131111;0
MVE;20131112;0
MVE;20131113;0
MVE;20131114;7
MVE;20131115;0
MVE;20131116;0
MVE;20131117;0
MVE;20131118;0
MVE;20131119;1
MVE;20131120;5
MVE;20131121;6
MVE;20131122;0
MVE;20131123;0
MVE;20131124;0
MVE;20131125;0
MVE;20131126;1
MVE;20131127;0
MVE;20131128;0
MVE;20131129;6
MVE;20131130;3
MVE;20131201;0
MVE;20131202;0
MVE;20131203;0
MVE;20131204;0
MVE;20131205;0
MVE;20131206;0
MVE;20131207;0
MVE;20131208;0
MVE;20131209;0
MVE;20131210;0
MVE;20131211;0
MVE;20131212;0
MVE;20131213;0
MVE;20131214;0
MVE;20131215;0
MVE;20131216;0
MVE;20131217;0
MVE;20131218;0
MVE;20131219;0
MVE;20131220;0
MVE;20131221;0
MVE;20131222;0
MVE;20131223;0
MVE;20131224;0
MVE;20131225;15
MVE;20131226;12
MVE;20131227;0
MVE;20131228;5
MVE;20131229;0
MVE;20131230;0
MVE;20131231;0
MVE;20140101;0
MVE;20140102;0
MVE;20140103;0
MVE;20140104;10
MVE;20140105;0
MVE;20140106;0
MVE;20140107;0
MVE;20140108;0
MVE;20140109;0
MVE;20140110;0
MVE;20140111;0
MVE;20140112;0
MVE;20140113;8
MVE;20140114;0
MVE;20140115;0
MVE;20140116;4
MVE;20140117;0
MVE;20140118;0
MVE;20140119;0
MVE;20140120;0
MVE;20140121;0
MVE;20140122;0
MVE;20140123;17
MVE;20140124;0
MVE;20140125;0
MVE;20140126;20
MVE;20140127;0
MVE;20140128;0
MVE;20140129;0
MVE;20140130;0
MVE;20140131;0
MVE;20140201;8
MVE;20140202;0
MVE;20140203;0
MVE;20140204;0
MVE;20140205;3
MVE;20140206;0
MVE;20140207;7
MVE;20140208;5
MVE;20140209;0
MVE;20140210;3
MVE;20140211;0
MVE;20140212;8
MVE;20140213;20
MVE;20140214;0
MVE;20140215;6
MVE;20140216;15
MVE;20140217;0
MVE;20140218;0
MVE;20140219;0
MVE;20140220;0
MVE;20140221;2
MVE;20140222;19
MVE;20140223;0
MVE;20140224;0
MVE;20140225;0
MVE;20140226;0
MVE;20140227;9
MVE;20140228;10
MVE;20140301;1
MVE;20140302;0
MVE;20140303;2
MVE;20140304;0
MVE;20140305;0
MVE;20140306;0
MVE;20140307;0
MVE;20140308;0
MVE;20140309;0
MVE;20140310;0
MVE;20140311;0
MVE;20140312;0
MVE;20140313;0
MVE;20140314;0
MVE;20140315;0
MVE;20140316;0
MVE;20140317;0
MVE;20140318;0
MVE;20140319;0
MVE;20140320;0
MVE;20140321;0
MVE;20140322;0
MVE;20140323;8
MVE;20140324;0
MVE;20140325;0
MVE;20140326;0
MVE;20140327;0
MVE;20140328;0
MVE;20140329;0
MVE;20140330;0
MVE;20140331;0
MVE;20140401;0
MVE;20140402;0
MVE;20140403;0
MVE;20140404;0
MVE;20140405;0
MVE;20140406;0
MVE;20140407;0
MVE;20140408;0
MVE;20140409;0
MVE;20140410;0
MVE;20140411;0
MVE;20140412;0
MVE;20140413;0
MVE;20140414;0
MVE;20140415;0
MVE;20140416;0
MVE;20140417;0
MVE;20140418;0
MVE;20140419;0
MVE;20140420;0
MVE;20140421;0
MVE;20140422;0
MVE;20140423;0
MVE;20140424;0
MVE;20140425;0
MVE;20140426;0
MVE;20140427;0
MVE;20140428;0
MVE;20140429;0
MVE;20140430;0
MVE;20140501;0
MVE;20140502;0
MVE;20140503;0
MVE;20140504;0
MVE;20140505;0
MVE;20140506;0
MVE;20140507;0
MVE;20140508;0
MVE;20140509;0
MVE;20140510;0
MVE;20140511;0
MVE;20140512;0
MVE;20140513;0
MVE;20140514;0
MVE;20140515;0
MVE;20140516;0
MVE;20140517;0
MVE;20140518;0
MVE;20140519;0
MVE;20140520;0
MVE;20140521;0
MVE;20140522;0
MVE;20140523;0
MVE;20140524;0
MVE;20140525;0
MVE;20140526;0
MVE;20140527;0
MVE;20140528;0
MVE;20140529;0
