 

stn;time;hns000d0
SLF4MS;19681031;0
SLF4MS;19681101;0
SLF4MS;19681102;0
SLF4MS;19681103;0
SLF4MS;19681104;2
SLF4MS;19681105;0
SLF4MS;19681106;0
SLF4MS;19681107;0
SLF4MS;19681108;0
SLF4MS;19681109;0
SLF4MS;19681110;0
SLF4MS;19681111;0
SLF4MS;19681112;0
SLF4MS;19681113;0
SLF4MS;19681114;0
SLF4MS;19681115;1
SLF4MS;19681116;19
SLF4MS;19681117;11
SLF4MS;19681118;0
SLF4MS;19681119;0
SLF4MS;19681120;0
SLF4MS;19681121;0
SLF4MS;19681122;0
SLF4MS;19681123;0
SLF4MS;19681124;0
SLF4MS;19681125;0
SLF4MS;19681126;0
SLF4MS;19681127;0
SLF4MS;19681128;0
SLF4MS;19681129;0
SLF4MS;19681130;0
SLF4MS;19681201;0
SLF4MS;19681202;0
SLF4MS;19681203;0
SLF4MS;19681204;0
SLF4MS;19681205;0
SLF4MS;19681206;0
SLF4MS;19681207;0
SLF4MS;19681208;0
SLF4MS;19681209;0
SLF4MS;19681210;0
SLF4MS;19681211;0
SLF4MS;19681212;0
SLF4MS;19681213;0
SLF4MS;19681214;0
SLF4MS;19681215;0
SLF4MS;19681216;2
SLF4MS;19681217;2
SLF4MS;19681218;0
SLF4MS;19681219;2
SLF4MS;19681220;0
SLF4MS;19681221;8
SLF4MS;19681222;18
SLF4MS;19681223;39
SLF4MS;19681224;48
SLF4MS;19681225;43
SLF4MS;19681226;3
SLF4MS;19681227;10
SLF4MS;19681228;7
SLF4MS;19681229;1
SLF4MS;19681230;0
SLF4MS;19681231;0
SLF4MS;19690101;0
SLF4MS;19690102;3
SLF4MS;19690103;0
SLF4MS;19690104;0
SLF4MS;19690105;0
SLF4MS;19690106;0
SLF4MS;19690107;0
SLF4MS;19690108;1
SLF4MS;19690109;0
SLF4MS;19690110;0
SLF4MS;19690111;0
SLF4MS;19690112;0
SLF4MS;19690113;1
SLF4MS;19690114;24
SLF4MS;19690115;0
SLF4MS;19690116;3
SLF4MS;19690117;2
SLF4MS;19690118;8
SLF4MS;19690119;2
SLF4MS;19690120;0
SLF4MS;19690121;0
SLF4MS;19690122;0
SLF4MS;19690123;1
SLF4MS;19690124;0
SLF4MS;19690125;0
SLF4MS;19690126;0
SLF4MS;19690127;0
SLF4MS;19690128;4
SLF4MS;19690129;7
SLF4MS;19690130;1
SLF4MS;19690131;0
SLF4MS;19690201;0
SLF4MS;19690202;4
SLF4MS;19690203;0
SLF4MS;19690204;0
SLF4MS;19690205;0
SLF4MS;19690206;0
SLF4MS;19690207;0
SLF4MS;19690208;3
SLF4MS;19690209;0
SLF4MS;19690210;7
SLF4MS;19690211;11
SLF4MS;19690212;13
SLF4MS;19690213;0
SLF4MS;19690214;4
SLF4MS;19690215;10
SLF4MS;19690216;4
SLF4MS;19690217;0
SLF4MS;19690218;4
SLF4MS;19690219;4
SLF4MS;19690220;1
SLF4MS;19690221;0
SLF4MS;19690222;0
SLF4MS;19690223;0
SLF4MS;19690224;12
SLF4MS;19690225;6
SLF4MS;19690226;0
SLF4MS;19690227;0
SLF4MS;19690228;0
SLF4MS;19690301;0
SLF4MS;19690302;0
SLF4MS;19690303;0
SLF4MS;19690304;0
SLF4MS;19690305;0
SLF4MS;19690306;0
SLF4MS;19690307;0
SLF4MS;19690308;0
SLF4MS;19690309;0
SLF4MS;19690310;0
SLF4MS;19690311;9
SLF4MS;19690312;0
SLF4MS;19690313;0
SLF4MS;19690314;0
SLF4MS;19690315;0
SLF4MS;19690316;0
SLF4MS;19690317;1
SLF4MS;19690318;0
SLF4MS;19690319;0
SLF4MS;19690320;4
SLF4MS;19690321;0
SLF4MS;19690322;0
SLF4MS;19690323;1
SLF4MS;19690324;0
SLF4MS;19690325;1
SLF4MS;19690326;2
SLF4MS;19690327;0
SLF4MS;19690328;0
SLF4MS;19690329;0
SLF4MS;19690330;5
SLF4MS;19690331;2
SLF4MS;19690401;0
SLF4MS;19690402;0
SLF4MS;19690403;0
SLF4MS;19690404;1
SLF4MS;19690405;1
SLF4MS;19690406;0
SLF4MS;19690407;0
SLF4MS;19690408;0
SLF4MS;19690409;0
SLF4MS;19690410;0
SLF4MS;19690411;0
SLF4MS;19690412;6
SLF4MS;19690413;5
SLF4MS;19690414;8
SLF4MS;19690415;14
SLF4MS;19690416;19
SLF4MS;19690417;4
SLF4MS;19690418;2
SLF4MS;19690419;1
SLF4MS;19690420;1
SLF4MS;19690421;6
SLF4MS;19690422;12
SLF4MS;19690423;3
SLF4MS;19690424;0
SLF4MS;19690425;0
SLF4MS;19690426;0
SLF4MS;19690427;0
SLF4MS;19690428;0
