 

stn;time;hns000d0
SLF5SE;19860930;0
SLF5SE;19861001;0
SLF5SE;19861002;0
SLF5SE;19861003;0
SLF5SE;19861004;0
SLF5SE;19861005;0
SLF5SE;19861006;0
SLF5SE;19861007;0
SLF5SE;19861008;0
SLF5SE;19861009;0
SLF5SE;19861010;0
SLF5SE;19861011;0
SLF5SE;19861012;0
SLF5SE;19861013;0
SLF5SE;19861014;0
SLF5SE;19861015;0
SLF5SE;19861016;0
SLF5SE;19861017;0
SLF5SE;19861018;0
SLF5SE;19861019;0
SLF5SE;19861020;0
SLF5SE;19861021;0
SLF5SE;19861022;0
SLF5SE;19861023;6
SLF5SE;19861024;0
SLF5SE;19861025;3
SLF5SE;19861026;3
SLF5SE;19861027;0
SLF5SE;19861028;0
SLF5SE;19861029;0
SLF5SE;19861030;0
SLF5SE;19861031;0
SLF5SE;19861101;0
SLF5SE;19861102;5
SLF5SE;19861103;0
SLF5SE;19861104;0
SLF5SE;19861105;0
SLF5SE;19861106;0
SLF5SE;19861107;0
SLF5SE;19861108;0
SLF5SE;19861109;0
SLF5SE;19861110;0
SLF5SE;19861111;0
SLF5SE;19861112;0
SLF5SE;19861113;0
SLF5SE;19861114;0
SLF5SE;19861115;0
SLF5SE;19861116;0
SLF5SE;19861117;0
SLF5SE;19861118;0
SLF5SE;19861119;0
SLF5SE;19861120;9
SLF5SE;19861121;4
SLF5SE;19861122;0
SLF5SE;19861123;9
SLF5SE;19861124;0
SLF5SE;19861125;0
SLF5SE;19861126;0
SLF5SE;19861127;0
SLF5SE;19861128;0
SLF5SE;19861129;0
SLF5SE;19861130;0
SLF5SE;19861201;0
SLF5SE;19861202;0
SLF5SE;19861203;0
SLF5SE;19861204;0
SLF5SE;19861205;0
SLF5SE;19861206;0
SLF5SE;19861207;0
SLF5SE;19861208;0
SLF5SE;19861209;0
SLF5SE;19861210;0
SLF5SE;19861211;0
SLF5SE;19861212;0
SLF5SE;19861213;0
SLF5SE;19861214;4
SLF5SE;19861215;1
SLF5SE;19861216;25
SLF5SE;19861217;15
SLF5SE;19861218;4
SLF5SE;19861219;15
SLF5SE;19861220;21
SLF5SE;19861221;18
SLF5SE;19861222;12
SLF5SE;19861223;4
SLF5SE;19861224;2
SLF5SE;19861225;8
SLF5SE;19861226;37
SLF5SE;19861227;29
SLF5SE;19861228;6
SLF5SE;19861229;2
SLF5SE;19861230;0
SLF5SE;19861231;1
SLF5SE;19870101;1
SLF5SE;19870102;35
SLF5SE;19870103;9
SLF5SE;19870104;5
SLF5SE;19870105;4
SLF5SE;19870106;28
SLF5SE;19870107;6
SLF5SE;19870108;1
SLF5SE;19870109;0
SLF5SE;19870110;3
SLF5SE;19870111;3
SLF5SE;19870112;0
SLF5SE;19870113;0
SLF5SE;19870114;7
SLF5SE;19870115;3
SLF5SE;19870116;1
SLF5SE;19870117;0
SLF5SE;19870118;0
SLF5SE;19870119;0
SLF5SE;19870120;0
SLF5SE;19870121;0
SLF5SE;19870122;0
SLF5SE;19870123;1
SLF5SE;19870124;0
SLF5SE;19870125;0
SLF5SE;19870126;0
SLF5SE;19870127;14
SLF5SE;19870128;16
SLF5SE;19870129;1
SLF5SE;19870130;0
SLF5SE;19870131;0
SLF5SE;19870201;0
SLF5SE;19870202;0
SLF5SE;19870203;0
SLF5SE;19870204;0
SLF5SE;19870205;0
SLF5SE;19870206;0
SLF5SE;19870207;1
SLF5SE;19870208;0
SLF5SE;19870209;0
SLF5SE;19870210;2
SLF5SE;19870211;1
SLF5SE;19870212;5
SLF5SE;19870213;4
SLF5SE;19870214;3
SLF5SE;19870215;11
SLF5SE;19870216;14
SLF5SE;19870217;17
SLF5SE;19870218;20
SLF5SE;19870219;9
SLF5SE;19870220;1
