 

stn;time;hns000d0
HOY;19781001;0
HOY;19781002;0
HOY;19781003;2
HOY;19781004;8
HOY;19781005;0
HOY;19781006;0
HOY;19781007;0
HOY;19781008;0
HOY;19781009;0
HOY;19781010;0
HOY;19781011;0
HOY;19781012;0
HOY;19781013;0
HOY;19781014;0
HOY;19781015;0
HOY;19781016;-
HOY;19781017;29
HOY;19781018;0
HOY;19781019;0
HOY;19781020;-
HOY;19781021;-
HOY;19781022;0
HOY;19781023;0
HOY;19781024;0
HOY;19781025;-
HOY;19781026;-
HOY;19781027;0
HOY;19781028;0
HOY;19781029;0
HOY;19781030;0
HOY;19781031;0
HOY;19781101;0
HOY;19781102;0
HOY;19781103;0
HOY;19781104;0
HOY;19781105;0
HOY;19781106;0
HOY;19781107;0
HOY;19781108;0
HOY;19781109;0
HOY;19781110;0
HOY;19781111;0
HOY;19781112;0
HOY;19781113;0
HOY;19781114;0
HOY;19781115;0
HOY;19781116;-
HOY;19781117;0
HOY;19781118;0
HOY;19781119;0
HOY;19781120;0
HOY;19781121;0
HOY;19781122;0
HOY;19781123;0
HOY;19781124;0
HOY;19781125;23
HOY;19781126;26
HOY;19781127;12
HOY;19781128;26
HOY;19781129;3
HOY;19781130;0
HOY;19781201;0
HOY;19781202;0
HOY;19781203;0
HOY;19781204;0
HOY;19781205;0
HOY;19781206;0
HOY;19781207;0
HOY;19781208;0
HOY;19781209;0
HOY;19781210;0
HOY;19781211;0
HOY;19781212;5
HOY;19781213;9
HOY;19781214;5
HOY;19781215;1
HOY;19781216;16
HOY;19781217;2
HOY;19781218;0
HOY;19781219;2
HOY;19781220;0
HOY;19781221;0
HOY;19781222;4
HOY;19781223;0
HOY;19781224;0
HOY;19781225;0
HOY;19781226;0
HOY;19781227;0
HOY;19781228;0
HOY;19781229;10
HOY;19781230;0
HOY;19781231;13
HOY;19790101;16
HOY;19790102;33
HOY;19790103;6
HOY;19790104;0
HOY;19790105;0
HOY;19790106;0
HOY;19790107;0
HOY;19790108;0
HOY;19790109;20
HOY;19790110;0
HOY;19790111;39
HOY;19790112;30
HOY;19790113;27
HOY;19790114;4
HOY;19790115;2
HOY;19790116;0
HOY;19790117;0
HOY;19790118;0
HOY;19790119;0
HOY;19790120;0
HOY;19790121;0
HOY;19790122;0
HOY;19790123;1
HOY;19790124;13
HOY;19790125;0
HOY;19790126;4
HOY;19790127;0
HOY;19790128;15
HOY;19790129;3
HOY;19790130;24
HOY;19790131;7
HOY;19790201;0
HOY;19790202;0
HOY;19790203;0
HOY;19790204;1
HOY;19790205;21
HOY;19790206;0
HOY;19790207;7
HOY;19790208;2
HOY;19790209;0
HOY;19790210;0
HOY;19790211;1
HOY;19790212;0
HOY;19790213;5
HOY;19790214;0
HOY;19790215;0
HOY;19790216;-
HOY;19790217;1
HOY;19790218;3
HOY;19790219;0
HOY;19790220;0
HOY;19790221;0
HOY;19790222;5
HOY;19790223;14
HOY;19790224;4
HOY;19790225;0
HOY;19790226;0
HOY;19790227;0
HOY;19790228;0
HOY;19790301;5
HOY;19790302;0
HOY;19790303;0
HOY;19790304;0
HOY;19790305;0
HOY;19790306;0
HOY;19790307;12
HOY;19790308;0
HOY;19790309;21
HOY;19790310;27
HOY;19790311;0
HOY;19790312;0
HOY;19790313;0
HOY;19790314;0
HOY;19790315;31
HOY;19790316;6
HOY;19790317;2
HOY;19790318;3
HOY;19790319;0
HOY;19790320;6
HOY;19790321;1
HOY;19790322;1
HOY;19790323;19
HOY;19790324;0
HOY;19790325;0
HOY;19790326;6
HOY;19790327;0
HOY;19790328;31
HOY;19790329;17
HOY;19790330;24
HOY;19790331;7
HOY;19790401;0
HOY;19790402;8
HOY;19790403;13
HOY;19790404;3
HOY;19790405;10
HOY;19790406;32
HOY;19790407;4
HOY;19790408;0
HOY;19790409;0
HOY;19790410;0
HOY;19790411;3
HOY;19790412;0
HOY;19790413;0
HOY;19790414;0
HOY;19790415;0
HOY;19790416;15
HOY;19790417;4
HOY;19790418;1
HOY;19790419;0
HOY;19790420;20
HOY;19790421;5
HOY;19790422;0
HOY;19790423;4
HOY;19790424;9
HOY;19790425;9
HOY;19790426;12
HOY;19790427;13
HOY;19790428;1
HOY;19790429;0
HOY;19790430;16
HOY;19790501;2
HOY;19790502;24
HOY;19790503;1
HOY;19790504;11
HOY;19790505;1
HOY;19790506;1
HOY;19790507;0
HOY;19790508;0
HOY;19790509;0
HOY;19790510;0
HOY;19790511;0
HOY;19790512;0
HOY;19790513;0
HOY;19790514;0
HOY;19790515;0
HOY;19790516;0
HOY;19790517;0
HOY;19790518;0
HOY;19790519;0
HOY;19790520;0
HOY;19790521;0
HOY;19790522;0
HOY;19790523;0
HOY;19790524;11
HOY;19790525;0
HOY;19790526;0
HOY;19790527;0
HOY;19790528;0
HOY;19790529;0
HOY;19790530;0
