 

stn;time;hns000d0
INF;19791105;2
INF;19791106;15
INF;19791107;3
INF;19791108;-
INF;19791109;26
INF;19791110;4
INF;19791111;-
INF;19791112;-
INF;19791113;1
INF;19791114;14
INF;19791115;30
INF;19791116;-
INF;19791117;-
INF;19791118;-
INF;19791119;2
INF;19791120;-
INF;19791121;-
INF;19791122;-
INF;19791123;-
INF;19791124;-
INF;19791125;-
INF;19791126;-
INF;19791127;-
INF;19791128;-
INF;19791129;-
INF;19791130;-
INF;19791201;-
INF;19791202;-
INF;19791203;-
INF;19791204;-
INF;19791205;-
INF;19791206;-
INF;19791207;-
INF;19791208;-
INF;19791209;-
INF;19791210;-
INF;19791211;11
INF;19791212;5
INF;19791213;-
INF;19791214;4
INF;19791215;6
INF;19791216;3
INF;19791217;4
INF;19791218;-
INF;19791219;9
INF;19791220;-
INF;19791221;30
INF;19791222;19
INF;19791223;-
INF;19791224;-
INF;19791225;-
INF;19791226;2
INF;19791227;-
INF;19791228;1
INF;19791229;1
INF;19791230;2
INF;19791231;3
INF;19800101;0
INF;19800102;11
INF;19800103;2
INF;19800104;5
INF;19800105;6
INF;19800106;0
INF;19800107;1
INF;19800108;0
INF;19800109;0
INF;19800110;1
INF;19800111;2
INF;19800112;0
INF;19800113;0
INF;19800114;0
INF;19800115;0
INF;19800116;0
INF;19800117;0
INF;19800118;0
INF;19800119;0
INF;19800120;0
INF;19800121;1
INF;19800122;9
INF;19800123;0
INF;19800124;3
INF;19800125;0
INF;19800126;1
INF;19800127;0
INF;19800128;0
INF;19800129;0
INF;19800130;0
INF;19800131;12
INF;19800201;1
INF;19800202;1
INF;19800203;3
INF;19800204;4
INF;19800205;-
INF;19800206;0
INF;19800207;0
INF;19800208;0
INF;19800209;0
INF;19800210;4
INF;19800211;0
INF;19800212;0
INF;19800213;0
INF;19800214;0
INF;19800215;0
INF;19800216;2
INF;19800217;2
INF;19800218;0
INF;19800219;0
INF;19800220;0
INF;19800221;0
INF;19800222;0
INF;19800223;0
INF;19800224;0
INF;19800225;0
INF;19800226;0
INF;19800227;0
INF;19800228;0
INF;19800229;0
INF;19800301;0
INF;19800302;0
INF;19800303;0
INF;19800304;0
INF;19800305;0
INF;19800306;0
INF;19800307;5
INF;19800308;2
INF;19800309;5
INF;19800310;1
INF;19800311;-
INF;19800312;0
INF;19800313;5
INF;19800314;0
INF;19800315;3
INF;19800316;0
INF;19800317;0
INF;19800318;0
INF;19800319;0
INF;19800320;1
INF;19800321;0
INF;19800322;7
INF;19800323;10
INF;19800324;0
INF;19800325;5
INF;19800326;0
INF;19800327;0
INF;19800328;0
INF;19800329;-
INF;19800330;0
INF;19800331;3
INF;19800401;0
INF;19800402;2
INF;19800403;4
INF;19800404;1
INF;19800405;1
INF;19800406;0
INF;19800407;0
INF;19800408;0
INF;19800409;0
INF;19800410;0
INF;19800411;0
INF;19800412;0
INF;19800413;0
INF;19800414;0
INF;19800415;0
INF;19800416;-
INF;19800417;-
INF;19800418;-
INF;19800419;-
INF;19800420;0
INF;19800421;1
INF;19800422;0
INF;19800423;5
INF;19800424;0
INF;19800425;0
INF;19800426;5
INF;19800427;0
INF;19800428;0
INF;19800429;0
INF;19800430;0
INF;19800501;0
INF;19800502;-
INF;19800503;-
INF;19800504;-
INF;19800505;-
INF;19800506;-
INF;19800507;-
INF;19800508;5
INF;19800509;-
INF;19800510;0
INF;19800511;0
INF;19800512;0
INF;19800513;-
INF;19800514;-
INF;19800515;-
INF;19800516;-
INF;19800517;0
INF;19800518;0
INF;19800519;0
INF;19800520;0
INF;19800521;0
INF;19800522;-
INF;19800523;-
INF;19800524;0
INF;19800525;0
INF;19800526;0
INF;19800527;-
