 

stn;time;hns000d0
SLF4WI;20070930;0
SLF4WI;20071001;0
SLF4WI;20071002;0
SLF4WI;20071003;0
SLF4WI;20071004;0
SLF4WI;20071005;0
SLF4WI;20071006;0
SLF4WI;20071007;0
SLF4WI;20071008;0
SLF4WI;20071009;0
SLF4WI;20071010;0
SLF4WI;20071011;0
SLF4WI;20071012;0
SLF4WI;20071013;0
SLF4WI;20071014;0
SLF4WI;20071015;0
SLF4WI;20071016;0
SLF4WI;20071017;0
SLF4WI;20071018;0
SLF4WI;20071019;0
SLF4WI;20071020;0
SLF4WI;20071021;0
SLF4WI;20071022;0
SLF4WI;20071023;0
SLF4WI;20071024;0
SLF4WI;20071025;0
SLF4WI;20071026;0
SLF4WI;20071027;0
SLF4WI;20071028;0
SLF4WI;20071029;0
SLF4WI;20071030;0
SLF4WI;20071031;0
SLF4WI;20071101;0
SLF4WI;20071102;0
SLF4WI;20071103;0
SLF4WI;20071104;0
SLF4WI;20071105;0
SLF4WI;20071106;0
SLF4WI;20071107;0
SLF4WI;20071108;4
SLF4WI;20071109;1
SLF4WI;20071110;26
SLF4WI;20071111;2
SLF4WI;20071112;0
SLF4WI;20071113;26
SLF4WI;20071114;10
SLF4WI;20071115;0
SLF4WI;20071116;0
SLF4WI;20071117;0
SLF4WI;20071118;0
SLF4WI;20071119;0
SLF4WI;20071120;0
SLF4WI;20071121;0
SLF4WI;20071122;0
SLF4WI;20071123;0
SLF4WI;20071124;0
SLF4WI;20071125;0
SLF4WI;20071126;0
SLF4WI;20071127;0
SLF4WI;20071128;0
SLF4WI;20071129;0
SLF4WI;20071130;0
SLF4WI;20071201;0
SLF4WI;20071202;6
SLF4WI;20071203;35
SLF4WI;20071204;1
SLF4WI;20071205;0
SLF4WI;20071206;0
SLF4WI;20071207;12
SLF4WI;20071208;14
SLF4WI;20071209;26
SLF4WI;20071210;32
SLF4WI;20071211;9
SLF4WI;20071212;0
SLF4WI;20071213;0
SLF4WI;20071214;0
SLF4WI;20071215;0
SLF4WI;20071216;0
SLF4WI;20071217;0
SLF4WI;20071218;0
SLF4WI;20071219;0
SLF4WI;20071220;0
SLF4WI;20071221;0
SLF4WI;20071222;0
SLF4WI;20071223;0
SLF4WI;20071224;0
SLF4WI;20071225;0
SLF4WI;20071226;0
SLF4WI;20071227;0
SLF4WI;20071228;0
SLF4WI;20071229;3
SLF4WI;20071230;0
SLF4WI;20071231;0
SLF4WI;20080101;0
SLF4WI;20080102;0
SLF4WI;20080103;0
SLF4WI;20080104;0
SLF4WI;20080105;25
SLF4WI;20080106;2
SLF4WI;20080107;2
SLF4WI;20080108;0
SLF4WI;20080109;2
SLF4WI;20080110;0
SLF4WI;20080111;2
SLF4WI;20080112;15
SLF4WI;20080113;0
SLF4WI;20080114;0
SLF4WI;20080115;0
SLF4WI;20080116;2
SLF4WI;20080117;7
SLF4WI;20080118;1
SLF4WI;20080119;0
SLF4WI;20080120;0
SLF4WI;20080121;2
SLF4WI;20080122;2
SLF4WI;20080123;0
SLF4WI;20080124;0
SLF4WI;20080125;0
SLF4WI;20080126;0
SLF4WI;20080127;0
SLF4WI;20080128;0
SLF4WI;20080129;0
SLF4WI;20080130;2
SLF4WI;20080131;0
SLF4WI;20080201;12
SLF4WI;20080202;0
SLF4WI;20080203;0
SLF4WI;20080204;5
SLF4WI;20080205;0
SLF4WI;20080206;1
SLF4WI;20080207;0
SLF4WI;20080208;0
SLF4WI;20080209;0
SLF4WI;20080210;0
SLF4WI;20080211;0
SLF4WI;20080212;0
SLF4WI;20080213;0
SLF4WI;20080214;0
SLF4WI;20080215;0
SLF4WI;20080216;0
SLF4WI;20080217;0
SLF4WI;20080218;0
SLF4WI;20080219;0
SLF4WI;20080220;2
SLF4WI;20080221;0
SLF4WI;20080222;0
SLF4WI;20080223;0
SLF4WI;20080224;0
SLF4WI;20080225;0
SLF4WI;20080226;0
SLF4WI;20080227;0
SLF4WI;20080228;0
SLF4WI;20080229;0
SLF4WI;20080301;0
SLF4WI;20080302;0
SLF4WI;20080303;0
SLF4WI;20080304;2
SLF4WI;20080305;0
SLF4WI;20080306;0
SLF4WI;20080307;0
SLF4WI;20080308;0
SLF4WI;20080309;0
SLF4WI;20080310;6
SLF4WI;20080311;3
SLF4WI;20080312;2
SLF4WI;20080313;1
SLF4WI;20080314;0
SLF4WI;20080315;0
SLF4WI;20080316;14
SLF4WI;20080317;2
SLF4WI;20080318;0
SLF4WI;20080319;0
SLF4WI;20080320;15
SLF4WI;20080321;47
SLF4WI;20080322;1
SLF4WI;20080323;0
SLF4WI;20080324;12
SLF4WI;20080325;2
SLF4WI;20080326;1
SLF4WI;20080327;0
SLF4WI;20080328;0
SLF4WI;20080329;0
SLF4WI;20080330;0
SLF4WI;20080331;0
SLF4WI;20080401;0
SLF4WI;20080402;12
SLF4WI;20080403;7
SLF4WI;20080404;0
SLF4WI;20080405;0
SLF4WI;20080406;6
SLF4WI;20080407;0
SLF4WI;20080408;0
SLF4WI;20080409;0
SLF4WI;20080410;0
SLF4WI;20080411;0
SLF4WI;20080412;0
SLF4WI;20080413;0
SLF4WI;20080414;0
SLF4WI;20080415;0
SLF4WI;20080416;0
SLF4WI;20080417;0
SLF4WI;20080418;0
SLF4WI;20080419;0
SLF4WI;20080420;0
SLF4WI;20080421;0
SLF4WI;20080422;0
SLF4WI;20080423;0
SLF4WI;20080424;0
SLF4WI;20080425;0
SLF4WI;20080426;0
SLF4WI;20080427;0
SLF4WI;20080428;0
SLF4WI;20080429;0
SLF4WI;20080430;0
SLF4WI;20080501;0
SLF4WI;20080502;0
SLF4WI;20080503;0
SLF4WI;20080504;0
SLF4WI;20080505;0
SLF4WI;20080506;0
SLF4WI;20080507;0
SLF4WI;20080508;0
SLF4WI;20080509;0
SLF4WI;20080510;0
SLF4WI;20080511;0
SLF4WI;20080512;0
SLF4WI;20080513;0
SLF4WI;20080514;0
SLF4WI;20080515;0
SLF4WI;20080516;0
SLF4WI;20080517;0
SLF4WI;20080518;0
SLF4WI;20080519;0
SLF4WI;20080520;0
SLF4WI;20080521;0
SLF4WI;20080522;0
SLF4WI;20080523;0
SLF4WI;20080524;0
SLF4WI;20080525;0
SLF4WI;20080526;0
SLF4WI;20080527;0
SLF4WI;20080528;0
SLF4WI;20080529;0
