 

stn;time;hns000d0
SLF1GT;20130930;0
SLF1GT;20131001;0
SLF1GT;20131002;0
SLF1GT;20131003;0
SLF1GT;20131004;0
SLF1GT;20131005;0
SLF1GT;20131006;0
SLF1GT;20131007;0
SLF1GT;20131008;0
SLF1GT;20131009;0
SLF1GT;20131010;15
SLF1GT;20131011;20
SLF1GT;20131012;15
SLF1GT;20131013;0
SLF1GT;20131014;0
SLF1GT;20131015;0
SLF1GT;20131016;0
SLF1GT;20131017;0
SLF1GT;20131018;0
SLF1GT;20131019;0
SLF1GT;20131020;0
SLF1GT;20131021;0
SLF1GT;20131022;0
SLF1GT;20131023;0
SLF1GT;20131024;0
SLF1GT;20131025;0
SLF1GT;20131026;0
SLF1GT;20131027;0
SLF1GT;20131028;0
SLF1GT;20131029;0
SLF1GT;20131030;0
SLF1GT;20131031;0
SLF1GT;20131101;0
SLF1GT;20131102;0
SLF1GT;20131103;2
SLF1GT;20131104;4
SLF1GT;20131105;0
SLF1GT;20131106;0
SLF1GT;20131107;0
SLF1GT;20131108;1
SLF1GT;20131109;1
SLF1GT;20131110;7
SLF1GT;20131111;0
SLF1GT;20131112;0
SLF1GT;20131113;0
SLF1GT;20131114;12
SLF1GT;20131115;0
SLF1GT;20131116;0
SLF1GT;20131117;0
SLF1GT;20131118;0
SLF1GT;20131119;5
SLF1GT;20131120;5
SLF1GT;20131121;18
SLF1GT;20131122;0
SLF1GT;20131123;2
SLF1GT;20131124;2
SLF1GT;20131125;0
SLF1GT;20131126;0
SLF1GT;20131127;0
SLF1GT;20131128;0
SLF1GT;20131129;16
SLF1GT;20131130;7
SLF1GT;20131201;0
SLF1GT;20131202;0
SLF1GT;20131203;0
SLF1GT;20131204;0
SLF1GT;20131205;2
SLF1GT;20131206;5
SLF1GT;20131207;0
SLF1GT;20131208;0
SLF1GT;20131209;0
SLF1GT;20131210;0
SLF1GT;20131211;0
SLF1GT;20131212;0
SLF1GT;20131213;0
SLF1GT;20131214;1
SLF1GT;20131215;0
SLF1GT;20131216;0
SLF1GT;20131217;0
SLF1GT;20131218;0
SLF1GT;20131219;4
SLF1GT;20131220;8
SLF1GT;20131221;0
SLF1GT;20131222;0
SLF1GT;20131223;0
SLF1GT;20131224;0
SLF1GT;20131225;26
SLF1GT;20131226;32
SLF1GT;20131227;0
SLF1GT;20131228;9
SLF1GT;20131229;0
SLF1GT;20131230;0
SLF1GT;20131231;1
SLF1GT;20140101;1
SLF1GT;20140102;6
SLF1GT;20140103;0
SLF1GT;20140104;15
SLF1GT;20140105;2
SLF1GT;20140106;0
SLF1GT;20140107;0
SLF1GT;20140108;0
SLF1GT;20140109;0
SLF1GT;20140110;0
SLF1GT;20140111;0
SLF1GT;20140112;0
SLF1GT;20140113;9
SLF1GT;20140114;12
SLF1GT;20140115;0
SLF1GT;20140116;12
SLF1GT;20140117;3
SLF1GT;20140118;0
SLF1GT;20140119;1
SLF1GT;20140120;12
SLF1GT;20140121;2
SLF1GT;20140122;0
SLF1GT;20140123;16
SLF1GT;20140124;2
SLF1GT;20140125;4
SLF1GT;20140126;3
SLF1GT;20140127;3
SLF1GT;20140128;0
SLF1GT;20140129;0
SLF1GT;20140130;0
SLF1GT;20140131;0
SLF1GT;20140201;12
SLF1GT;20140202;9
SLF1GT;20140203;3
SLF1GT;20140204;2
SLF1GT;20140205;13
SLF1GT;20140206;0
SLF1GT;20140207;12
SLF1GT;20140208;10
SLF1GT;20140209;0
SLF1GT;20140210;15
SLF1GT;20140211;4
SLF1GT;20140212;0
SLF1GT;20140213;15
SLF1GT;20140214;0
SLF1GT;20140215;20
SLF1GT;20140216;2
SLF1GT;20140217;0
SLF1GT;20140218;0
SLF1GT;20140219;0
SLF1GT;20140220;2
SLF1GT;20140221;12
