 

stn;time;hns000d0
SLF5SA;19531031;0
SLF5SA;19531101;-
SLF5SA;19531102;0
SLF5SA;19531103;1
SLF5SA;19531104;0
SLF5SA;19531105;0
SLF5SA;19531106;7
SLF5SA;19531107;0
SLF5SA;19531108;0
SLF5SA;19531109;0
SLF5SA;19531110;0
SLF5SA;19531111;0
SLF5SA;19531112;0
SLF5SA;19531113;0
SLF5SA;19531114;0
SLF5SA;19531115;0
SLF5SA;19531116;0
SLF5SA;19531117;0
SLF5SA;19531118;0
SLF5SA;19531119;0
SLF5SA;19531120;0
SLF5SA;19531121;0
SLF5SA;19531122;0
SLF5SA;19531123;0
SLF5SA;19531124;0
SLF5SA;19531125;0
SLF5SA;19531126;0
SLF5SA;19531127;0
SLF5SA;19531128;0
SLF5SA;19531129;0
SLF5SA;19531130;0
SLF5SA;19531201;0
SLF5SA;19531202;0
SLF5SA;19531203;0
SLF5SA;19531204;0
SLF5SA;19531205;0
SLF5SA;19531206;0
SLF5SA;19531207;0
SLF5SA;19531208;0
SLF5SA;19531209;0
SLF5SA;19531210;0
SLF5SA;19531211;0
SLF5SA;19531212;0
SLF5SA;19531213;0
SLF5SA;19531214;0
SLF5SA;19531215;0
SLF5SA;19531216;0
SLF5SA;19531217;0
SLF5SA;19531218;0
SLF5SA;19531219;5
SLF5SA;19531220;3
SLF5SA;19531221;0
SLF5SA;19531222;0
SLF5SA;19531223;0
SLF5SA;19531224;0
SLF5SA;19531225;3
SLF5SA;19531226;5
SLF5SA;19531227;9
SLF5SA;19531228;18
SLF5SA;19531229;14
SLF5SA;19531230;0
SLF5SA;19531231;1
SLF5SA;19540101;0
SLF5SA;19540102;0
SLF5SA;19540103;1
SLF5SA;19540104;0
SLF5SA;19540105;0
SLF5SA;19540106;1
SLF5SA;19540107;2
SLF5SA;19540108;0
SLF5SA;19540109;16
SLF5SA;19540110;50
SLF5SA;19540111;85
SLF5SA;19540112;4
SLF5SA;19540113;4
SLF5SA;19540114;24
SLF5SA;19540115;12
SLF5SA;19540116;3
SLF5SA;19540117;8
SLF5SA;19540118;0
SLF5SA;19540119;0
SLF5SA;19540120;0
SLF5SA;19540121;15
SLF5SA;19540122;0
SLF5SA;19540123;0
SLF5SA;19540124;0
SLF5SA;19540125;0
SLF5SA;19540126;0
SLF5SA;19540127;1
SLF5SA;19540128;0
SLF5SA;19540129;0
SLF5SA;19540130;4
SLF5SA;19540131;0
SLF5SA;19540201;0
SLF5SA;19540202;0
SLF5SA;19540203;0
SLF5SA;19540204;0
SLF5SA;19540205;0
SLF5SA;19540206;0
SLF5SA;19540207;0
SLF5SA;19540208;5
SLF5SA;19540209;12
SLF5SA;19540210;6
SLF5SA;19540211;5
SLF5SA;19540212;0
SLF5SA;19540213;0
SLF5SA;19540214;0
SLF5SA;19540215;0
SLF5SA;19540216;4
SLF5SA;19540217;1
SLF5SA;19540218;0
SLF5SA;19540219;0
SLF5SA;19540220;0
SLF5SA;19540221;0
SLF5SA;19540222;0
SLF5SA;19540223;0
SLF5SA;19540224;0
SLF5SA;19540225;0
SLF5SA;19540226;15
SLF5SA;19540227;13
SLF5SA;19540228;26
SLF5SA;19540301;6
SLF5SA;19540302;0
SLF5SA;19540303;0
SLF5SA;19540304;11
SLF5SA;19540305;10
SLF5SA;19540306;3
SLF5SA;19540307;0
SLF5SA;19540308;0
SLF5SA;19540309;0
SLF5SA;19540310;0
SLF5SA;19540311;0
SLF5SA;19540312;0
SLF5SA;19540313;0
SLF5SA;19540314;0
SLF5SA;19540315;0
SLF5SA;19540316;0
SLF5SA;19540317;0
SLF5SA;19540318;0
SLF5SA;19540319;0
SLF5SA;19540320;6
SLF5SA;19540321;0
SLF5SA;19540322;0
SLF5SA;19540323;4
SLF5SA;19540324;0
SLF5SA;19540325;0
SLF5SA;19540326;0
SLF5SA;19540327;0
SLF5SA;19540328;0
SLF5SA;19540329;0
SLF5SA;19540330;0
SLF5SA;19540331;10
SLF5SA;19540401;5
SLF5SA;19540402;6
SLF5SA;19540403;0
SLF5SA;19540404;0
SLF5SA;19540405;1
SLF5SA;19540406;1
SLF5SA;19540407;0
SLF5SA;19540408;0
SLF5SA;19540409;5
SLF5SA;19540410;0
SLF5SA;19540411;0
SLF5SA;19540412;0
SLF5SA;19540413;0
SLF5SA;19540414;0
SLF5SA;19540415;32
SLF5SA;19540416;9
SLF5SA;19540417;2
SLF5SA;19540418;1
SLF5SA;19540419;0
SLF5SA;19540420;0
SLF5SA;19540421;0
SLF5SA;19540422;0
SLF5SA;19540423;0
SLF5SA;19540424;0
SLF5SA;19540425;0
SLF5SA;19540426;0
SLF5SA;19540427;0
SLF5SA;19540428;0
SLF5SA;19540429;0
SLF5SA;19540430;0
SLF5SA;19540501;0
SLF5SA;19540502;4
SLF5SA;19540503;19
SLF5SA;19540504;0
SLF5SA;19540505;0
SLF5SA;19540506;9
SLF5SA;19540507;0
SLF5SA;19540508;0
SLF5SA;19540509;0
SLF5SA;19540510;0
