 

stn;time;hns000d0
SLF4GR;19870930;0
SLF4GR;19871001;0
SLF4GR;19871002;0
SLF4GR;19871003;0
SLF4GR;19871004;0
SLF4GR;19871005;0
SLF4GR;19871006;0
SLF4GR;19871007;0
SLF4GR;19871008;0
SLF4GR;19871009;0
SLF4GR;19871010;0
SLF4GR;19871011;7
SLF4GR;19871012;0
SLF4GR;19871013;0
SLF4GR;19871014;0
SLF4GR;19871015;0
SLF4GR;19871016;0
SLF4GR;19871017;0
SLF4GR;19871018;0
SLF4GR;19871019;0
SLF4GR;19871020;0
SLF4GR;19871021;0
SLF4GR;19871022;0
SLF4GR;19871023;0
SLF4GR;19871024;0
SLF4GR;19871025;0
SLF4GR;19871026;0
SLF4GR;19871027;0
SLF4GR;19871028;0
SLF4GR;19871029;0
SLF4GR;19871030;0
SLF4GR;19871031;0
SLF4GR;19871101;0
SLF4GR;19871102;0
SLF4GR;19871103;0
SLF4GR;19871104;0
SLF4GR;19871105;0
SLF4GR;19871106;0
SLF4GR;19871107;0
SLF4GR;19871108;0
SLF4GR;19871109;0
SLF4GR;19871110;0
SLF4GR;19871111;0
SLF4GR;19871112;10
SLF4GR;19871113;7
SLF4GR;19871114;0
SLF4GR;19871115;0
SLF4GR;19871116;0
SLF4GR;19871117;0
SLF4GR;19871118;0
SLF4GR;19871119;1
SLF4GR;19871120;12
SLF4GR;19871121;6
SLF4GR;19871122;2
SLF4GR;19871123;0
SLF4GR;19871124;15
SLF4GR;19871125;0
SLF4GR;19871126;0
SLF4GR;19871127;0
SLF4GR;19871128;0
SLF4GR;19871129;0
SLF4GR;19871130;0
SLF4GR;19871201;0
SLF4GR;19871202;0
SLF4GR;19871203;0
SLF4GR;19871204;0
SLF4GR;19871205;5
SLF4GR;19871206;1
SLF4GR;19871207;0
SLF4GR;19871208;1
SLF4GR;19871209;3
SLF4GR;19871210;0
SLF4GR;19871211;0
SLF4GR;19871212;0
SLF4GR;19871213;0
SLF4GR;19871214;0
SLF4GR;19871215;0
SLF4GR;19871216;0
SLF4GR;19871217;0
SLF4GR;19871218;0
SLF4GR;19871219;0
SLF4GR;19871220;0
SLF4GR;19871221;0
SLF4GR;19871222;0
SLF4GR;19871223;0
SLF4GR;19871224;0
SLF4GR;19871225;0
SLF4GR;19871226;0
SLF4GR;19871227;0
SLF4GR;19871228;0
SLF4GR;19871229;0
SLF4GR;19871230;0
SLF4GR;19871231;0
SLF4GR;19880101;0
SLF4GR;19880102;0
SLF4GR;19880103;6
SLF4GR;19880104;7
SLF4GR;19880105;0
SLF4GR;19880106;5
SLF4GR;19880107;3
SLF4GR;19880108;0
SLF4GR;19880109;0
SLF4GR;19880110;0
SLF4GR;19880111;1
SLF4GR;19880112;0
SLF4GR;19880113;0
SLF4GR;19880114;0
SLF4GR;19880115;0
SLF4GR;19880116;0
SLF4GR;19880117;0
SLF4GR;19880118;0
SLF4GR;19880119;0
SLF4GR;19880120;2
SLF4GR;19880121;2
SLF4GR;19880122;12
SLF4GR;19880123;0
SLF4GR;19880124;1
SLF4GR;19880125;8
SLF4GR;19880126;0
SLF4GR;19880127;0
SLF4GR;19880128;8
SLF4GR;19880129;15
SLF4GR;19880130;18
SLF4GR;19880131;8
SLF4GR;19880201;12
SLF4GR;19880202;0
SLF4GR;19880203;0
SLF4GR;19880204;0
SLF4GR;19880205;0
SLF4GR;19880206;11
SLF4GR;19880207;2
SLF4GR;19880208;19
SLF4GR;19880209;8
SLF4GR;19880210;7
SLF4GR;19880211;7
SLF4GR;19880212;8
SLF4GR;19880213;0
SLF4GR;19880214;0
SLF4GR;19880215;0
SLF4GR;19880216;0
SLF4GR;19880217;0
SLF4GR;19880218;0
SLF4GR;19880219;0
SLF4GR;19880220;0
SLF4GR;19880221;0
SLF4GR;19880222;0
SLF4GR;19880223;7
SLF4GR;19880224;0
SLF4GR;19880225;0
SLF4GR;19880226;0
SLF4GR;19880227;0
SLF4GR;19880228;1
SLF4GR;19880229;5
SLF4GR;19880301;0
SLF4GR;19880302;0
SLF4GR;19880303;0
SLF4GR;19880304;0
SLF4GR;19880305;0
SLF4GR;19880306;5
SLF4GR;19880307;7
SLF4GR;19880308;0
SLF4GR;19880309;0
SLF4GR;19880310;0
SLF4GR;19880311;0
SLF4GR;19880312;2
SLF4GR;19880313;0
SLF4GR;19880314;0
SLF4GR;19880315;2
SLF4GR;19880316;13
SLF4GR;19880317;6
SLF4GR;19880318;0
SLF4GR;19880319;0
SLF4GR;19880320;0
SLF4GR;19880321;0
SLF4GR;19880322;0
SLF4GR;19880323;19
SLF4GR;19880324;21
SLF4GR;19880325;14
SLF4GR;19880326;18
SLF4GR;19880327;12
SLF4GR;19880328;0
SLF4GR;19880329;0
SLF4GR;19880330;10
SLF4GR;19880331;6
SLF4GR;19880401;0
SLF4GR;19880402;0
SLF4GR;19880403;0
SLF4GR;19880404;0
SLF4GR;19880405;0
SLF4GR;19880406;0
SLF4GR;19880407;0
SLF4GR;19880408;0
SLF4GR;19880409;0
SLF4GR;19880410;0
SLF4GR;19880411;0
SLF4GR;19880412;0
SLF4GR;19880413;0
SLF4GR;19880414;0
SLF4GR;19880415;0
SLF4GR;19880416;0
SLF4GR;19880417;0
SLF4GR;19880418;0
SLF4GR;19880419;0
SLF4GR;19880420;0
SLF4GR;19880421;0
SLF4GR;19880422;0
SLF4GR;19880423;0
SLF4GR;19880424;0
SLF4GR;19880425;0
