 

stn;time;hns000d0
SLF2RI;20120930;0
SLF2RI;20121001;0
SLF2RI;20121002;0
SLF2RI;20121003;0
SLF2RI;20121004;0
SLF2RI;20121005;0
SLF2RI;20121006;0
SLF2RI;20121007;0
SLF2RI;20121008;0
SLF2RI;20121009;0
SLF2RI;20121010;0
SLF2RI;20121011;0
SLF2RI;20121012;0
SLF2RI;20121013;0
SLF2RI;20121014;0
SLF2RI;20121015;20
SLF2RI;20121016;10
SLF2RI;20121017;0
SLF2RI;20121018;0
SLF2RI;20121019;0
SLF2RI;20121020;0
SLF2RI;20121021;0
SLF2RI;20121022;0
SLF2RI;20121023;0
SLF2RI;20121024;0
SLF2RI;20121025;0
SLF2RI;20121026;0
SLF2RI;20121027;30
SLF2RI;20121028;15
SLF2RI;20121029;0
SLF2RI;20121030;0
SLF2RI;20121031;0
SLF2RI;20121101;2
SLF2RI;20121102;0
SLF2RI;20121103;0
SLF2RI;20121104;6
SLF2RI;20121105;14
SLF2RI;20121106;8
SLF2RI;20121107;0
SLF2RI;20121108;0
SLF2RI;20121109;0
SLF2RI;20121110;0
SLF2RI;20121111;0
SLF2RI;20121112;0
SLF2RI;20121113;0
SLF2RI;20121114;0
SLF2RI;20121115;0
SLF2RI;20121116;0
SLF2RI;20121117;0
SLF2RI;20121118;0
SLF2RI;20121119;0
SLF2RI;20121120;0
SLF2RI;20121121;0
SLF2RI;20121122;0
SLF2RI;20121123;0
SLF2RI;20121124;0
SLF2RI;20121125;0
SLF2RI;20121126;0
SLF2RI;20121127;0
SLF2RI;20121128;24
SLF2RI;20121129;19
SLF2RI;20121130;0
SLF2RI;20121201;0
SLF2RI;20121202;28
SLF2RI;20121203;35
SLF2RI;20121204;9
SLF2RI;20121205;28
SLF2RI;20121206;4
SLF2RI;20121207;22
SLF2RI;20121208;0
SLF2RI;20121209;20
SLF2RI;20121210;2
SLF2RI;20121211;4
SLF2RI;20121212;0
SLF2RI;20121213;0
SLF2RI;20121214;5
SLF2RI;20121215;3
SLF2RI;20121216;9
SLF2RI;20121217;18
SLF2RI;20121218;12
SLF2RI;20121219;0
SLF2RI;20121220;6
SLF2RI;20121221;0
SLF2RI;20121222;0
SLF2RI;20121223;0
SLF2RI;20121224;0
SLF2RI;20121225;10
SLF2RI;20121226;0
SLF2RI;20121227;7
SLF2RI;20121228;0
SLF2RI;20121229;0
SLF2RI;20121230;0
SLF2RI;20121231;0
SLF2RI;20130101;10
SLF2RI;20130102;0
SLF2RI;20130103;0
SLF2RI;20130104;0
SLF2RI;20130105;0
SLF2RI;20130106;0
SLF2RI;20130107;0
SLF2RI;20130108;0
SLF2RI;20130109;0
SLF2RI;20130110;20
SLF2RI;20130111;10
SLF2RI;20130112;5
SLF2RI;20130113;0
SLF2RI;20130114;2
SLF2RI;20130115;12
SLF2RI;20130116;2
SLF2RI;20130117;14
SLF2RI;20130118;0
SLF2RI;20130119;0
SLF2RI;20130120;0
SLF2RI;20130121;0
SLF2RI;20130122;2
SLF2RI;20130123;0
SLF2RI;20130124;0
SLF2RI;20130125;0
SLF2RI;20130126;0
SLF2RI;20130127;15
SLF2RI;20130128;0
SLF2RI;20130129;0
SLF2RI;20130130;0
SLF2RI;20130131;5
SLF2RI;20130201;10
SLF2RI;20130202;10
SLF2RI;20130203;30
SLF2RI;20130204;5
SLF2RI;20130205;28
SLF2RI;20130206;30
SLF2RI;20130207;36
SLF2RI;20130208;25
SLF2RI;20130209;10
SLF2RI;20130210;0
SLF2RI;20130211;7
SLF2RI;20130212;10
SLF2RI;20130213;0
SLF2RI;20130214;5
SLF2RI;20130215;5
SLF2RI;20130216;0
SLF2RI;20130217;0
SLF2RI;20130218;0
SLF2RI;20130219;0
SLF2RI;20130220;0
SLF2RI;20130221;0
SLF2RI;20130222;6
SLF2RI;20130223;8
SLF2RI;20130224;5
SLF2RI;20130225;0
SLF2RI;20130226;0
SLF2RI;20130227;0
SLF2RI;20130228;0
SLF2RI;20130301;0
SLF2RI;20130302;0
SLF2RI;20130303;0
SLF2RI;20130304;0
SLF2RI;20130305;0
SLF2RI;20130306;0
SLF2RI;20130307;0
SLF2RI;20130308;0
SLF2RI;20130309;0
SLF2RI;20130310;0
SLF2RI;20130311;0
SLF2RI;20130312;2
SLF2RI;20130313;14
SLF2RI;20130314;6
SLF2RI;20130315;4
SLF2RI;20130316;0
SLF2RI;20130317;0
SLF2RI;20130318;6
SLF2RI;20130319;0
SLF2RI;20130320;9
SLF2RI;20130321;0
SLF2RI;20130322;0
SLF2RI;20130323;0
SLF2RI;20130324;0
SLF2RI;20130325;3
SLF2RI;20130326;2
SLF2RI;20130327;0
SLF2RI;20130328;17
SLF2RI;20130329;14
SLF2RI;20130330;13
SLF2RI;20130331;0
SLF2RI;20130401;0
SLF2RI;20130402;0
SLF2RI;20130403;0
SLF2RI;20130404;0
SLF2RI;20130405;2
SLF2RI;20130406;0
SLF2RI;20130407;0
SLF2RI;20130408;9
SLF2RI;20130409;8
SLF2RI;20130410;0
SLF2RI;20130411;0
SLF2RI;20130412;5
SLF2RI;20130413;0
SLF2RI;20130414;0
SLF2RI;20130415;0
SLF2RI;20130416;0
SLF2RI;20130417;0
SLF2RI;20130418;0
SLF2RI;20130419;39
SLF2RI;20130420;0
SLF2RI;20130421;0
SLF2RI;20130422;0
SLF2RI;20130423;0
SLF2RI;20130424;0
SLF2RI;20130425;0
SLF2RI;20130426;0
SLF2RI;20130427;1
SLF2RI;20130428;0
SLF2RI;20130429;0
SLF2RI;20130430;0
SLF2RI;20130501;0
SLF2RI;20130502;0
SLF2RI;20130503;0
SLF2RI;20130504;0
SLF2RI;20130505;0
SLF2RI;20130506;0
SLF2RI;20130507;0
SLF2RI;20130508;0
SLF2RI;20130509;0
SLF2RI;20130510;0
SLF2RI;20130511;0
SLF2RI;20130512;3
SLF2RI;20130513;0
SLF2RI;20130514;0
SLF2RI;20130515;0
SLF2RI;20130516;0
SLF2RI;20130517;0
SLF2RI;20130518;0
SLF2RI;20130519;0
SLF2RI;20130520;0
SLF2RI;20130521;0
SLF2RI;20130522;0
SLF2RI;20130523;8
SLF2RI;20130524;2
SLF2RI;20130525;9
SLF2RI;20130526;4
SLF2RI;20130527;0
SLF2RI;20130528;10
SLF2RI;20130529;5
SLF2RI;20130530;2
