 

stn;time;hns000d0
SLF3MB;20130930;0
SLF3MB;20131001;0
SLF3MB;20131002;0
SLF3MB;20131003;0
SLF3MB;20131004;0
SLF3MB;20131005;0
SLF3MB;20131006;0
SLF3MB;20131007;0
SLF3MB;20131008;0
SLF3MB;20131009;0
SLF3MB;20131010;30
SLF3MB;20131011;0
SLF3MB;20131012;5
SLF3MB;20131013;0
SLF3MB;20131014;0
SLF3MB;20131015;0
SLF3MB;20131016;0
SLF3MB;20131017;0
SLF3MB;20131018;0
SLF3MB;20131019;0
SLF3MB;20131020;0
SLF3MB;20131021;0
SLF3MB;20131022;0
SLF3MB;20131023;0
SLF3MB;20131024;0
SLF3MB;20131025;0
SLF3MB;20131026;0
SLF3MB;20131027;0
SLF3MB;20131028;0
SLF3MB;20131029;6
SLF3MB;20131030;0
SLF3MB;20131031;0
SLF3MB;20131101;0
SLF3MB;20131102;0
SLF3MB;20131103;0
SLF3MB;20131104;1
SLF3MB;20131105;2
SLF3MB;20131106;0
SLF3MB;20131107;0
SLF3MB;20131108;3
SLF3MB;20131109;0
SLF3MB;20131110;33
SLF3MB;20131111;0
SLF3MB;20131112;0
SLF3MB;20131113;0
SLF3MB;20131114;5
SLF3MB;20131115;0
SLF3MB;20131116;0
SLF3MB;20131117;0
SLF3MB;20131118;0
SLF3MB;20131119;3
SLF3MB;20131120;6
SLF3MB;20131121;9
SLF3MB;20131122;0
SLF3MB;20131123;3
SLF3MB;20131124;10
SLF3MB;20131125;3
SLF3MB;20131126;6
SLF3MB;20131127;0
SLF3MB;20131128;0
SLF3MB;20131129;5
SLF3MB;20131130;3
SLF3MB;20131201;0
SLF3MB;20131202;0
SLF3MB;20131203;0
SLF3MB;20131204;0
SLF3MB;20131205;6
SLF3MB;20131206;5
SLF3MB;20131207;0
SLF3MB;20131208;0
SLF3MB;20131209;0
SLF3MB;20131210;0
SLF3MB;20131211;0
SLF3MB;20131212;0
SLF3MB;20131213;0
SLF3MB;20131214;4
SLF3MB;20131215;0
SLF3MB;20131216;0
SLF3MB;20131217;0
SLF3MB;20131218;0
SLF3MB;20131219;0
SLF3MB;20131220;2
SLF3MB;20131221;0
SLF3MB;20131222;0
SLF3MB;20131223;0
SLF3MB;20131224;0
SLF3MB;20131225;7
SLF3MB;20131226;20
SLF3MB;20131227;0
SLF3MB;20131228;14
SLF3MB;20131229;3
SLF3MB;20131230;0
SLF3MB;20131231;0
SLF3MB;20140101;0
SLF3MB;20140102;0
SLF3MB;20140103;0
SLF3MB;20140104;5
SLF3MB;20140105;5
SLF3MB;20140106;0
SLF3MB;20140107;0
SLF3MB;20140108;0
SLF3MB;20140109;5
SLF3MB;20140110;0
SLF3MB;20140111;0
SLF3MB;20140112;0
SLF3MB;20140113;9
SLF3MB;20140114;20
SLF3MB;20140115;0
SLF3MB;20140116;3
SLF3MB;20140117;0
SLF3MB;20140118;0
SLF3MB;20140119;0
SLF3MB;20140120;15
SLF3MB;20140121;3
SLF3MB;20140122;0
SLF3MB;20140123;4
SLF3MB;20140124;5
SLF3MB;20140125;10
SLF3MB;20140126;18
SLF3MB;20140127;5
SLF3MB;20140128;0
SLF3MB;20140129;0
SLF3MB;20140130;0
SLF3MB;20140131;0
SLF3MB;20140201;6
SLF3MB;20140202;4
SLF3MB;20140203;0
SLF3MB;20140204;0
SLF3MB;20140205;0
SLF3MB;20140206;0
SLF3MB;20140207;3
SLF3MB;20140208;4
SLF3MB;20140209;0
SLF3MB;20140210;3
SLF3MB;20140211;2
SLF3MB;20140212;0
SLF3MB;20140213;14
SLF3MB;20140214;0
SLF3MB;20140215;7
SLF3MB;20140216;20
SLF3MB;20140217;0
SLF3MB;20140218;0
SLF3MB;20140219;10
SLF3MB;20140220;3
SLF3MB;20140221;11
SLF3MB;20140222;4
SLF3MB;20140223;0
SLF3MB;20140224;0
SLF3MB;20140225;0
SLF3MB;20140226;8
SLF3MB;20140227;0
SLF3MB;20140228;0
SLF3MB;20140301;5
SLF3MB;20140302;0
SLF3MB;20140303;7
SLF3MB;20140304;7
SLF3MB;20140305;8
SLF3MB;20140306;0
SLF3MB;20140307;0
SLF3MB;20140308;0
SLF3MB;20140309;0
SLF3MB;20140310;0
SLF3MB;20140311;0
SLF3MB;20140312;0
