 

stn;time;hns000d0
ZER;19780930;0
ZER;19781001;-
ZER;19781002;-
ZER;19781003;-
ZER;19781004;0
ZER;19781005;0
ZER;19781006;0
ZER;19781007;0
ZER;19781008;0
ZER;19781009;0
ZER;19781010;0
ZER;19781011;0
ZER;19781012;0
ZER;19781013;0
ZER;19781014;0
ZER;19781015;0
ZER;19781016;20
ZER;19781017;-
ZER;19781018;0
ZER;19781019;0
ZER;19781020;0
ZER;19781021;0
ZER;19781022;0
ZER;19781023;0
ZER;19781024;0
ZER;19781025;0
ZER;19781026;0
ZER;19781027;0
ZER;19781028;0
ZER;19781029;0
ZER;19781030;0
ZER;19781031;0
ZER;19781101;0
ZER;19781102;0
ZER;19781103;0
ZER;19781104;0
ZER;19781105;0
ZER;19781106;0
ZER;19781107;0
ZER;19781108;0
ZER;19781109;0
ZER;19781110;0
ZER;19781111;0
ZER;19781112;0
ZER;19781113;0
ZER;19781114;0
ZER;19781115;0
ZER;19781116;0
ZER;19781117;0
ZER;19781118;0
ZER;19781119;0
ZER;19781120;0
ZER;19781121;0
ZER;19781122;0
ZER;19781123;0
ZER;19781124;3
ZER;19781125;4
ZER;19781126;1
ZER;19781127;1
ZER;19781128;0
ZER;19781129;0
ZER;19781130;0
ZER;19781201;0
ZER;19781202;0
ZER;19781203;0
ZER;19781204;0
ZER;19781205;0
ZER;19781206;0
ZER;19781207;2
ZER;19781208;0
ZER;19781209;0
ZER;19781210;-
ZER;19781211;9
ZER;19781212;4
ZER;19781213;5
ZER;19781214;2
ZER;19781215;1
ZER;19781216;0
ZER;19781217;0
ZER;19781218;4
ZER;19781219;0
ZER;19781220;1
ZER;19781221;1
ZER;19781222;0
ZER;19781223;0
ZER;19781224;0
ZER;19781225;0
ZER;19781226;2
ZER;19781227;-
ZER;19781228;12
ZER;19781229;10
ZER;19781230;4
ZER;19781231;0
ZER;19790101;2
ZER;19790102;0
ZER;19790103;0
ZER;19790104;0
ZER;19790105;0
ZER;19790106;0
ZER;19790107;-
ZER;19790108;2
ZER;19790109;9
ZER;19790110;4
ZER;19790111;2
ZER;19790112;0
ZER;19790113;0
ZER;19790114;0
ZER;19790115;0
ZER;19790116;0
ZER;19790117;0
ZER;19790118;0
ZER;19790119;3
ZER;19790120;0
ZER;19790121;0
ZER;19790122;0
ZER;19790123;1
ZER;19790124;0
ZER;19790125;2
ZER;19790126;9
ZER;19790127;4
ZER;19790128;0
ZER;19790129;10
ZER;19790130;0
ZER;19790131;0
ZER;19790201;4
ZER;19790202;0
ZER;19790203;1
ZER;19790204;13
ZER;19790205;0
ZER;19790206;3
ZER;19790207;2
ZER;19790208;-
ZER;19790209;-
ZER;19790210;4
ZER;19790211;0
ZER;19790212;0
ZER;19790213;0
ZER;19790214;0
ZER;19790215;21
ZER;19790216;1
ZER;19790217;0
ZER;19790218;1
ZER;19790219;0
ZER;19790220;0
ZER;19790221;0
ZER;19790222;3
ZER;19790223;0
ZER;19790224;0
ZER;19790225;0
ZER;19790226;0
ZER;19790227;1
ZER;19790228;-
ZER;19790301;0
ZER;19790302;0
ZER;19790303;0
ZER;19790304;-
ZER;19790305;0
ZER;19790306;1
ZER;19790307;0
ZER;19790308;4
ZER;19790309;23
ZER;19790310;-
ZER;19790311;-
ZER;19790312;0
ZER;19790313;-
ZER;19790314;19
ZER;19790315;-
ZER;19790316;1
ZER;19790317;-
ZER;19790318;3
ZER;19790319;1
ZER;19790320;0
ZER;19790321;0
ZER;19790322;0
ZER;19790323;0
ZER;19790324;4
ZER;19790325;9
ZER;19790326;0
ZER;19790327;2
ZER;19790328;0
ZER;19790329;0
ZER;19790330;0
ZER;19790331;0
ZER;19790401;0
ZER;19790402;1
ZER;19790403;-
ZER;19790404;-
ZER;19790405;0
ZER;19790406;0
ZER;19790407;0
ZER;19790408;0
ZER;19790409;0
ZER;19790410;-
ZER;19790411;0
ZER;19790412;0
ZER;19790413;0
ZER;19790414;0
ZER;19790415;3
ZER;19790416;1
ZER;19790417;0
ZER;19790418;0
ZER;19790419;0
ZER;19790420;0
ZER;19790421;0
ZER;19790422;1
ZER;19790423;0
ZER;19790424;1
ZER;19790425;5
ZER;19790426;-
ZER;19790427;0
ZER;19790428;0
ZER;19790429;-
ZER;19790430;0
ZER;19790501;3
ZER;19790502;0
ZER;19790503;0
ZER;19790504;0
ZER;19790505;0
ZER;19790506;0
ZER;19790507;0
ZER;19790508;0
ZER;19790509;0
ZER;19790510;-
ZER;19790511;0
ZER;19790512;0
ZER;19790513;0
ZER;19790514;0
ZER;19790515;0
ZER;19790516;0
ZER;19790517;0
ZER;19790518;-
ZER;19790519;-
ZER;19790520;0
ZER;19790521;0
ZER;19790522;-
ZER;19790523;-
ZER;19790524;0
ZER;19790525;-
ZER;19790526;-
ZER;19790527;0
ZER;19790528;0
ZER;19790529;0
