 

stn;time;hns000d0
SLF3EL;19940930;0
SLF3EL;19941001;0
SLF3EL;19941002;0
SLF3EL;19941003;0
SLF3EL;19941004;0
SLF3EL;19941005;0
SLF3EL;19941006;0
SLF3EL;19941007;0
SLF3EL;19941008;0
SLF3EL;19941009;0
SLF3EL;19941010;0
SLF3EL;19941011;0
SLF3EL;19941012;0
SLF3EL;19941013;0
SLF3EL;19941014;0
SLF3EL;19941015;0
SLF3EL;19941016;0
SLF3EL;19941017;0
SLF3EL;19941018;0
SLF3EL;19941019;0
SLF3EL;19941020;0
SLF3EL;19941021;0
SLF3EL;19941022;0
SLF3EL;19941023;0
SLF3EL;19941024;0
SLF3EL;19941025;0
SLF3EL;19941026;8
SLF3EL;19941027;0
SLF3EL;19941028;0
SLF3EL;19941029;0
SLF3EL;19941030;0
SLF3EL;19941031;0
SLF3EL;19941101;0
SLF3EL;19941102;0
SLF3EL;19941103;0
SLF3EL;19941104;0
SLF3EL;19941105;0
SLF3EL;19941106;0
SLF3EL;19941107;0
SLF3EL;19941108;0
SLF3EL;19941109;0
SLF3EL;19941110;15
SLF3EL;19941111;10
SLF3EL;19941112;0
SLF3EL;19941113;0
SLF3EL;19941114;0
SLF3EL;19941115;0
SLF3EL;19941116;0
SLF3EL;19941117;3
SLF3EL;19941118;7
SLF3EL;19941119;0
SLF3EL;19941120;0
SLF3EL;19941121;0
SLF3EL;19941122;0
SLF3EL;19941123;0
SLF3EL;19941124;0
SLF3EL;19941125;0
SLF3EL;19941126;0
SLF3EL;19941127;0
SLF3EL;19941128;0
SLF3EL;19941129;0
SLF3EL;19941130;0
SLF3EL;19941201;0
SLF3EL;19941202;0
SLF3EL;19941203;0
SLF3EL;19941204;0
SLF3EL;19941205;0
SLF3EL;19941206;0
SLF3EL;19941207;0
SLF3EL;19941208;0
SLF3EL;19941209;0
SLF3EL;19941210;0
SLF3EL;19941211;0
SLF3EL;19941212;0
SLF3EL;19941213;4
SLF3EL;19941214;12
SLF3EL;19941215;0
SLF3EL;19941216;2
SLF3EL;19941217;0
SLF3EL;19941218;0
SLF3EL;19941219;9
SLF3EL;19941220;23
SLF3EL;19941221;12
SLF3EL;19941222;9
SLF3EL;19941223;0
SLF3EL;19941224;0
SLF3EL;19941225;0
SLF3EL;19941226;3
SLF3EL;19941227;6
SLF3EL;19941228;0
SLF3EL;19941229;3
SLF3EL;19941230;48
SLF3EL;19941231;19
SLF3EL;19950101;38
SLF3EL;19950102;36
SLF3EL;19950103;3
SLF3EL;19950104;0
SLF3EL;19950105;0
SLF3EL;19950106;0
SLF3EL;19950107;5
SLF3EL;19950108;0
SLF3EL;19950109;25
SLF3EL;19950110;65
SLF3EL;19950111;42
SLF3EL;19950112;38
SLF3EL;19950113;4
SLF3EL;19950114;0
SLF3EL;19950115;0
SLF3EL;19950116;0
SLF3EL;19950117;0
SLF3EL;19950118;6
SLF3EL;19950119;0
SLF3EL;19950120;2
SLF3EL;19950121;9
SLF3EL;19950122;8
SLF3EL;19950123;23
SLF3EL;19950124;22
SLF3EL;19950125;0
SLF3EL;19950126;9
SLF3EL;19950127;8
SLF3EL;19950128;18
SLF3EL;19950129;18
SLF3EL;19950130;35
SLF3EL;19950131;0
SLF3EL;19950201;0
SLF3EL;19950202;0
SLF3EL;19950203;0
SLF3EL;19950204;6
SLF3EL;19950205;0
SLF3EL;19950206;0
SLF3EL;19950207;0
SLF3EL;19950208;6
SLF3EL;19950209;12
SLF3EL;19950210;2
SLF3EL;19950211;2
SLF3EL;19950212;0
SLF3EL;19950213;6
SLF3EL;19950214;0
SLF3EL;19950215;8
SLF3EL;19950216;8
SLF3EL;19950217;14
SLF3EL;19950218;24
SLF3EL;19950219;0
SLF3EL;19950220;0
SLF3EL;19950221;0
SLF3EL;19950222;4
SLF3EL;19950223;8
SLF3EL;19950224;38
SLF3EL;19950225;41
SLF3EL;19950226;18
SLF3EL;19950227;10
SLF3EL;19950228;0
SLF3EL;19950301;0
SLF3EL;19950302;0
SLF3EL;19950303;17
SLF3EL;19950304;7
SLF3EL;19950305;15
SLF3EL;19950306;9
SLF3EL;19950307;6
SLF3EL;19950308;2
SLF3EL;19950309;0
SLF3EL;19950310;0
SLF3EL;19950311;0
SLF3EL;19950312;0
SLF3EL;19950313;0
SLF3EL;19950314;0
SLF3EL;19950315;9
SLF3EL;19950316;6
SLF3EL;19950317;12
SLF3EL;19950318;30
SLF3EL;19950319;37
SLF3EL;19950320;62
SLF3EL;19950321;15
SLF3EL;19950322;0
SLF3EL;19950323;0
SLF3EL;19950324;0
SLF3EL;19950325;7
SLF3EL;19950326;9
SLF3EL;19950327;59
SLF3EL;19950328;32
SLF3EL;19950329;62
SLF3EL;19950330;0
SLF3EL;19950331;16
SLF3EL;19950401;28
