 

stn;time;hns000d0
SLF4BP;19671031;4
SLF4BP;19671101;0
SLF4BP;19671102;9
SLF4BP;19671103;0
SLF4BP;19671104;3
SLF4BP;19671105;0
SLF4BP;19671106;1
SLF4BP;19671107;0
SLF4BP;19671108;0
SLF4BP;19671109;0
SLF4BP;19671110;0
SLF4BP;19671111;0
SLF4BP;19671112;0
SLF4BP;19671113;0
SLF4BP;19671114;0
SLF4BP;19671115;0
SLF4BP;19671116;0
SLF4BP;19671117;0
SLF4BP;19671118;0
SLF4BP;19671119;0
SLF4BP;19671120;0
SLF4BP;19671121;0
SLF4BP;19671122;0
SLF4BP;19671123;0
SLF4BP;19671124;0
SLF4BP;19671125;0
SLF4BP;19671126;2
SLF4BP;19671127;9
SLF4BP;19671128;0
SLF4BP;19671129;1
SLF4BP;19671130;0
SLF4BP;19671201;0
SLF4BP;19671202;0
SLF4BP;19671203;0
SLF4BP;19671204;0
SLF4BP;19671205;0
SLF4BP;19671206;2
SLF4BP;19671207;1
SLF4BP;19671208;0
SLF4BP;19671209;0
SLF4BP;19671210;0
SLF4BP;19671211;0
SLF4BP;19671212;0
SLF4BP;19671213;0
SLF4BP;19671214;0
SLF4BP;19671215;0
SLF4BP;19671216;3
SLF4BP;19671217;0
SLF4BP;19671218;0
SLF4BP;19671219;9
SLF4BP;19671220;0
SLF4BP;19671221;0
SLF4BP;19671222;0
SLF4BP;19671223;0
SLF4BP;19671224;0
SLF4BP;19671225;3
SLF4BP;19671226;2
SLF4BP;19671227;0
SLF4BP;19671228;0
SLF4BP;19671229;20
SLF4BP;19671230;0
SLF4BP;19671231;8
SLF4BP;19680101;8
SLF4BP;19680102;8
SLF4BP;19680103;5
SLF4BP;19680104;5
SLF4BP;19680105;4
SLF4BP;19680106;25
SLF4BP;19680107;26
SLF4BP;19680108;8
SLF4BP;19680109;15
SLF4BP;19680110;12
SLF4BP;19680111;12
SLF4BP;19680112;3
SLF4BP;19680113;10
SLF4BP;19680114;15
SLF4BP;19680115;0
SLF4BP;19680116;0
SLF4BP;19680117;15
SLF4BP;19680118;17
SLF4BP;19680119;8
SLF4BP;19680120;0
SLF4BP;19680121;0
SLF4BP;19680122;0
SLF4BP;19680123;0
SLF4BP;19680124;12
SLF4BP;19680125;8
SLF4BP;19680126;24
SLF4BP;19680127;0
SLF4BP;19680128;0
SLF4BP;19680129;0
SLF4BP;19680130;0
SLF4BP;19680131;0
SLF4BP;19680201;0
SLF4BP;19680202;2
SLF4BP;19680203;12
SLF4BP;19680204;2
SLF4BP;19680205;0
SLF4BP;19680206;0
SLF4BP;19680207;0
SLF4BP;19680208;1
SLF4BP;19680209;5
SLF4BP;19680210;0
SLF4BP;19680211;0
SLF4BP;19680212;1
SLF4BP;19680213;1
SLF4BP;19680214;2
SLF4BP;19680215;0
SLF4BP;19680216;1
SLF4BP;19680217;1
SLF4BP;19680218;0
SLF4BP;19680219;7
SLF4BP;19680220;3
SLF4BP;19680221;0
SLF4BP;19680222;0
SLF4BP;19680223;1
SLF4BP;19680224;1
SLF4BP;19680225;0
SLF4BP;19680226;0
SLF4BP;19680227;0
SLF4BP;19680228;0
SLF4BP;19680229;0
SLF4BP;19680301;0
SLF4BP;19680302;1
SLF4BP;19680303;0
SLF4BP;19680304;0
SLF4BP;19680305;0
SLF4BP;19680306;2
SLF4BP;19680307;5
SLF4BP;19680308;0
SLF4BP;19680309;0
SLF4BP;19680310;10
SLF4BP;19680311;13
SLF4BP;19680312;0
SLF4BP;19680313;0
SLF4BP;19680314;0
SLF4BP;19680315;7
SLF4BP;19680316;0
SLF4BP;19680317;0
SLF4BP;19680318;0
SLF4BP;19680319;0
SLF4BP;19680320;0
SLF4BP;19680321;12
SLF4BP;19680322;4
SLF4BP;19680323;0
SLF4BP;19680324;0
SLF4BP;19680325;0
SLF4BP;19680326;0
SLF4BP;19680327;0
SLF4BP;19680328;0
SLF4BP;19680329;0
SLF4BP;19680330;0
SLF4BP;19680331;0
SLF4BP;19680401;0
SLF4BP;19680402;0
SLF4BP;19680403;5
SLF4BP;19680404;0
SLF4BP;19680405;0
SLF4BP;19680406;0
SLF4BP;19680407;17
SLF4BP;19680408;0
SLF4BP;19680409;0
SLF4BP;19680410;0
SLF4BP;19680411;0
SLF4BP;19680412;0
SLF4BP;19680413;0
SLF4BP;19680414;0
SLF4BP;19680415;0
SLF4BP;19680416;0
SLF4BP;19680417;0
SLF4BP;19680418;0
SLF4BP;19680419;0
SLF4BP;19680420;0
SLF4BP;19680421;0
SLF4BP;19680422;0
SLF4BP;19680423;0
SLF4BP;19680424;8
SLF4BP;19680425;0
SLF4BP;19680426;0
SLF4BP;19680427;0
SLF4BP;19680428;0
