 

stn;time;hns000d0
GEI;19721101;0
GEI;19721102;0
GEI;19721103;0
GEI;19721104;0
GEI;19721105;0
GEI;19721106;0
GEI;19721107;0
GEI;19721108;0
GEI;19721109;0
GEI;19721110;-
GEI;19721111;-
GEI;19721112;-
GEI;19721113;-
GEI;19721114;-
GEI;19721115;0
GEI;19721116;-
GEI;19721117;10
GEI;19721118;-
GEI;19721119;-
GEI;19721120;-
GEI;19721121;-
GEI;19721122;-
GEI;19721123;-
GEI;19721124;-
GEI;19721125;35
GEI;19721126;0
GEI;19721127;0
GEI;19721128;0
GEI;19721129;0
GEI;19721130;0
GEI;19721201;-
GEI;19721202;0
GEI;19721203;0
GEI;19721204;2
GEI;19721205;3
GEI;19721206;0
GEI;19721207;0
GEI;19721208;2
GEI;19721209;12
GEI;19721210;0
GEI;19721211;0
GEI;19721212;0
GEI;19721213;0
GEI;19721214;0
GEI;19721215;0
GEI;19721216;0
GEI;19721217;0
GEI;19721218;0
GEI;19721219;0
GEI;19721220;0
GEI;19721221;0
GEI;19721222;0
GEI;19721223;0
GEI;19721224;0
GEI;19721225;0
GEI;19721226;0
GEI;19721227;0
GEI;19721228;0
GEI;19721229;0
GEI;19721230;0
GEI;19721231;0
GEI;19730101;0
GEI;19730102;1
GEI;19730103;1
GEI;19730104;0
GEI;19730105;0
GEI;19730106;0
GEI;19730107;0
GEI;19730108;0
GEI;19730109;0
GEI;19730110;0
GEI;19730111;0
GEI;19730112;0
GEI;19730113;0
GEI;19730114;0
GEI;19730115;13
GEI;19730116;15
GEI;19730117;0
GEI;19730118;4
GEI;19730119;0
GEI;19730120;0
GEI;19730121;4
GEI;19730122;2
GEI;19730123;0
GEI;19730124;0
GEI;19730125;0
GEI;19730126;2
GEI;19730127;35
GEI;19730128;16
GEI;19730129;0
GEI;19730130;0
GEI;19730131;18
GEI;19730201;1
GEI;19730202;1
GEI;19730203;0
GEI;19730204;0
GEI;19730205;0
GEI;19730206;0
GEI;19730207;0
GEI;19730208;0
GEI;19730209;6
GEI;19730210;25
GEI;19730211;14
GEI;19730212;8
GEI;19730213;6
GEI;19730214;0
GEI;19730215;0
GEI;19730216;0
GEI;19730217;0
GEI;19730218;2
GEI;19730219;1
GEI;19730220;0
GEI;19730221;2
GEI;19730222;26
GEI;19730223;30
GEI;19730224;22
GEI;19730225;10
GEI;19730226;0
GEI;19730227;3
GEI;19730228;0
GEI;19730301;0
GEI;19730302;6
GEI;19730303;0
GEI;19730304;0
GEI;19730305;0
GEI;19730306;12
GEI;19730307;7
GEI;19730308;0
GEI;19730309;8
GEI;19730310;0
GEI;19730311;0
GEI;19730312;3
GEI;19730313;3
GEI;19730314;2
GEI;19730315;0
GEI;19730316;0
GEI;19730317;0
GEI;19730318;12
GEI;19730319;1
GEI;19730320;0
GEI;19730321;0
GEI;19730322;0
GEI;19730323;0
GEI;19730324;0
GEI;19730325;0
GEI;19730326;0
GEI;19730327;0
GEI;19730328;0
GEI;19730329;-
GEI;19730330;-
GEI;19730331;-
GEI;19730401;0
GEI;19730402;17
GEI;19730403;18
GEI;19730404;0
GEI;19730405;0
GEI;19730406;0
GEI;19730407;5
GEI;19730408;5
GEI;19730409;25
GEI;19730410;20
GEI;19730411;5
GEI;19730412;24
GEI;19730413;-
GEI;19730414;0
GEI;19730415;0
GEI;19730416;-
GEI;19730417;0
GEI;19730418;10
GEI;19730419;36
GEI;19730420;14
GEI;19730421;0
GEI;19730422;0
GEI;19730423;0
GEI;19730424;3
GEI;19730425;3
GEI;19730426;0
GEI;19730427;0
GEI;19730428;0
GEI;19730429;-
GEI;19730430;0
GEI;19730501;-
GEI;19730502;-
GEI;19730503;0
GEI;19730504;0
GEI;19730505;-
GEI;19730506;-
GEI;19730507;-
GEI;19730508;15
GEI;19730509;0
GEI;19730510;-
GEI;19730511;-
GEI;19730512;-
GEI;19730513;0
GEI;19730514;0
GEI;19730515;0
GEI;19730516;0
GEI;19730517;-
GEI;19730518;0
GEI;19730519;-
GEI;19730520;0
GEI;19730521;-
GEI;19730522;-
GEI;19730523;-
GEI;19730524;0
GEI;19730525;-
GEI;19730526;0
GEI;19730527;0
GEI;19730528;-
GEI;19730529;-
GEI;19730530;0
