 

stn;time;hns000d0
SLF5ZV;19880930;0
SLF5ZV;19881001;0
SLF5ZV;19881002;0
SLF5ZV;19881003;0
SLF5ZV;19881004;0
SLF5ZV;19881005;0
SLF5ZV;19881006;0
SLF5ZV;19881007;3
SLF5ZV;19881008;0
SLF5ZV;19881009;0
SLF5ZV;19881010;0
SLF5ZV;19881011;0
SLF5ZV;19881012;0
SLF5ZV;19881013;0
SLF5ZV;19881014;0
SLF5ZV;19881015;0
SLF5ZV;19881016;0
SLF5ZV;19881017;0
SLF5ZV;19881018;0
SLF5ZV;19881019;0
SLF5ZV;19881020;0
SLF5ZV;19881021;0
SLF5ZV;19881022;0
SLF5ZV;19881023;0
SLF5ZV;19881024;0
SLF5ZV;19881025;0
SLF5ZV;19881026;0
SLF5ZV;19881027;0
SLF5ZV;19881028;0
SLF5ZV;19881029;0
SLF5ZV;19881030;0
SLF5ZV;19881031;0
SLF5ZV;19881101;0
SLF5ZV;19881102;2
SLF5ZV;19881103;0
SLF5ZV;19881104;0
SLF5ZV;19881105;0
SLF5ZV;19881106;0
SLF5ZV;19881107;0
SLF5ZV;19881108;0
SLF5ZV;19881109;0
SLF5ZV;19881110;0
SLF5ZV;19881111;0
SLF5ZV;19881112;0
SLF5ZV;19881113;0
SLF5ZV;19881114;0
SLF5ZV;19881115;0
SLF5ZV;19881116;0
SLF5ZV;19881117;0
SLF5ZV;19881118;4
SLF5ZV;19881119;0
SLF5ZV;19881120;3
SLF5ZV;19881121;3
SLF5ZV;19881122;2
SLF5ZV;19881123;0
SLF5ZV;19881124;0
SLF5ZV;19881125;0
SLF5ZV;19881126;0
SLF5ZV;19881127;0
SLF5ZV;19881128;0
SLF5ZV;19881129;2
SLF5ZV;19881130;0
SLF5ZV;19881201;8
SLF5ZV;19881202;8
SLF5ZV;19881203;0
SLF5ZV;19881204;1
SLF5ZV;19881205;9
SLF5ZV;19881206;9
SLF5ZV;19881207;2
SLF5ZV;19881208;1
SLF5ZV;19881209;4
SLF5ZV;19881210;4
SLF5ZV;19881211;0
SLF5ZV;19881212;4
SLF5ZV;19881213;0
SLF5ZV;19881214;5
SLF5ZV;19881215;2
SLF5ZV;19881216;0
SLF5ZV;19881217;0
SLF5ZV;19881218;0
SLF5ZV;19881219;20
SLF5ZV;19881220;3
SLF5ZV;19881221;0
SLF5ZV;19881222;0
SLF5ZV;19881223;0
SLF5ZV;19881224;0
SLF5ZV;19881225;0
SLF5ZV;19881226;0
SLF5ZV;19881227;0
SLF5ZV;19881228;0
SLF5ZV;19881229;0
SLF5ZV;19881230;0
SLF5ZV;19881231;0
SLF5ZV;19890101;0
SLF5ZV;19890102;0
SLF5ZV;19890103;0
SLF5ZV;19890104;0
SLF5ZV;19890105;0
SLF5ZV;19890106;0
SLF5ZV;19890107;1
SLF5ZV;19890108;0
