 

stn;time;hns000d0
SLF7FA;19950930;0
SLF7FA;19951001;0
SLF7FA;19951002;0
SLF7FA;19951003;0
SLF7FA;19951004;0
SLF7FA;19951005;0
SLF7FA;19951006;0
SLF7FA;19951007;0
SLF7FA;19951008;0
SLF7FA;19951009;0
SLF7FA;19951010;0
SLF7FA;19951011;0
SLF7FA;19951012;0
SLF7FA;19951013;0
SLF7FA;19951014;0
SLF7FA;19951015;0
SLF7FA;19951016;0
SLF7FA;19951017;0
SLF7FA;19951018;0
SLF7FA;19951019;0
SLF7FA;19951020;0
SLF7FA;19951021;0
SLF7FA;19951022;0
SLF7FA;19951023;0
SLF7FA;19951024;0
SLF7FA;19951025;0
SLF7FA;19951026;0
SLF7FA;19951027;0
SLF7FA;19951028;0
SLF7FA;19951029;0
SLF7FA;19951030;0
SLF7FA;19951031;0
SLF7FA;19951101;1
SLF7FA;19951102;0
SLF7FA;19951103;15
SLF7FA;19951104;0
SLF7FA;19951105;0
SLF7FA;19951106;0
SLF7FA;19951107;0
SLF7FA;19951108;0
SLF7FA;19951109;0
SLF7FA;19951110;0
SLF7FA;19951111;0
SLF7FA;19951112;0
SLF7FA;19951113;0
SLF7FA;19951114;0
SLF7FA;19951115;0
SLF7FA;19951116;0
SLF7FA;19951117;5
SLF7FA;19951118;1
SLF7FA;19951119;17
SLF7FA;19951120;0
SLF7FA;19951121;0
SLF7FA;19951122;0
SLF7FA;19951123;0
SLF7FA;19951124;0
SLF7FA;19951125;0
SLF7FA;19951126;0
SLF7FA;19951127;0
SLF7FA;19951128;6
SLF7FA;19951129;0
SLF7FA;19951130;0
SLF7FA;19951201;0
SLF7FA;19951202;0
SLF7FA;19951203;2
SLF7FA;19951204;0
SLF7FA;19951205;0
SLF7FA;19951206;0
SLF7FA;19951207;0
SLF7FA;19951208;0
SLF7FA;19951209;0
SLF7FA;19951210;0
SLF7FA;19951211;0
SLF7FA;19951212;0
SLF7FA;19951213;8
SLF7FA;19951214;0
SLF7FA;19951215;1
SLF7FA;19951216;0
SLF7FA;19951217;6
SLF7FA;19951218;9
SLF7FA;19951219;0
SLF7FA;19951220;2
SLF7FA;19951221;2
SLF7FA;19951222;4
SLF7FA;19951223;0
SLF7FA;19951224;0
SLF7FA;19951225;0
SLF7FA;19951226;8
SLF7FA;19951227;0
SLF7FA;19951228;0
SLF7FA;19951229;0
SLF7FA;19951230;0
SLF7FA;19951231;5
SLF7FA;19960101;0
SLF7FA;19960102;4
SLF7FA;19960103;0
SLF7FA;19960104;0
SLF7FA;19960105;0
SLF7FA;19960106;3
SLF7FA;19960107;3
SLF7FA;19960108;0
SLF7FA;19960109;0
SLF7FA;19960110;0
SLF7FA;19960111;0
SLF7FA;19960112;0
SLF7FA;19960113;0
SLF7FA;19960114;0
SLF7FA;19960115;0
SLF7FA;19960116;0
SLF7FA;19960117;0
SLF7FA;19960118;0
SLF7FA;19960119;0
SLF7FA;19960120;0
SLF7FA;19960121;0
SLF7FA;19960122;0
SLF7FA;19960123;0
SLF7FA;19960124;0
SLF7FA;19960125;0
SLF7FA;19960126;1
SLF7FA;19960127;0
SLF7FA;19960128;0
SLF7FA;19960129;0
SLF7FA;19960130;0
SLF7FA;19960131;0
SLF7FA;19960201;0
SLF7FA;19960202;4
SLF7FA;19960203;0
SLF7FA;19960204;0
SLF7FA;19960205;0
SLF7FA;19960206;0
SLF7FA;19960207;0
SLF7FA;19960208;0
SLF7FA;19960209;0
SLF7FA;19960210;0
SLF7FA;19960211;0
SLF7FA;19960212;2
SLF7FA;19960213;3
SLF7FA;19960214;0
SLF7FA;19960215;0
SLF7FA;19960216;0
SLF7FA;19960217;6
SLF7FA;19960218;22
SLF7FA;19960219;2
SLF7FA;19960220;2
SLF7FA;19960221;2
SLF7FA;19960222;0
SLF7FA;19960223;0
SLF7FA;19960224;0
SLF7FA;19960225;0
SLF7FA;19960226;0
SLF7FA;19960227;0
SLF7FA;19960228;0
SLF7FA;19960229;0
SLF7FA;19960301;0
SLF7FA;19960302;0
SLF7FA;19960303;0
SLF7FA;19960304;0
SLF7FA;19960305;0
SLF7FA;19960306;0
SLF7FA;19960307;0
SLF7FA;19960308;0
SLF7FA;19960309;0
SLF7FA;19960310;0
SLF7FA;19960311;0
SLF7FA;19960312;0
SLF7FA;19960313;0
SLF7FA;19960314;0
SLF7FA;19960315;0
SLF7FA;19960316;2
SLF7FA;19960317;0
SLF7FA;19960318;0
SLF7FA;19960319;0
SLF7FA;19960320;0
SLF7FA;19960321;7
SLF7FA;19960322;5
SLF7FA;19960323;0
SLF7FA;19960324;0
SLF7FA;19960325;0
SLF7FA;19960326;0
SLF7FA;19960327;0
SLF7FA;19960328;0
SLF7FA;19960329;0
SLF7FA;19960330;1
SLF7FA;19960331;0
SLF7FA;19960401;6
SLF7FA;19960402;0
SLF7FA;19960403;1
SLF7FA;19960404;0
SLF7FA;19960405;0
SLF7FA;19960406;0
SLF7FA;19960407;0
SLF7FA;19960408;6
SLF7FA;19960409;0
SLF7FA;19960410;0
SLF7FA;19960411;1
SLF7FA;19960412;0
SLF7FA;19960413;0
SLF7FA;19960414;0
SLF7FA;19960415;0
SLF7FA;19960416;0
SLF7FA;19960417;0
SLF7FA;19960418;0
SLF7FA;19960419;0
SLF7FA;19960420;0
SLF7FA;19960421;0
SLF7FA;19960422;0
SLF7FA;19960423;0
SLF7FA;19960424;0
SLF7FA;19960425;0
SLF7FA;19960426;0
SLF7FA;19960427;0
SLF7FA;19960428;0
SLF7FA;19960429;0
SLF7FA;19960430;0
SLF7FA;19960501;0
SLF7FA;19960502;2
SLF7FA;19960503;0
SLF7FA;19960504;0
SLF7FA;19960505;0
SLF7FA;19960506;0
SLF7FA;19960507;0
SLF7FA;19960508;0
SLF7FA;19960509;0
SLF7FA;19960510;0
SLF7FA;19960511;0
SLF7FA;19960512;0
SLF7FA;19960513;0
SLF7FA;19960514;0
SLF7FA;19960515;0
SLF7FA;19960516;0
SLF7FA;19960517;0
SLF7FA;19960518;0
SLF7FA;19960519;0
SLF7FA;19960520;0
SLF7FA;19960521;0
SLF7FA;19960522;0
SLF7FA;19960523;0
SLF7FA;19960524;0
SLF7FA;19960525;0
SLF7FA;19960526;0
SLF7FA;19960527;0
SLF7FA;19960528;0
SLF7FA;19960529;0
