 

stn;time;hns000d0
SLF2TR;19850930;0
SLF2TR;19851001;0
SLF2TR;19851002;0
SLF2TR;19851003;0
SLF2TR;19851004;0
SLF2TR;19851005;0
SLF2TR;19851006;0
SLF2TR;19851007;0
SLF2TR;19851008;0
SLF2TR;19851009;0
SLF2TR;19851010;0
SLF2TR;19851011;0
SLF2TR;19851012;0
SLF2TR;19851013;0
SLF2TR;19851014;0
SLF2TR;19851015;0
SLF2TR;19851016;0
SLF2TR;19851017;0
SLF2TR;19851018;0
SLF2TR;19851019;0
SLF2TR;19851020;0
SLF2TR;19851021;0
SLF2TR;19851022;0
SLF2TR;19851023;0
SLF2TR;19851024;0
SLF2TR;19851025;0
SLF2TR;19851026;0
SLF2TR;19851027;0
SLF2TR;19851028;0
SLF2TR;19851029;0
SLF2TR;19851030;0
SLF2TR;19851031;0
SLF2TR;19851101;2
SLF2TR;19851102;1
SLF2TR;19851103;0
SLF2TR;19851104;0
SLF2TR;19851105;1
SLF2TR;19851106;2
SLF2TR;19851107;0
SLF2TR;19851108;0
SLF2TR;19851109;0
SLF2TR;19851110;4
SLF2TR;19851111;0
SLF2TR;19851112;6
SLF2TR;19851113;28
SLF2TR;19851114;0
SLF2TR;19851115;0
SLF2TR;19851116;0
SLF2TR;19851117;0
SLF2TR;19851118;0
SLF2TR;19851119;0
SLF2TR;19851120;1
SLF2TR;19851121;8
SLF2TR;19851122;2
SLF2TR;19851123;0
SLF2TR;19851124;0
SLF2TR;19851125;0
SLF2TR;19851126;0
SLF2TR;19851127;0
SLF2TR;19851128;30
SLF2TR;19851129;0
SLF2TR;19851130;0
SLF2TR;19851201;0
SLF2TR;19851202;0
SLF2TR;19851203;0
SLF2TR;19851204;0
SLF2TR;19851205;0
SLF2TR;19851206;0
SLF2TR;19851207;0
SLF2TR;19851208;0
SLF2TR;19851209;2
SLF2TR;19851210;2
SLF2TR;19851211;0
SLF2TR;19851212;0
SLF2TR;19851213;0
SLF2TR;19851214;0
SLF2TR;19851215;0
SLF2TR;19851216;0
SLF2TR;19851217;0
SLF2TR;19851218;1
SLF2TR;19851219;0
SLF2TR;19851220;0
SLF2TR;19851221;0
SLF2TR;19851222;0
SLF2TR;19851223;0
SLF2TR;19851224;0
SLF2TR;19851225;13
SLF2TR;19851226;4
SLF2TR;19851227;0
SLF2TR;19851228;6
SLF2TR;19851229;17
SLF2TR;19851230;0
SLF2TR;19851231;1
SLF2TR;19860101;4
SLF2TR;19860102;0
