 

stn;time;hns000d0
SLF7SD;19900930;0
SLF7SD;19901001;0
SLF7SD;19901002;0
SLF7SD;19901003;0
SLF7SD;19901004;0
SLF7SD;19901005;0
SLF7SD;19901006;0
SLF7SD;19901007;0
SLF7SD;19901008;0
SLF7SD;19901009;0
SLF7SD;19901010;0
SLF7SD;19901011;0
SLF7SD;19901012;0
SLF7SD;19901013;0
SLF7SD;19901014;0
SLF7SD;19901015;0
SLF7SD;19901016;0
SLF7SD;19901017;0
SLF7SD;19901018;0
SLF7SD;19901019;0
SLF7SD;19901020;0
SLF7SD;19901021;0
SLF7SD;19901022;0
SLF7SD;19901023;0
SLF7SD;19901024;0
SLF7SD;19901025;0
SLF7SD;19901026;1
SLF7SD;19901027;6
SLF7SD;19901028;0
SLF7SD;19901029;0
SLF7SD;19901030;0
SLF7SD;19901031;2
SLF7SD;19901101;0
SLF7SD;19901102;9
SLF7SD;19901103;2
SLF7SD;19901104;0
SLF7SD;19901105;0
SLF7SD;19901106;0
SLF7SD;19901107;0
SLF7SD;19901108;0
SLF7SD;19901109;0
SLF7SD;19901110;0
SLF7SD;19901111;0
SLF7SD;19901112;0
SLF7SD;19901113;0
SLF7SD;19901114;3
SLF7SD;19901115;1
SLF7SD;19901116;0
SLF7SD;19901117;0
SLF7SD;19901118;0
SLF7SD;19901119;0
SLF7SD;19901120;0
SLF7SD;19901121;4
SLF7SD;19901122;7
SLF7SD;19901123;5
SLF7SD;19901124;4
SLF7SD;19901125;28
SLF7SD;19901126;0
SLF7SD;19901127;0
SLF7SD;19901128;0
SLF7SD;19901129;0
SLF7SD;19901130;0
SLF7SD;19901201;0
SLF7SD;19901202;0
SLF7SD;19901203;0
SLF7SD;19901204;1
SLF7SD;19901205;4
SLF7SD;19901206;0
SLF7SD;19901207;0
SLF7SD;19901208;1
SLF7SD;19901209;46
SLF7SD;19901210;3
SLF7SD;19901211;0
SLF7SD;19901212;2
SLF7SD;19901213;0
SLF7SD;19901214;0
SLF7SD;19901215;0
SLF7SD;19901216;0
SLF7SD;19901217;0
SLF7SD;19901218;0
SLF7SD;19901219;0
SLF7SD;19901220;0
SLF7SD;19901221;0
SLF7SD;19901222;0
SLF7SD;19901223;0
SLF7SD;19901224;0
SLF7SD;19901225;2
SLF7SD;19901226;3
SLF7SD;19901227;0
SLF7SD;19901228;0
SLF7SD;19901229;0
SLF7SD;19901230;0
SLF7SD;19901231;0
SLF7SD;19910101;0
SLF7SD;19910102;3
SLF7SD;19910103;0
SLF7SD;19910104;8
SLF7SD;19910105;0
SLF7SD;19910106;0
SLF7SD;19910107;0
SLF7SD;19910108;0
SLF7SD;19910109;0
SLF7SD;19910110;0
SLF7SD;19910111;0
SLF7SD;19910112;6
SLF7SD;19910113;7
SLF7SD;19910114;0
SLF7SD;19910115;0
SLF7SD;19910116;0
SLF7SD;19910117;0
SLF7SD;19910118;0
SLF7SD;19910119;0
SLF7SD;19910120;0
SLF7SD;19910121;0
SLF7SD;19910122;0
SLF7SD;19910123;0
SLF7SD;19910124;0
SLF7SD;19910125;0
SLF7SD;19910126;0
SLF7SD;19910127;0
SLF7SD;19910128;0
SLF7SD;19910129;0
SLF7SD;19910130;0
SLF7SD;19910131;0
SLF7SD;19910201;0
SLF7SD;19910202;0
SLF7SD;19910203;0
SLF7SD;19910204;0
SLF7SD;19910205;0
SLF7SD;19910206;0
SLF7SD;19910207;3
SLF7SD;19910208;0
SLF7SD;19910209;12
SLF7SD;19910210;5
SLF7SD;19910211;0
SLF7SD;19910212;0
SLF7SD;19910213;0
SLF7SD;19910214;0
SLF7SD;19910215;10
SLF7SD;19910216;1
SLF7SD;19910217;0
SLF7SD;19910218;0
SLF7SD;19910219;0
SLF7SD;19910220;0
SLF7SD;19910221;0
SLF7SD;19910222;0
SLF7SD;19910223;0
SLF7SD;19910224;0
SLF7SD;19910225;0
SLF7SD;19910226;0
SLF7SD;19910227;0
SLF7SD;19910228;0
SLF7SD;19910301;0
SLF7SD;19910302;0
SLF7SD;19910303;0
SLF7SD;19910304;0
SLF7SD;19910305;0
SLF7SD;19910306;0
SLF7SD;19910307;0
SLF7SD;19910308;0
SLF7SD;19910309;0
SLF7SD;19910310;0
SLF7SD;19910311;0
SLF7SD;19910312;0
SLF7SD;19910313;0
SLF7SD;19910314;0
SLF7SD;19910315;0
SLF7SD;19910316;0
SLF7SD;19910317;0
SLF7SD;19910318;0
SLF7SD;19910319;0
SLF7SD;19910320;0
SLF7SD;19910321;0
SLF7SD;19910322;10
SLF7SD;19910323;0
SLF7SD;19910324;0
SLF7SD;19910325;0
SLF7SD;19910326;0
SLF7SD;19910327;1
SLF7SD;19910328;1
SLF7SD;19910329;0
SLF7SD;19910330;0
SLF7SD;19910331;0
SLF7SD;19910401;0
SLF7SD;19910402;0
SLF7SD;19910403;1
SLF7SD;19910404;1
SLF7SD;19910405;2
SLF7SD;19910406;0
SLF7SD;19910407;0
SLF7SD;19910408;0
SLF7SD;19910409;0
SLF7SD;19910410;0
SLF7SD;19910411;0
SLF7SD;19910412;0
SLF7SD;19910413;0
SLF7SD;19910414;0
