 

stn;time;hns000d0
SLF7SN;19880930;0
SLF7SN;19881001;0
SLF7SN;19881002;0
SLF7SN;19881003;0
SLF7SN;19881004;0
SLF7SN;19881005;0
SLF7SN;19881006;0
SLF7SN;19881007;1
SLF7SN;19881008;0
SLF7SN;19881009;0
SLF7SN;19881010;0
SLF7SN;19881011;0
SLF7SN;19881012;0
SLF7SN;19881013;0
SLF7SN;19881014;0
SLF7SN;19881015;0
SLF7SN;19881016;0
SLF7SN;19881017;0
SLF7SN;19881018;0
SLF7SN;19881019;0
SLF7SN;19881020;0
SLF7SN;19881021;0
SLF7SN;19881022;0
SLF7SN;19881023;0
SLF7SN;19881024;0
SLF7SN;19881025;0
SLF7SN;19881026;0
SLF7SN;19881027;0
SLF7SN;19881028;0
SLF7SN;19881029;0
SLF7SN;19881030;0
SLF7SN;19881031;0
SLF7SN;19881101;0
SLF7SN;19881102;4
SLF7SN;19881103;0
SLF7SN;19881104;0
SLF7SN;19881105;0
SLF7SN;19881106;0
SLF7SN;19881107;0
SLF7SN;19881108;0
SLF7SN;19881109;0
SLF7SN;19881110;0
SLF7SN;19881111;0
SLF7SN;19881112;0
SLF7SN;19881113;0
SLF7SN;19881114;0
SLF7SN;19881115;0
SLF7SN;19881116;0
SLF7SN;19881117;0
SLF7SN;19881118;1
SLF7SN;19881119;0
SLF7SN;19881120;4
SLF7SN;19881121;1
SLF7SN;19881122;0
SLF7SN;19881123;0
SLF7SN;19881124;0
SLF7SN;19881125;0
SLF7SN;19881126;0
SLF7SN;19881127;0
SLF7SN;19881128;0
SLF7SN;19881129;0
SLF7SN;19881130;0
SLF7SN;19881201;0
SLF7SN;19881202;2
SLF7SN;19881203;0
SLF7SN;19881204;21
SLF7SN;19881205;7
SLF7SN;19881206;5
SLF7SN;19881207;1
SLF7SN;19881208;2
SLF7SN;19881209;3
SLF7SN;19881210;1
SLF7SN;19881211;0
SLF7SN;19881212;2
SLF7SN;19881213;0
SLF7SN;19881214;7
SLF7SN;19881215;3
SLF7SN;19881216;0
SLF7SN;19881217;0
SLF7SN;19881218;4
SLF7SN;19881219;25
SLF7SN;19881220;7
SLF7SN;19881221;0
SLF7SN;19881222;0
SLF7SN;19881223;0
SLF7SN;19881224;0
SLF7SN;19881225;0
SLF7SN;19881226;0
SLF7SN;19881227;0
SLF7SN;19881228;0
SLF7SN;19881229;0
SLF7SN;19881230;0
SLF7SN;19881231;0
SLF7SN;19890101;0
SLF7SN;19890102;0
SLF7SN;19890103;0
SLF7SN;19890104;0
SLF7SN;19890105;0
SLF7SN;19890106;4
SLF7SN;19890107;8
SLF7SN;19890108;0
SLF7SN;19890109;0
SLF7SN;19890110;0
SLF7SN;19890111;0
SLF7SN;19890112;0
SLF7SN;19890113;0
SLF7SN;19890114;0
SLF7SN;19890115;0
SLF7SN;19890116;0
SLF7SN;19890117;0
SLF7SN;19890118;0
SLF7SN;19890119;0
SLF7SN;19890120;0
SLF7SN;19890121;0
SLF7SN;19890122;0
SLF7SN;19890123;0
SLF7SN;19890124;0
SLF7SN;19890125;0
SLF7SN;19890126;0
SLF7SN;19890127;0
SLF7SN;19890128;0
SLF7SN;19890129;0
SLF7SN;19890130;0
SLF7SN;19890131;0
SLF7SN;19890201;0
SLF7SN;19890202;0
SLF7SN;19890203;0
SLF7SN;19890204;0
SLF7SN;19890205;0
SLF7SN;19890206;0
SLF7SN;19890207;0
SLF7SN;19890208;0
SLF7SN;19890209;0
SLF7SN;19890210;0
SLF7SN;19890211;0
SLF7SN;19890212;8
SLF7SN;19890213;5
SLF7SN;19890214;12
SLF7SN;19890215;0
SLF7SN;19890216;0
SLF7SN;19890217;0
SLF7SN;19890218;9
SLF7SN;19890219;0
SLF7SN;19890220;0
SLF7SN;19890221;3
SLF7SN;19890222;0
SLF7SN;19890223;0
SLF7SN;19890224;6
SLF7SN;19890225;5
SLF7SN;19890226;0
SLF7SN;19890227;0
SLF7SN;19890228;2
SLF7SN;19890301;1
SLF7SN;19890302;8
SLF7SN;19890303;8
SLF7SN;19890304;0
SLF7SN;19890305;0
SLF7SN;19890306;0
SLF7SN;19890307;2
SLF7SN;19890308;0
SLF7SN;19890309;0
SLF7SN;19890310;0
