 

stn;time;hns000d0
SLF1HB;19930930;0
SLF1HB;19931001;0
SLF1HB;19931002;30
SLF1HB;19931003;1
SLF1HB;19931004;0
SLF1HB;19931005;0
SLF1HB;19931006;0
SLF1HB;19931007;0
SLF1HB;19931008;5
SLF1HB;19931009;0
SLF1HB;19931010;0
SLF1HB;19931011;0
SLF1HB;19931012;0
SLF1HB;19931013;0
SLF1HB;19931014;0
SLF1HB;19931015;0
SLF1HB;19931016;0
SLF1HB;19931017;0
SLF1HB;19931018;0
SLF1HB;19931019;0
SLF1HB;19931020;0
SLF1HB;19931021;12
SLF1HB;19931022;10
SLF1HB;19931023;8
SLF1HB;19931024;5
SLF1HB;19931025;0
SLF1HB;19931026;0
SLF1HB;19931027;0
SLF1HB;19931028;0
SLF1HB;19931029;0
SLF1HB;19931030;0
SLF1HB;19931031;0
SLF1HB;19931101;0
SLF1HB;19931102;0
SLF1HB;19931103;0
SLF1HB;19931104;0
SLF1HB;19931105;0
SLF1HB;19931106;0
SLF1HB;19931107;0
SLF1HB;19931108;0
SLF1HB;19931109;0
SLF1HB;19931110;0
SLF1HB;19931111;8
SLF1HB;19931112;0
SLF1HB;19931113;0
SLF1HB;19931114;20
SLF1HB;19931115;21
SLF1HB;19931116;2
SLF1HB;19931117;0
SLF1HB;19931118;0
SLF1HB;19931119;0
SLF1HB;19931120;0
SLF1HB;19931121;0
SLF1HB;19931122;0
SLF1HB;19931123;0
SLF1HB;19931124;0
SLF1HB;19931125;0
SLF1HB;19931126;0
SLF1HB;19931127;0
SLF1HB;19931128;0
SLF1HB;19931129;0
SLF1HB;19931130;0
SLF1HB;19931201;0
SLF1HB;19931202;0
SLF1HB;19931203;0
SLF1HB;19931204;0
SLF1HB;19931205;0
SLF1HB;19931206;2
SLF1HB;19931207;20
SLF1HB;19931208;5
SLF1HB;19931209;0
SLF1HB;19931210;8
SLF1HB;19931211;20
SLF1HB;19931212;6
SLF1HB;19931213;10
SLF1HB;19931214;3
SLF1HB;19931215;11
SLF1HB;19931216;48
SLF1HB;19931217;9
SLF1HB;19931218;0
SLF1HB;19931219;0
SLF1HB;19931220;0
SLF1HB;19931221;5
SLF1HB;19931222;5
SLF1HB;19931223;2
SLF1HB;19931224;48
SLF1HB;19931225;15
SLF1HB;19931226;18
SLF1HB;19931227;4
SLF1HB;19931228;2
SLF1HB;19931229;5
SLF1HB;19931230;3
SLF1HB;19931231;23
SLF1HB;19940101;18
SLF1HB;19940102;7
SLF1HB;19940103;10
SLF1HB;19940104;2
SLF1HB;19940105;0
SLF1HB;19940106;0
SLF1HB;19940107;4
SLF1HB;19940108;1
