 

stn;time;hns000d0
SLF7MA;19760930;0
SLF7MA;19761001;0
SLF7MA;19761002;0
SLF7MA;19761003;0
SLF7MA;19761004;0
SLF7MA;19761005;0
SLF7MA;19761006;0
SLF7MA;19761007;0
SLF7MA;19761008;0
SLF7MA;19761009;0
SLF7MA;19761010;0
SLF7MA;19761011;0
SLF7MA;19761012;0
SLF7MA;19761013;0
SLF7MA;19761014;0
SLF7MA;19761015;11
SLF7MA;19761016;0
SLF7MA;19761017;0
SLF7MA;19761018;3
SLF7MA;19761019;0
SLF7MA;19761020;0
SLF7MA;19761021;0
SLF7MA;19761022;0
SLF7MA;19761023;0
SLF7MA;19761024;0
SLF7MA;19761025;0
SLF7MA;19761026;0
SLF7MA;19761027;0
SLF7MA;19761028;9
SLF7MA;19761029;4
SLF7MA;19761030;0
SLF7MA;19761031;0
SLF7MA;19761101;0
SLF7MA;19761102;18
SLF7MA;19761103;14
SLF7MA;19761104;0
SLF7MA;19761105;0
SLF7MA;19761106;0
SLF7MA;19761107;0
SLF7MA;19761108;10
SLF7MA;19761109;5
SLF7MA;19761110;27
SLF7MA;19761111;28
SLF7MA;19761112;1
SLF7MA;19761113;0
SLF7MA;19761114;0
SLF7MA;19761115;0
SLF7MA;19761116;0
SLF7MA;19761117;0
SLF7MA;19761118;0
SLF7MA;19761119;0
SLF7MA;19761120;0
SLF7MA;19761121;0
SLF7MA;19761122;0
SLF7MA;19761123;0
SLF7MA;19761124;3
SLF7MA;19761125;0
SLF7MA;19761126;0
SLF7MA;19761127;0
SLF7MA;19761128;0
SLF7MA;19761129;0
SLF7MA;19761130;16
SLF7MA;19761201;21
SLF7MA;19761202;0
SLF7MA;19761203;0
SLF7MA;19761204;0
SLF7MA;19761205;0
SLF7MA;19761206;10
SLF7MA;19761207;8
SLF7MA;19761208;0
SLF7MA;19761209;6
SLF7MA;19761210;2
SLF7MA;19761211;9
SLF7MA;19761212;5
SLF7MA;19761213;0
SLF7MA;19761214;0
SLF7MA;19761215;0
SLF7MA;19761216;0
SLF7MA;19761217;5
SLF7MA;19761218;3
SLF7MA;19761219;3
SLF7MA;19761220;0
SLF7MA;19761221;0
SLF7MA;19761222;0
SLF7MA;19761223;0
SLF7MA;19761224;0
SLF7MA;19761225;0
SLF7MA;19761226;0
SLF7MA;19761227;3
SLF7MA;19761228;7
SLF7MA;19761229;0
SLF7MA;19761230;0
SLF7MA;19761231;10
SLF7MA;19770101;28
SLF7MA;19770102;0
SLF7MA;19770103;2
SLF7MA;19770104;9
SLF7MA;19770105;0
SLF7MA;19770106;0
SLF7MA;19770107;0
SLF7MA;19770108;0
SLF7MA;19770109;6
SLF7MA;19770110;56
SLF7MA;19770111;81
SLF7MA;19770112;24
SLF7MA;19770113;0
SLF7MA;19770114;20
SLF7MA;19770115;0
SLF7MA;19770116;0
SLF7MA;19770117;0
SLF7MA;19770118;0
SLF7MA;19770119;0
SLF7MA;19770120;0
SLF7MA;19770121;3
SLF7MA;19770122;19
SLF7MA;19770123;8
SLF7MA;19770124;0
SLF7MA;19770125;1
SLF7MA;19770126;11
SLF7MA;19770127;0
SLF7MA;19770128;21
SLF7MA;19770129;5
SLF7MA;19770130;0
SLF7MA;19770131;0
SLF7MA;19770201;0
SLF7MA;19770202;0
SLF7MA;19770203;0
SLF7MA;19770204;0
SLF7MA;19770205;7
SLF7MA;19770206;10
SLF7MA;19770207;0
SLF7MA;19770208;0
SLF7MA;19770209;0
SLF7MA;19770210;14
SLF7MA;19770211;8
SLF7MA;19770212;2
SLF7MA;19770213;0
SLF7MA;19770214;0
SLF7MA;19770215;0
SLF7MA;19770216;1
SLF7MA;19770217;0
SLF7MA;19770218;2
SLF7MA;19770219;15
SLF7MA;19770220;58
SLF7MA;19770221;3
SLF7MA;19770222;23
SLF7MA;19770223;3
SLF7MA;19770224;52
SLF7MA;19770225;0
SLF7MA;19770226;0
SLF7MA;19770227;0
SLF7MA;19770228;0
SLF7MA;19770301;0
SLF7MA;19770302;0
SLF7MA;19770303;0
SLF7MA;19770304;0
SLF7MA;19770305;0
SLF7MA;19770306;0
SLF7MA;19770307;0
SLF7MA;19770308;0
SLF7MA;19770309;0
SLF7MA;19770310;0
SLF7MA;19770311;25
SLF7MA;19770312;0
SLF7MA;19770313;0
SLF7MA;19770314;0
SLF7MA;19770315;0
SLF7MA;19770316;0
SLF7MA;19770317;0
SLF7MA;19770318;18
SLF7MA;19770319;8
SLF7MA;19770320;26
SLF7MA;19770321;12
SLF7MA;19770322;8
SLF7MA;19770323;0
SLF7MA;19770324;0
SLF7MA;19770325;0
SLF7MA;19770326;1
SLF7MA;19770327;0
SLF7MA;19770328;56
SLF7MA;19770329;3
SLF7MA;19770330;0
SLF7MA;19770331;0
SLF7MA;19770401;0
SLF7MA;19770402;0
SLF7MA;19770403;0
SLF7MA;19770404;18
SLF7MA;19770405;0
SLF7MA;19770406;1
SLF7MA;19770407;15
SLF7MA;19770408;5
SLF7MA;19770409;0
SLF7MA;19770410;0
SLF7MA;19770411;0
SLF7MA;19770412;13
SLF7MA;19770413;0
SLF7MA;19770414;0
SLF7MA;19770415;3
SLF7MA;19770416;0
SLF7MA;19770417;0
SLF7MA;19770418;0
SLF7MA;19770419;0
SLF7MA;19770420;0
SLF7MA;19770421;0
SLF7MA;19770422;0
SLF7MA;19770423;0
SLF7MA;19770424;0
SLF7MA;19770425;0
SLF7MA;19770426;0
SLF7MA;19770427;0
SLF7MA;19770428;0
SLF7MA;19770429;5
