 

stn;time;hns000d0
SLF1GD;20170919;8
SLF1GD;20170920;-
SLF1GD;20170921;-
SLF1GD;20170922;-
SLF1GD;20170923;-
SLF1GD;20170924;-
SLF1GD;20170925;-
SLF1GD;20170926;-
SLF1GD;20170927;-
SLF1GD;20170928;-
SLF1GD;20170929;-
SLF1GD;20170930;0
SLF1GD;20171001;0
SLF1GD;20171002;0
SLF1GD;20171003;0
SLF1GD;20171004;0
SLF1GD;20171005;0
SLF1GD;20171006;1
SLF1GD;20171007;0
SLF1GD;20171008;0
SLF1GD;20171009;0
SLF1GD;20171010;0
SLF1GD;20171011;0
SLF1GD;20171012;0
SLF1GD;20171013;0
SLF1GD;20171014;0
SLF1GD;20171015;0
SLF1GD;20171016;0
SLF1GD;20171017;0
SLF1GD;20171018;0
SLF1GD;20171019;0
SLF1GD;20171020;0
SLF1GD;20171021;1
SLF1GD;20171022;15
SLF1GD;20171023;8
SLF1GD;20171024;0
SLF1GD;20171025;0
SLF1GD;20171026;0
SLF1GD;20171027;0
SLF1GD;20171028;0
SLF1GD;20171029;1
SLF1GD;20171030;0
SLF1GD;20171031;0
SLF1GD;20171101;0
SLF1GD;20171102;0
SLF1GD;20171103;0
SLF1GD;20171104;0
SLF1GD;20171105;40
SLF1GD;20171106;0
SLF1GD;20171107;4
SLF1GD;20171108;2
SLF1GD;20171109;0
SLF1GD;20171110;6
SLF1GD;20171111;7
SLF1GD;20171112;45
SLF1GD;20171113;0
SLF1GD;20171114;0
SLF1GD;20171115;0
SLF1GD;20171116;0
SLF1GD;20171117;0
SLF1GD;20171118;3
SLF1GD;20171119;7
SLF1GD;20171120;0
SLF1GD;20171121;0
SLF1GD;20171122;0
SLF1GD;20171123;0
SLF1GD;20171124;0
SLF1GD;20171125;21
SLF1GD;20171126;2
SLF1GD;20171127;2
SLF1GD;20171128;10
SLF1GD;20171129;25
SLF1GD;20171130;3
SLF1GD;20171201;1
SLF1GD;20171202;0
SLF1GD;20171203;8
SLF1GD;20171204;1
SLF1GD;20171205;0
SLF1GD;20171206;0
SLF1GD;20171207;10
SLF1GD;20171208;27
SLF1GD;20171209;5
SLF1GD;20171210;5
SLF1GD;20171211;18
SLF1GD;20171212;-
SLF1GD;20171213;2
SLF1GD;20171214;51
SLF1GD;20171215;5
SLF1GD;20171216;27
SLF1GD;20171217;7
SLF1GD;20171218;9
SLF1GD;20171219;0
SLF1GD;20171220;0
SLF1GD;20171221;5
SLF1GD;20171222;0
SLF1GD;20171223;0
SLF1GD;20171224;0
SLF1GD;20171225;0
SLF1GD;20171226;0
SLF1GD;20171227;27
SLF1GD;20171228;8
SLF1GD;20171229;16
SLF1GD;20171230;0
SLF1GD;20171231;8
SLF1GD;20180101;18
SLF1GD;20180102;7
SLF1GD;20180103;48
SLF1GD;20180104;7
SLF1GD;20180105;0
SLF1GD;20180106;0
SLF1GD;20180107;0
