 

stn;time;hns000d0
SLF1PL;19831130;0
SLF1PL;19831201;0
SLF1PL;19831202;0
SLF1PL;19831203;0
SLF1PL;19831204;0
SLF1PL;19831205;1
SLF1PL;19831206;10
SLF1PL;19831207;0
SLF1PL;19831208;0
SLF1PL;19831209;2
SLF1PL;19831210;10
SLF1PL;19831211;0
SLF1PL;19831212;0
SLF1PL;19831213;0
SLF1PL;19831214;0
SLF1PL;19831215;0
SLF1PL;19831216;0
SLF1PL;19831217;0
SLF1PL;19831218;0
SLF1PL;19831219;5
SLF1PL;19831220;0
SLF1PL;19831221;22
SLF1PL;19831222;0
SLF1PL;19831223;0
SLF1PL;19831224;0
SLF1PL;19831225;0
SLF1PL;19831226;18
SLF1PL;19831227;0
SLF1PL;19831228;0
SLF1PL;19831229;0
SLF1PL;19831230;0
SLF1PL;19831231;0
SLF1PL;19840101;0
SLF1PL;19840102;0
SLF1PL;19840103;22
SLF1PL;19840104;16
SLF1PL;19840105;0
SLF1PL;19840106;0
SLF1PL;19840107;5
SLF1PL;19840108;0
SLF1PL;19840109;0
SLF1PL;19840110;0
SLF1PL;19840111;0
SLF1PL;19840112;12
SLF1PL;19840113;0
SLF1PL;19840114;12
SLF1PL;19840115;18
SLF1PL;19840116;5
SLF1PL;19840117;8
SLF1PL;19840118;0
SLF1PL;19840119;12
SLF1PL;19840120;5
SLF1PL;19840121;0
SLF1PL;19840122;0
SLF1PL;19840123;10
SLF1PL;19840124;33
SLF1PL;19840125;0
SLF1PL;19840126;0
SLF1PL;19840127;12
SLF1PL;19840128;0
SLF1PL;19840129;10
SLF1PL;19840130;10
SLF1PL;19840131;12
SLF1PL;19840201;12
SLF1PL;19840202;3
SLF1PL;19840203;0
SLF1PL;19840204;0
SLF1PL;19840205;2
SLF1PL;19840206;25
SLF1PL;19840207;10
SLF1PL;19840208;32
SLF1PL;19840209;12
SLF1PL;19840210;0
SLF1PL;19840211;0
SLF1PL;19840212;0
SLF1PL;19840213;0
SLF1PL;19840214;0
SLF1PL;19840215;0
SLF1PL;19840216;0
SLF1PL;19840217;0
SLF1PL;19840218;0
SLF1PL;19840219;5
SLF1PL;19840220;12
SLF1PL;19840221;32
SLF1PL;19840222;0
SLF1PL;19840223;0
SLF1PL;19840224;0
SLF1PL;19840225;0
SLF1PL;19840226;6
SLF1PL;19840227;0
SLF1PL;19840228;0
SLF1PL;19840229;0
SLF1PL;19840301;0
SLF1PL;19840302;6
SLF1PL;19840303;12
SLF1PL;19840304;0
SLF1PL;19840305;0
SLF1PL;19840306;0
SLF1PL;19840307;0
SLF1PL;19840308;0
SLF1PL;19840309;0
SLF1PL;19840310;0
SLF1PL;19840311;0
SLF1PL;19840312;0
SLF1PL;19840313;0
SLF1PL;19840314;0
SLF1PL;19840315;0
SLF1PL;19840316;0
SLF1PL;19840317;0
SLF1PL;19840318;0
SLF1PL;19840319;0
SLF1PL;19840320;0
SLF1PL;19840321;0
SLF1PL;19840322;2
SLF1PL;19840323;0
SLF1PL;19840324;28
SLF1PL;19840325;8
SLF1PL;19840326;18
SLF1PL;19840327;0
SLF1PL;19840328;5
SLF1PL;19840329;0
SLF1PL;19840330;0
SLF1PL;19840331;10
SLF1PL;19840401;6
SLF1PL;19840402;10
SLF1PL;19840403;0
SLF1PL;19840404;12
SLF1PL;19840405;0
SLF1PL;19840406;0
SLF1PL;19840407;0
SLF1PL;19840408;0
SLF1PL;19840409;0
SLF1PL;19840410;5
SLF1PL;19840411;0
SLF1PL;19840412;0
SLF1PL;19840413;0
SLF1PL;19840414;0
SLF1PL;19840415;0
SLF1PL;19840416;10
SLF1PL;19840417;0
SLF1PL;19840418;0
SLF1PL;19840419;0
SLF1PL;19840420;0
SLF1PL;19840421;0
SLF1PL;19840422;0
SLF1PL;19840423;0
SLF1PL;19840424;0
SLF1PL;19840425;0
SLF1PL;19840426;0
SLF1PL;19840427;0
SLF1PL;19840428;0
