 

stn;time;hns000d0
SLF4LA;20120930;0
SLF4LA;20121001;0
SLF4LA;20121002;0
SLF4LA;20121003;0
SLF4LA;20121004;0
SLF4LA;20121005;0
SLF4LA;20121006;0
SLF4LA;20121007;0
SLF4LA;20121008;0
SLF4LA;20121009;0
SLF4LA;20121010;0
SLF4LA;20121011;0
SLF4LA;20121012;0
SLF4LA;20121013;0
SLF4LA;20121014;0
SLF4LA;20121015;16
SLF4LA;20121016;0
SLF4LA;20121017;0
SLF4LA;20121018;0
SLF4LA;20121019;0
SLF4LA;20121020;0
SLF4LA;20121021;0
SLF4LA;20121022;0
SLF4LA;20121023;0
SLF4LA;20121024;0
SLF4LA;20121025;0
SLF4LA;20121026;0
SLF4LA;20121027;20
SLF4LA;20121028;10
SLF4LA;20121029;0
SLF4LA;20121030;0
SLF4LA;20121031;3
SLF4LA;20121101;3
SLF4LA;20121102;0
SLF4LA;20121103;0
SLF4LA;20121104;3
SLF4LA;20121105;0
SLF4LA;20121106;3
SLF4LA;20121107;0
SLF4LA;20121108;0
SLF4LA;20121109;5
SLF4LA;20121110;15
SLF4LA;20121111;5
SLF4LA;20121112;0
SLF4LA;20121113;0
SLF4LA;20121114;0
SLF4LA;20121115;0
SLF4LA;20121116;0
SLF4LA;20121117;0
SLF4LA;20121118;0
SLF4LA;20121119;0
SLF4LA;20121120;0
SLF4LA;20121121;0
SLF4LA;20121122;0
SLF4LA;20121123;0
SLF4LA;20121124;0
SLF4LA;20121125;0
SLF4LA;20121126;1
SLF4LA;20121127;10
SLF4LA;20121128;14
SLF4LA;20121129;5
SLF4LA;20121130;0
SLF4LA;20121201;1
SLF4LA;20121202;2
SLF4LA;20121203;65
SLF4LA;20121204;21
SLF4LA;20121205;16
SLF4LA;20121206;3
SLF4LA;20121207;31
SLF4LA;20121208;0
SLF4LA;20121209;23
SLF4LA;20121210;6
SLF4LA;20121211;0
SLF4LA;20121212;0
SLF4LA;20121213;0
SLF4LA;20121214;17
SLF4LA;20121215;22
SLF4LA;20121216;27
SLF4LA;20121217;33
SLF4LA;20121218;25
SLF4LA;20121219;0
SLF4LA;20121220;13
SLF4LA;20121221;0
SLF4LA;20121222;23
SLF4LA;20121223;0
SLF4LA;20121224;0
SLF4LA;20121225;11
SLF4LA;20121226;0
SLF4LA;20121227;17
SLF4LA;20121228;0
SLF4LA;20121229;0
SLF4LA;20121230;0
SLF4LA;20121231;0
SLF4LA;20130101;8
SLF4LA;20130102;0
SLF4LA;20130103;0
SLF4LA;20130104;0
SLF4LA;20130105;0
SLF4LA;20130106;0
SLF4LA;20130107;0
SLF4LA;20130108;0
SLF4LA;20130109;0
SLF4LA;20130110;31
SLF4LA;20130111;8
SLF4LA;20130112;0
SLF4LA;20130113;2
SLF4LA;20130114;0
SLF4LA;20130115;0
SLF4LA;20130116;0
SLF4LA;20130117;2
SLF4LA;20130118;2
SLF4LA;20130119;2
SLF4LA;20130120;1
SLF4LA;20130121;0
SLF4LA;20130122;0
SLF4LA;20130123;0
SLF4LA;20130124;0
SLF4LA;20130125;0
SLF4LA;20130126;0
SLF4LA;20130127;4
SLF4LA;20130128;0
SLF4LA;20130129;5
SLF4LA;20130130;0
SLF4LA;20130131;15
SLF4LA;20130201;36
SLF4LA;20130202;10
SLF4LA;20130203;25
SLF4LA;20130204;6
SLF4LA;20130205;25
SLF4LA;20130206;15
SLF4LA;20130207;9
SLF4LA;20130208;5
SLF4LA;20130209;0
SLF4LA;20130210;3
SLF4LA;20130211;8
SLF4LA;20130212;1
SLF4LA;20130213;0
SLF4LA;20130214;9
SLF4LA;20130215;0
SLF4LA;20130216;0
SLF4LA;20130217;0
SLF4LA;20130218;0
SLF4LA;20130219;5
SLF4LA;20130220;0
SLF4LA;20130221;3
SLF4LA;20130222;0
SLF4LA;20130223;2
SLF4LA;20130224;5
SLF4LA;20130225;1
SLF4LA;20130226;0
SLF4LA;20130227;0
SLF4LA;20130228;0
