 

stn;time;hns000d0
SLF4ZW;20171031;0
SLF4ZW;20171101;0
SLF4ZW;20171102;0
SLF4ZW;20171103;0
SLF4ZW;20171104;0
SLF4ZW;20171105;11
SLF4ZW;20171106;7
SLF4ZW;20171107;2
SLF4ZW;20171108;2
SLF4ZW;20171109;0
SLF4ZW;20171110;1
SLF4ZW;20171111;1
SLF4ZW;20171112;12
SLF4ZW;20171113;0
SLF4ZW;20171114;0
SLF4ZW;20171115;0
SLF4ZW;20171116;0
SLF4ZW;20171117;0
SLF4ZW;20171118;1
SLF4ZW;20171119;6
SLF4ZW;20171120;0
SLF4ZW;20171121;0
SLF4ZW;20171122;0
SLF4ZW;20171123;0
SLF4ZW;20171124;1
SLF4ZW;20171125;5
SLF4ZW;20171126;0
SLF4ZW;20171127;0
SLF4ZW;20171128;0
SLF4ZW;20171129;3
SLF4ZW;20171130;1
SLF4ZW;20171201;1
SLF4ZW;20171202;0
SLF4ZW;20171203;0
SLF4ZW;20171204;0
SLF4ZW;20171205;0
SLF4ZW;20171206;0
SLF4ZW;20171207;0
SLF4ZW;20171208;11
SLF4ZW;20171209;2
SLF4ZW;20171210;8
SLF4ZW;20171211;7
SLF4ZW;20171212;5
SLF4ZW;20171213;0
SLF4ZW;20171214;14
SLF4ZW;20171215;0
SLF4ZW;20171216;1
SLF4ZW;20171217;1
SLF4ZW;20171218;6
SLF4ZW;20171219;0
SLF4ZW;20171220;0
SLF4ZW;20171221;0
SLF4ZW;20171222;0
SLF4ZW;20171223;0
SLF4ZW;20171224;0
SLF4ZW;20171225;0
SLF4ZW;20171226;1
SLF4ZW;20171227;7
SLF4ZW;20171228;0
SLF4ZW;20171229;31
SLF4ZW;20171230;12
SLF4ZW;20171231;2
SLF4ZW;20180101;6
SLF4ZW;20180102;17
SLF4ZW;20180103;35
SLF4ZW;20180104;10
SLF4ZW;20180105;0
SLF4ZW;20180106;0
SLF4ZW;20180107;19
SLF4ZW;20180108;90
SLF4ZW;20180109;7
SLF4ZW;20180110;0
SLF4ZW;20180111;0
SLF4ZW;20180112;0
SLF4ZW;20180113;0
SLF4ZW;20180114;0
SLF4ZW;20180115;1
SLF4ZW;20180116;9
SLF4ZW;20180117;8
SLF4ZW;20180118;12
SLF4ZW;20180119;6
SLF4ZW;20180120;24
SLF4ZW;20180121;35
SLF4ZW;20180122;14
SLF4ZW;20180123;0
SLF4ZW;20180124;0
SLF4ZW;20180125;1
SLF4ZW;20180126;5
SLF4ZW;20180127;0
SLF4ZW;20180128;0
SLF4ZW;20180129;0
SLF4ZW;20180130;0
SLF4ZW;20180131;1
SLF4ZW;20180201;4
SLF4ZW;20180202;0
SLF4ZW;20180203;0
SLF4ZW;20180204;0
SLF4ZW;20180205;0
SLF4ZW;20180206;0
SLF4ZW;20180207;0
SLF4ZW;20180208;0
SLF4ZW;20180209;0
SLF4ZW;20180210;0
SLF4ZW;20180211;3
SLF4ZW;20180212;3
SLF4ZW;20180213;0
SLF4ZW;20180214;5
SLF4ZW;20180215;11
SLF4ZW;20180216;0
SLF4ZW;20180217;3
SLF4ZW;20180218;0
SLF4ZW;20180219;0
SLF4ZW;20180220;0
SLF4ZW;20180221;0
SLF4ZW;20180222;1
SLF4ZW;20180223;7
SLF4ZW;20180224;0
SLF4ZW;20180225;5
SLF4ZW;20180226;1
SLF4ZW;20180227;0
SLF4ZW;20180228;0
SLF4ZW;20180301;0
SLF4ZW;20180302;4
SLF4ZW;20180303;3
SLF4ZW;20180304;0
SLF4ZW;20180305;0
SLF4ZW;20180306;2
SLF4ZW;20180307;1
SLF4ZW;20180308;0
SLF4ZW;20180309;0
SLF4ZW;20180310;0
SLF4ZW;20180311;15
SLF4ZW;20180312;5
SLF4ZW;20180313;1
SLF4ZW;20180314;0
SLF4ZW;20180315;2
SLF4ZW;20180316;2
SLF4ZW;20180317;10
SLF4ZW;20180318;8
SLF4ZW;20180319;3
SLF4ZW;20180320;0
SLF4ZW;20180321;0
SLF4ZW;20180322;0
SLF4ZW;20180323;0
SLF4ZW;20180324;0
SLF4ZW;20180325;0
SLF4ZW;20180326;0
SLF4ZW;20180327;10
SLF4ZW;20180328;2
SLF4ZW;20180329;0
SLF4ZW;20180330;32
SLF4ZW;20180331;8
SLF4ZW;20180401;0
SLF4ZW;20180402;0
SLF4ZW;20180403;0
SLF4ZW;20180404;2
SLF4ZW;20180405;0
SLF4ZW;20180406;0
SLF4ZW;20180407;0
SLF4ZW;20180408;1
SLF4ZW;20180409;0
SLF4ZW;20180410;2
SLF4ZW;20180411;10
SLF4ZW;20180412;5
SLF4ZW;20180413;0
SLF4ZW;20180414;0
SLF4ZW;20180415;0
SLF4ZW;20180416;0
SLF4ZW;20180417;0
SLF4ZW;20180418;0
SLF4ZW;20180419;0
SLF4ZW;20180420;0
SLF4ZW;20180421;0
SLF4ZW;20180422;0
SLF4ZW;20180423;0
SLF4ZW;20180424;0
SLF4ZW;20180425;0
SLF4ZW;20180426;0
SLF4ZW;20180427;0
SLF4ZW;20180428;0
SLF4ZW;20180429;1
SLF4ZW;20180430;2
SLF4ZW;20180501;0
SLF4ZW;20180502;2
SLF4ZW;20180503;0
SLF4ZW;20180504;0
SLF4ZW;20180505;0
SLF4ZW;20180506;0
SLF4ZW;20180507;0
SLF4ZW;20180508;0
SLF4ZW;20180509;0
SLF4ZW;20180510;0
SLF4ZW;20180511;0
SLF4ZW;20180512;0
SLF4ZW;20180513;4
SLF4ZW;20180514;2
SLF4ZW;20180515;0
SLF4ZW;20180516;0
SLF4ZW;20180517;0
SLF4ZW;20180518;0
SLF4ZW;20180519;0
SLF4ZW;20180520;0
SLF4ZW;20180521;0
SLF4ZW;20180522;0
SLF4ZW;20180523;0
SLF4ZW;20180524;0
SLF4ZW;20180525;0
SLF4ZW;20180526;0
SLF4ZW;20180527;0
SLF4ZW;20180528;0
SLF4ZW;20180529;0
