 

stn;time;hns000d0
SLF6RO;19651114;2
SLF6RO;19651115;3
SLF6RO;19651116;0
SLF6RO;19651117;13
SLF6RO;19651118;0
SLF6RO;19651119;9
SLF6RO;19651120;11
SLF6RO;19651121;1
SLF6RO;19651122;0
SLF6RO;19651123;0
SLF6RO;19651124;4
SLF6RO;19651125;3
SLF6RO;19651126;5
SLF6RO;19651127;13
SLF6RO;19651128;10
SLF6RO;19651129;8
SLF6RO;19651130;0
SLF6RO;19651201;3
SLF6RO;19651202;17
SLF6RO;19651203;5
SLF6RO;19651204;15
SLF6RO;19651205;29
SLF6RO;19651206;5
SLF6RO;19651207;10
SLF6RO;19651208;0
SLF6RO;19651209;5
SLF6RO;19651210;18
SLF6RO;19651211;17
SLF6RO;19651212;15
SLF6RO;19651213;4
SLF6RO;19651214;0
SLF6RO;19651215;0
SLF6RO;19651216;0
SLF6RO;19651217;5
SLF6RO;19651218;0
SLF6RO;19651219;3
SLF6RO;19651220;0
SLF6RO;19651221;0
SLF6RO;19651222;7
SLF6RO;19651223;7
SLF6RO;19651224;4
SLF6RO;19651225;2
SLF6RO;19651226;0
SLF6RO;19651227;8
SLF6RO;19651228;0
SLF6RO;19651229;8
SLF6RO;19651230;21
SLF6RO;19651231;4
SLF6RO;19660101;15
SLF6RO;19660102;18
SLF6RO;19660103;8
SLF6RO;19660104;0
SLF6RO;19660105;0
SLF6RO;19660106;0
SLF6RO;19660107;0
SLF6RO;19660108;0
SLF6RO;19660109;3
SLF6RO;19660110;1
SLF6RO;19660111;0
SLF6RO;19660112;0
SLF6RO;19660113;0
SLF6RO;19660114;0
SLF6RO;19660115;0
SLF6RO;19660116;0
SLF6RO;19660117;0
SLF6RO;19660118;0
SLF6RO;19660119;0
SLF6RO;19660120;0
SLF6RO;19660121;0
SLF6RO;19660122;7
SLF6RO;19660123;9
SLF6RO;19660124;1
SLF6RO;19660125;1
SLF6RO;19660126;1
SLF6RO;19660127;0
SLF6RO;19660128;0
SLF6RO;19660129;0
SLF6RO;19660130;0
SLF6RO;19660131;0
SLF6RO;19660201;0
SLF6RO;19660202;0
SLF6RO;19660203;0
SLF6RO;19660204;0
SLF6RO;19660205;0
SLF6RO;19660206;3
SLF6RO;19660207;0
SLF6RO;19660208;15
SLF6RO;19660209;2
SLF6RO;19660210;1
SLF6RO;19660211;10
SLF6RO;19660212;26
SLF6RO;19660213;6
SLF6RO;19660214;0
SLF6RO;19660215;0
SLF6RO;19660216;4
SLF6RO;19660217;5
SLF6RO;19660218;0
SLF6RO;19660219;2
SLF6RO;19660220;56
SLF6RO;19660221;87
SLF6RO;19660222;8
SLF6RO;19660223;0
SLF6RO;19660224;0
SLF6RO;19660225;0
SLF6RO;19660226;0
SLF6RO;19660227;0
SLF6RO;19660228;0
SLF6RO;19660301;0
SLF6RO;19660302;0
SLF6RO;19660303;0
SLF6RO;19660304;0
SLF6RO;19660305;0
SLF6RO;19660306;0
SLF6RO;19660307;0
SLF6RO;19660308;0
SLF6RO;19660309;0
SLF6RO;19660310;0
SLF6RO;19660311;7
SLF6RO;19660312;11
SLF6RO;19660313;2
SLF6RO;19660314;0
SLF6RO;19660315;3
SLF6RO;19660316;0
SLF6RO;19660317;0
SLF6RO;19660318;0
SLF6RO;19660319;0
SLF6RO;19660320;0
SLF6RO;19660321;0
SLF6RO;19660322;0
SLF6RO;19660323;0
SLF6RO;19660324;8
SLF6RO;19660325;0
SLF6RO;19660326;1
SLF6RO;19660327;16
SLF6RO;19660328;10
SLF6RO;19660329;8
SLF6RO;19660330;0
SLF6RO;19660331;0
SLF6RO;19660401;0
SLF6RO;19660402;0
SLF6RO;19660403;0
SLF6RO;19660404;0
SLF6RO;19660405;0
SLF6RO;19660406;0
SLF6RO;19660407;6
SLF6RO;19660408;2
SLF6RO;19660409;2
SLF6RO;19660410;1
SLF6RO;19660411;9
SLF6RO;19660412;8
SLF6RO;19660413;8
SLF6RO;19660414;6
SLF6RO;19660415;13
SLF6RO;19660416;5
SLF6RO;19660417;0
SLF6RO;19660418;2
SLF6RO;19660419;6
SLF6RO;19660420;34
SLF6RO;19660421;0
SLF6RO;19660422;0
SLF6RO;19660423;2
SLF6RO;19660424;19
SLF6RO;19660425;16
SLF6RO;19660426;0
SLF6RO;19660427;0
SLF6RO;19660428;0
SLF6RO;19660429;0
SLF6RO;19660430;0
SLF6RO;19660501;0
SLF6RO;19660502;0
SLF6RO;19660503;0
SLF6RO;19660504;0
SLF6RO;19660505;0
SLF6RO;19660506;23
SLF6RO;19660507;0
SLF6RO;19660508;0
SLF6RO;19660509;7
SLF6RO;19660510;0
SLF6RO;19660511;0
SLF6RO;19660512;0
SLF6RO;19660513;0
SLF6RO;19660514;0
SLF6RO;19660515;0
SLF6RO;19660516;0
SLF6RO;19660517;0
SLF6RO;19660518;0
SLF6RO;19660519;0
SLF6RO;19660520;0
SLF6RO;19660521;0
SLF6RO;19660522;0
SLF6RO;19660523;0
