 

stn;time;hns000d0
SLF7MZ;20060930;0
SLF7MZ;20061001;0
SLF7MZ;20061002;0
SLF7MZ;20061003;0
SLF7MZ;20061004;0
SLF7MZ;20061005;0
SLF7MZ;20061006;0
SLF7MZ;20061007;0
SLF7MZ;20061008;0
SLF7MZ;20061009;0
SLF7MZ;20061010;0
SLF7MZ;20061011;0
SLF7MZ;20061012;0
SLF7MZ;20061013;0
SLF7MZ;20061014;0
SLF7MZ;20061015;0
SLF7MZ;20061016;0
SLF7MZ;20061017;0
SLF7MZ;20061018;0
SLF7MZ;20061019;0
SLF7MZ;20061020;0
SLF7MZ;20061021;0
SLF7MZ;20061022;0
SLF7MZ;20061023;0
SLF7MZ;20061024;0
SLF7MZ;20061025;0
SLF7MZ;20061026;0
SLF7MZ;20061027;0
SLF7MZ;20061028;0
SLF7MZ;20061029;0
SLF7MZ;20061030;0
SLF7MZ;20061031;0
SLF7MZ;20061101;0
SLF7MZ;20061102;0
SLF7MZ;20061103;0
SLF7MZ;20061104;0
SLF7MZ;20061105;0
SLF7MZ;20061106;0
SLF7MZ;20061107;0
SLF7MZ;20061108;0
SLF7MZ;20061109;0
SLF7MZ;20061110;0
SLF7MZ;20061111;0
SLF7MZ;20061112;0
SLF7MZ;20061113;0
SLF7MZ;20061114;0
SLF7MZ;20061115;0
SLF7MZ;20061116;0
SLF7MZ;20061117;0
SLF7MZ;20061118;0
SLF7MZ;20061119;4
SLF7MZ;20061120;0
SLF7MZ;20061121;13
SLF7MZ;20061122;0
SLF7MZ;20061123;0
SLF7MZ;20061124;0
SLF7MZ;20061125;0
SLF7MZ;20061126;0
SLF7MZ;20061127;0
SLF7MZ;20061128;0
SLF7MZ;20061129;0
SLF7MZ;20061130;0
SLF7MZ;20061201;0
SLF7MZ;20061202;0
SLF7MZ;20061203;1
SLF7MZ;20061204;0
SLF7MZ;20061205;0
SLF7MZ;20061206;15
SLF7MZ;20061207;0
SLF7MZ;20061208;23
SLF7MZ;20061209;18
SLF7MZ;20061210;0
SLF7MZ;20061211;0
SLF7MZ;20061212;0
SLF7MZ;20061213;0
SLF7MZ;20061214;0
SLF7MZ;20061215;0
SLF7MZ;20061216;3
SLF7MZ;20061217;1
SLF7MZ;20061218;0
SLF7MZ;20061219;0
SLF7MZ;20061220;0
SLF7MZ;20061221;0
SLF7MZ;20061222;0
SLF7MZ;20061223;0
SLF7MZ;20061224;0
SLF7MZ;20061225;0
SLF7MZ;20061226;0
SLF7MZ;20061227;0
SLF7MZ;20061228;0
SLF7MZ;20061229;0
SLF7MZ;20061230;0
SLF7MZ;20061231;0
SLF7MZ;20070101;4
SLF7MZ;20070102;11
SLF7MZ;20070103;3
SLF7MZ;20070104;0
SLF7MZ;20070105;0
SLF7MZ;20070106;0
SLF7MZ;20070107;0
SLF7MZ;20070108;2
SLF7MZ;20070109;0
SLF7MZ;20070110;0
SLF7MZ;20070111;1
SLF7MZ;20070112;1
SLF7MZ;20070113;0
SLF7MZ;20070114;0
SLF7MZ;20070115;0
