 

stn;time;hns000d0
SLF4AO;20030109;0
SLF4AO;20030110;-
SLF4AO;20030111;-
SLF4AO;20030112;-
SLF4AO;20030113;1
SLF4AO;20030114;-
SLF4AO;20030115;-
SLF4AO;20030116;-
SLF4AO;20030117;-
SLF4AO;20030118;-
SLF4AO;20030119;-
SLF4AO;20030120;0
SLF4AO;20030121;5
SLF4AO;20030122;4
SLF4AO;20030123;5
SLF4AO;20030124;0
SLF4AO;20030125;0
SLF4AO;20030126;2
SLF4AO;20030127;0
SLF4AO;20030128;12
SLF4AO;20030129;6
SLF4AO;20030130;4
SLF4AO;20030131;2
SLF4AO;20030201;2
SLF4AO;20030202;0
SLF4AO;20030203;45
SLF4AO;20030204;11
SLF4AO;20030205;5
SLF4AO;20030206;4
SLF4AO;20030207;0
SLF4AO;20030208;0
SLF4AO;20030209;0
SLF4AO;20030210;0
SLF4AO;20030211;0
SLF4AO;20030212;0
SLF4AO;20030213;0
SLF4AO;20030214;0
SLF4AO;20030215;0
SLF4AO;20030216;0
SLF4AO;20030217;0
SLF4AO;20030218;0
SLF4AO;20030219;0
SLF4AO;20030220;0
SLF4AO;20030221;0
SLF4AO;20030222;0
SLF4AO;20030223;0
SLF4AO;20030224;0
SLF4AO;20030225;0
SLF4AO;20030226;0
SLF4AO;20030227;0
SLF4AO;20030228;0
SLF4AO;20030301;3
SLF4AO;20030302;5
SLF4AO;20030303;0
SLF4AO;20030304;0
SLF4AO;20030305;0
SLF4AO;20030306;0
SLF4AO;20030307;0
SLF4AO;20030308;0
SLF4AO;20030309;0
SLF4AO;20030310;0
SLF4AO;20030311;0
SLF4AO;20030312;0
SLF4AO;20030313;0
SLF4AO;20030314;0
SLF4AO;20030315;0
SLF4AO;20030316;0
SLF4AO;20030317;0
SLF4AO;20030318;0
SLF4AO;20030319;0
SLF4AO;20030320;0
SLF4AO;20030321;0
SLF4AO;20030322;0
SLF4AO;20030323;0
SLF4AO;20030324;0
SLF4AO;20030325;0
SLF4AO;20030326;0
SLF4AO;20030327;0
SLF4AO;20030328;0
SLF4AO;20030329;0
SLF4AO;20030330;0
SLF4AO;20030331;0
SLF4AO;20030401;0
SLF4AO;20030402;10
SLF4AO;20030403;0
SLF4AO;20030404;0
SLF4AO;20030405;0
SLF4AO;20030406;0
SLF4AO;20030407;0
SLF4AO;20030408;0
SLF4AO;20030409;2
SLF4AO;20030410;2
SLF4AO;20030411;0
SLF4AO;20030412;0
SLF4AO;20030413;0
SLF4AO;20030414;0
SLF4AO;20030415;0
SLF4AO;20030416;0
SLF4AO;20030417;0
SLF4AO;20030418;0
SLF4AO;20030419;0
SLF4AO;20030420;0
SLF4AO;20030421;0
SLF4AO;20030422;0
SLF4AO;20030423;0
SLF4AO;20030424;0
SLF4AO;20030425;0
SLF4AO;20030426;0
SLF4AO;20030427;0
SLF4AO;20030428;0
