 

stn;time;hns000d0
SLF7CO;20090930;0
SLF7CO;20091001;0
SLF7CO;20091002;0
SLF7CO;20091003;0
SLF7CO;20091004;0
SLF7CO;20091005;0
SLF7CO;20091006;0
SLF7CO;20091007;0
SLF7CO;20091008;0
SLF7CO;20091009;0
SLF7CO;20091010;0
SLF7CO;20091011;0
SLF7CO;20091012;20
SLF7CO;20091013;0
SLF7CO;20091014;0
SLF7CO;20091015;0
SLF7CO;20091016;5
SLF7CO;20091017;5
SLF7CO;20091018;0
SLF7CO;20091019;0
SLF7CO;20091020;0
SLF7CO;20091021;0
SLF7CO;20091022;0
SLF7CO;20091023;0
SLF7CO;20091024;0
SLF7CO;20091025;0
SLF7CO;20091026;0
SLF7CO;20091027;0
SLF7CO;20091028;0
SLF7CO;20091029;0
SLF7CO;20091030;0
SLF7CO;20091031;0
SLF7CO;20091101;0
SLF7CO;20091102;20
SLF7CO;20091103;4
SLF7CO;20091104;2
SLF7CO;20091105;7
SLF7CO;20091106;5
SLF7CO;20091107;5
SLF7CO;20091108;15
SLF7CO;20091109;0
SLF7CO;20091110;0
SLF7CO;20091111;0
SLF7CO;20091112;0
SLF7CO;20091113;0
SLF7CO;20091114;0
SLF7CO;20091115;0
SLF7CO;20091116;0
SLF7CO;20091117;0
SLF7CO;20091118;0
SLF7CO;20091119;0
SLF7CO;20091120;0
SLF7CO;20091121;0
SLF7CO;20091122;0
SLF7CO;20091123;0
SLF7CO;20091124;0
SLF7CO;20091125;0
SLF7CO;20091126;0
SLF7CO;20091127;2
SLF7CO;20091128;0
SLF7CO;20091129;70
SLF7CO;20091130;50
SLF7CO;20091201;0
SLF7CO;20091202;2
SLF7CO;20091203;5
SLF7CO;20091204;10
SLF7CO;20091205;0
SLF7CO;20091206;0
SLF7CO;20091207;7
SLF7CO;20091208;7
SLF7CO;20091209;0
SLF7CO;20091210;2
SLF7CO;20091211;7
SLF7CO;20091212;4
SLF7CO;20091213;2
SLF7CO;20091214;0
SLF7CO;20091215;0
SLF7CO;20091216;0
SLF7CO;20091217;0
SLF7CO;20091218;0
SLF7CO;20091219;0
SLF7CO;20091220;0
SLF7CO;20091221;5
SLF7CO;20091222;25
SLF7CO;20091223;10
SLF7CO;20091224;42
SLF7CO;20091225;30
SLF7CO;20091226;0
SLF7CO;20091227;5
SLF7CO;20091228;0
SLF7CO;20091229;0
SLF7CO;20091230;11
SLF7CO;20091231;2
SLF7CO;20100101;4
SLF7CO;20100102;2
SLF7CO;20100103;0
SLF7CO;20100104;0
SLF7CO;20100105;0
SLF7CO;20100106;5
SLF7CO;20100107;22
SLF7CO;20100108;8
SLF7CO;20100109;8
SLF7CO;20100110;0
SLF7CO;20100111;0
SLF7CO;20100112;0
SLF7CO;20100113;0
SLF7CO;20100114;3
SLF7CO;20100115;0
SLF7CO;20100116;4
SLF7CO;20100117;3
SLF7CO;20100118;0
SLF7CO;20100119;0
SLF7CO;20100120;0
SLF7CO;20100121;0
SLF7CO;20100122;0
SLF7CO;20100123;0
SLF7CO;20100124;0
SLF7CO;20100125;0
SLF7CO;20100126;3
SLF7CO;20100127;0
SLF7CO;20100128;2
SLF7CO;20100129;1
SLF7CO;20100130;3
SLF7CO;20100131;0
SLF7CO;20100201;0
SLF7CO;20100202;0
SLF7CO;20100203;0
SLF7CO;20100204;3
SLF7CO;20100205;9
SLF7CO;20100206;2
SLF7CO;20100207;0
SLF7CO;20100208;0
SLF7CO;20100209;3
SLF7CO;20100210;4
SLF7CO;20100211;0
SLF7CO;20100212;0
SLF7CO;20100213;0
SLF7CO;20100214;0
SLF7CO;20100215;0
SLF7CO;20100216;2
SLF7CO;20100217;7
SLF7CO;20100218;2
SLF7CO;20100219;27
SLF7CO;20100220;1
SLF7CO;20100221;2
SLF7CO;20100222;2
SLF7CO;20100223;0
SLF7CO;20100224;0
SLF7CO;20100225;7
SLF7CO;20100226;2
SLF7CO;20100227;2
SLF7CO;20100228;3
SLF7CO;20100301;0
SLF7CO;20100302;0
SLF7CO;20100303;0
SLF7CO;20100304;0
SLF7CO;20100305;0
SLF7CO;20100306;2
SLF7CO;20100307;0
SLF7CO;20100308;0
SLF7CO;20100309;2
SLF7CO;20100310;1
SLF7CO;20100311;0
SLF7CO;20100312;0
SLF7CO;20100313;0
SLF7CO;20100314;0
SLF7CO;20100315;0
SLF7CO;20100316;0
SLF7CO;20100317;0
SLF7CO;20100318;0
SLF7CO;20100319;0
SLF7CO;20100320;0
SLF7CO;20100321;0
SLF7CO;20100322;0
