 

stn;time;hns000d0
SLF7MT;20100830;25
SLF7MT;20100831;-
SLF7MT;20100901;-
SLF7MT;20100902;-
SLF7MT;20100903;-
SLF7MT;20100904;-
SLF7MT;20100905;-
SLF7MT;20100906;-
SLF7MT;20100907;-
SLF7MT;20100908;-
SLF7MT;20100909;-
SLF7MT;20100910;-
SLF7MT;20100911;-
SLF7MT;20100912;-
SLF7MT;20100913;-
SLF7MT;20100914;-
SLF7MT;20100915;-
SLF7MT;20100916;-
SLF7MT;20100917;-
SLF7MT;20100918;-
SLF7MT;20100919;-
SLF7MT;20100920;-
SLF7MT;20100921;-
SLF7MT;20100922;-
SLF7MT;20100923;-
SLF7MT;20100924;-
SLF7MT;20100925;-
SLF7MT;20100926;-
SLF7MT;20100927;-
SLF7MT;20100928;-
SLF7MT;20100929;-
SLF7MT;20100930;0
SLF7MT;20101001;0
SLF7MT;20101002;0
SLF7MT;20101003;0
SLF7MT;20101004;0
SLF7MT;20101005;0
SLF7MT;20101006;0
SLF7MT;20101007;0
SLF7MT;20101008;0
SLF7MT;20101009;0
SLF7MT;20101010;0
SLF7MT;20101011;0
SLF7MT;20101012;0
SLF7MT;20101013;0
SLF7MT;20101014;0
SLF7MT;20101015;0
SLF7MT;20101016;10
SLF7MT;20101017;0
SLF7MT;20101018;0
SLF7MT;20101019;0
SLF7MT;20101020;10
SLF7MT;20101021;0
SLF7MT;20101022;0
SLF7MT;20101023;0
SLF7MT;20101024;20
SLF7MT;20101025;10
SLF7MT;20101026;0
SLF7MT;20101027;0
SLF7MT;20101028;0
SLF7MT;20101029;0
SLF7MT;20101030;5
SLF7MT;20101031;0
SLF7MT;20101101;0
SLF7MT;20101102;0
SLF7MT;20101103;0
SLF7MT;20101104;0
SLF7MT;20101105;0
SLF7MT;20101106;0
SLF7MT;20101107;27
SLF7MT;20101108;9
SLF7MT;20101109;0
SLF7MT;20101110;5
SLF7MT;20101111;0
SLF7MT;20101112;0
SLF7MT;20101113;0
SLF7MT;20101114;0
SLF7MT;20101115;10
SLF7MT;20101116;19
SLF7MT;20101117;0
SLF7MT;20101118;10
SLF7MT;20101119;0
SLF7MT;20101120;10
SLF7MT;20101121;12
SLF7MT;20101122;0
SLF7MT;20101123;6
SLF7MT;20101124;0
SLF7MT;20101125;4
SLF7MT;20101126;0
SLF7MT;20101127;8
SLF7MT;20101128;4
SLF7MT;20101129;0
SLF7MT;20101130;5
SLF7MT;20101201;8
SLF7MT;20101202;8
SLF7MT;20101203;0
SLF7MT;20101204;0
SLF7MT;20101205;4
SLF7MT;20101206;1
SLF7MT;20101207;0
SLF7MT;20101208;3
SLF7MT;20101209;5
SLF7MT;20101210;14
SLF7MT;20101211;0
SLF7MT;20101212;5
SLF7MT;20101213;2
SLF7MT;20101214;0
SLF7MT;20101215;0
SLF7MT;20101216;0
SLF7MT;20101217;3
SLF7MT;20101218;0
SLF7MT;20101219;0
SLF7MT;20101220;0
SLF7MT;20101221;0
SLF7MT;20101222;4
SLF7MT;20101223;9
SLF7MT;20101224;5
SLF7MT;20101225;8
SLF7MT;20101226;0
SLF7MT;20101227;0
SLF7MT;20101228;7
SLF7MT;20101229;0
SLF7MT;20101230;0
SLF7MT;20101231;0
SLF7MT;20110101;0
SLF7MT;20110102;0
SLF7MT;20110103;0
SLF7MT;20110104;0
SLF7MT;20110105;0
SLF7MT;20110106;0
SLF7MT;20110107;0
SLF7MT;20110108;0
SLF7MT;20110109;5
SLF7MT;20110110;5
SLF7MT;20110111;3
SLF7MT;20110112;20
SLF7MT;20110113;0
SLF7MT;20110114;0
SLF7MT;20110115;0
SLF7MT;20110116;0
SLF7MT;20110117;0
SLF7MT;20110118;0
SLF7MT;20110119;0
SLF7MT;20110120;0
SLF7MT;20110121;0
