 

stn;time;fklnd3m0
MMMOU;201502;0
MMMOU;201503;0
MMMOU;201504;0
MMMOU;201505;0
MMMOU;201506;0
MMMOU;201507;0
MMMOU;201508;0
MMMOU;201509;0
MMMOU;201510;0
MMMOU;201511;0
MMMOU;201512;0
MMMOU;201601;0
MMMOU;201602;0
MMMOU;201603;0
MMMOU;201604;0
MMMOU;201605;0
MMMOU;201606;0
MMMOU;201607;0
MMMOU;201608;0
MMMOU;201609;0
MMMOU;201610;0
MMMOU;201611;0
MMMOU;201612;0
MMMOU;201701;0
MMMOU;201702;0
MMMOU;201703;0
MMMOU;201704;0
MMMOU;201705;0
MMMOU;201706;0
MMMOU;201707;0
MMMOU;201708;0
MMMOU;201709;0
MMMOU;201710;0
MMMOU;201711;0
MMMOU;201712;0
MMMOU;201801;0
MMMOU;201802;0
MMMOU;201803;0
MMMOU;201804;0
MMMOU;201805;0
MMMOU;201806;0
