 

stn;time;fklnd3m0
WSLVOF;201006;0
WSLVOF;201007;0
WSLVOF;201008;0
WSLVOF;201009;0
WSLVOF;201010;0
WSLVOF;201011;0
WSLVOF;201012;0
WSLVOF;201101;0
WSLVOF;201102;0
WSLVOF;201103;0
WSLVOF;201104;0
WSLVOF;201105;0
WSLVOF;201106;0
WSLVOF;201107;0
WSLVOF;201108;0
WSLVOF;201109;0
WSLVOF;201110;0
WSLVOF;201111;0
WSLVOF;201112;0
WSLVOF;201201;0
WSLVOF;201202;0
WSLVOF;201203;0
WSLVOF;201204;0
WSLVOF;201205;0
WSLVOF;201206;0
WSLVOF;201207;0
WSLVOF;201208;0
WSLVOF;201209;0
WSLVOF;201210;0
WSLVOF;201211;0
WSLVOF;201212;0
WSLVOF;201301;0
WSLVOF;201302;0
WSLVOF;201303;0
WSLVOF;201304;0
WSLVOF;201305;0
WSLVOF;201306;0
WSLVOF;201307;0
WSLVOF;201308;0
WSLVOF;201309;0
WSLVOF;201310;0
WSLVOF;201311;0
WSLVOF;201312;0
WSLVOF;201401;0
WSLVOF;201402;0
WSLVOF;201403;-
WSLVOF;201404;0
WSLVOF;201405;0
WSLVOF;201406;0
WSLVOF;201407;0
WSLVOF;201408;0
WSLVOF;201409;0
