 

stn;time;fklnd3m0
DLKLI;196901;0
DLKLI;196902;0
DLKLI;196903;0
DLKLI;196904;0
DLKLI;196905;0
DLKLI;196906;0
DLKLI;196907;0
DLKLI;196908;0
DLKLI;196909;0
DLKLI;196910;0
DLKLI;196911;1
DLKLI;196912;0
DLKLI;197001;0
DLKLI;197002;3
DLKLI;197003;0
DLKLI;197004;0
DLKLI;197005;0
DLKLI;197006;0
DLKLI;197007;1
DLKLI;197008;0
DLKLI;197009;0
DLKLI;197010;1
DLKLI;197011;0
DLKLI;197012;0
DLKLI;197101;0
DLKLI;197102;0
DLKLI;197103;0
DLKLI;197104;0
DLKLI;197105;0
DLKLI;197106;0
DLKLI;197107;0
DLKLI;197108;0
DLKLI;197109;0
DLKLI;197110;0
DLKLI;197111;0
DLKLI;197112;0
DLKLI;197201;0
DLKLI;197202;0
DLKLI;197203;1
DLKLI;197204;0
DLKLI;197205;1
DLKLI;197206;0
DLKLI;197207;0
DLKLI;197208;0
DLKLI;197209;0
DLKLI;197210;0
DLKLI;197211;1
DLKLI;197212;0
DLKLI;197301;0
DLKLI;197302;0
DLKLI;197303;0
DLKLI;197304;0
DLKLI;197305;0
DLKLI;197306;0
DLKLI;197307;0
DLKLI;197308;0
DLKLI;197309;0
DLKLI;197310;0
DLKLI;197311;0
DLKLI;197312;1
DLKLI;197401;2
DLKLI;197402;1
DLKLI;197403;0
DLKLI;197404;0
DLKLI;197405;0
DLKLI;197406;0
DLKLI;197407;0
DLKLI;197408;0
DLKLI;197409;0
DLKLI;197410;1
DLKLI;197411;1
DLKLI;197412;0
DLKLI;197501;0
DLKLI;197502;0
DLKLI;197503;0
DLKLI;197504;0
DLKLI;197505;0
DLKLI;197506;0
DLKLI;197507;0
DLKLI;197508;0
DLKLI;197509;0
DLKLI;197510;0
DLKLI;197511;0
DLKLI;197512;0
DLKLI;197601;1
DLKLI;197602;0
DLKLI;197603;0
DLKLI;197604;0
DLKLI;197605;0
DLKLI;197606;0
DLKLI;197607;0
DLKLI;197608;0
DLKLI;197609;0
DLKLI;197610;0
DLKLI;197611;1
DLKLI;197612;1
DLKLI;197701;0
DLKLI;197702;0
DLKLI;197703;0
DLKLI;197704;1
DLKLI;197705;0
DLKLI;197706;0
DLKLI;197707;0
DLKLI;197708;0
DLKLI;197709;0
DLKLI;197710;0
DLKLI;197711;2
DLKLI;197712;1
DLKLI;197801;0
DLKLI;197802;0
DLKLI;197803;2
DLKLI;197804;0
DLKLI;197805;0
DLKLI;197806;0
DLKLI;197807;0
DLKLI;197808;0
DLKLI;197809;0
DLKLI;197810;0
DLKLI;197811;0
DLKLI;197812;2
DLKLI;197901;1
DLKLI;197902;0
DLKLI;197903;1
DLKLI;197904;0
DLKLI;197905;0
DLKLI;197906;0
DLKLI;197907;0
DLKLI;197908;0
DLKLI;197909;0
DLKLI;197910;0
DLKLI;197911;0
DLKLI;197912;1
DLKLI;198001;0
DLKLI;198002;0
DLKLI;198003;0
DLKLI;198004;0
DLKLI;198005;0
DLKLI;198006;0
DLKLI;198007;0
DLKLI;198008;0
DLKLI;198009;0
DLKLI;198010;1
DLKLI;198011;0
DLKLI;198012;0
DLKLI;198101;2
DLKLI;198102;0
DLKLI;198103;0
DLKLI;198104;0
DLKLI;198105;0
DLKLI;198106;0
DLKLI;198107;0
DLKLI;198108;0
DLKLI;198109;0
DLKLI;198110;0
DLKLI;198111;0
DLKLI;198112;1
DLKLI;198201;0
DLKLI;198202;0
DLKLI;198203;1
DLKLI;198204;0
DLKLI;198205;0
DLKLI;198206;0
DLKLI;198207;0
DLKLI;198208;0
DLKLI;198209;0
DLKLI;198210;0
DLKLI;198211;0
DLKLI;198212;0
DLKLI;198301;0
DLKLI;198302;1
DLKLI;198303;0
DLKLI;198304;0
DLKLI;198305;0
DLKLI;198306;0
DLKLI;198307;0
DLKLI;198308;0
DLKLI;198309;0
DLKLI;198310;0
DLKLI;198311;1
DLKLI;198312;0
DLKLI;198401;1
DLKLI;198402;0
DLKLI;198403;0
DLKLI;198404;0
DLKLI;198405;0
DLKLI;198406;0
DLKLI;198407;0
DLKLI;198408;0
DLKLI;198409;0
DLKLI;198410;0
DLKLI;198411;2
DLKLI;198412;0
DLKLI;198501;0
DLKLI;198502;0
DLKLI;198503;0
DLKLI;198504;0
DLKLI;198505;0
DLKLI;198506;0
DLKLI;198507;0
DLKLI;198508;0
DLKLI;198509;0
DLKLI;198510;0
DLKLI;198511;0
DLKLI;198512;0
DLKLI;198601;1
DLKLI;198602;0
DLKLI;198603;1
DLKLI;198604;0
DLKLI;198605;0
DLKLI;198606;0
DLKLI;198607;0
DLKLI;198608;0
DLKLI;198609;0
DLKLI;198610;1
DLKLI;198611;0
DLKLI;198612;0
DLKLI;198701;0
DLKLI;198702;0
DLKLI;198703;0
DLKLI;198704;0
DLKLI;198705;0
DLKLI;198706;0
DLKLI;198707;0
DLKLI;198708;0
DLKLI;198709;0
DLKLI;198710;1
DLKLI;198711;1
DLKLI;198712;0
DLKLI;198801;0
