 

stn;time;fu3010m1
SBO;198203;63.4
SBO;198204;54.4
SBO;198205;47.9
SBO;198206;51.8
SBO;198207;62.3
SBO;198208;70.2
SBO;198209;93.2
SBO;198210;36.0
SBO;198211;49.3
SBO;198212;75.6
SBO;198301;90.0
SBO;198302;56.5
SBO;198303;74.9
SBO;198304;69.1
SBO;198305;51.8
SBO;198306;56.9
SBO;198307;44.3
SBO;198308;49.0
SBO;198309;60.1
SBO;198310;67.7
SBO;198311;55.4
SBO;198312;79.6
SBO;198401;54.4
SBO;198402;90.0
SBO;198403;76.0
SBO;198404;65.9
SBO;198405;45.4
SBO;198406;43.2
SBO;198407;65.2
SBO;198408;48.6
SBO;198409;59.4
SBO;198410;55.4
SBO;198411;57.6
SBO;198412;53.6
SBO;198501;72.0
SBO;198502;40.3
SBO;198503;68.4
SBO;198504;78.1
SBO;198505;48.6
SBO;198506;59.4
SBO;198507;54.0
SBO;198508;71.3
SBO;198509;35.3
SBO;198510;39.6
SBO;198511;63.0
SBO;198512;42.1
SBO;198601;60.1
SBO;198602;74.5
SBO;198603;64.1
SBO;198604;57.6
SBO;198605;81.0
SBO;198606;56.2
SBO;198607;57.2
SBO;198608;50.4
SBO;198609;35.3
SBO;198610;74.2
SBO;198611;63.0
SBO;198612;59.4
SBO;198701;72.0
SBO;198702;42.5
SBO;198703;71.3
SBO;198704;67.3
SBO;198705;86.8
SBO;198706;43.2
SBO;198707;57.6
SBO;198708;54.7
SBO;198709;39.6
SBO;198710;58.0
SBO;198711;65.2
SBO;198712;48.6
SBO;198801;70.6
SBO;198802;84.2
SBO;198803;61.6
SBO;198804;42.5
SBO;198805;40.3
SBO;198806;60.5
SBO;198807;62.6
SBO;198808;54.4
SBO;198809;51.8
SBO;198810;51.8
SBO;198811;84.6
SBO;198812;67.0
SBO;198901;21.6
SBO;198902;55.8
SBO;198903;64.8
SBO;198904;58.3
SBO;198905;61.9
SBO;198906;58.3
SBO;198907;72.4
SBO;198908;64.1
SBO;198909;59.4
SBO;198910;45.7
SBO;198911;52.2
SBO;198912;51.8
SBO;199001;19.8
SBO;199002;58.7
SBO;199003;78.5
SBO;199004;55.1
SBO;199005;40.0
SBO;199006;60.5
SBO;199007;83.2
SBO;199008;58.0
SBO;199009;47.5
SBO;199010;49.7
SBO;199011;62.3
SBO;199012;56.2
SBO;199101;43.6
SBO;199102;54.4
SBO;199103;50.0
SBO;199104;71.6
SBO;199105;58.7
SBO;199106;64.8
SBO;199107;46.1
SBO;199108;58.7
SBO;199109;50.4
SBO;199110;61.2
SBO;199111;71.6
SBO;199112;69.8
SBO;199201;22.0
SBO;199202;75.2
SBO;199203;58.7
SBO;199204;62.6
SBO;199205;56.5
SBO;199206;69.8
SBO;199207;39.2
SBO;199208;76.7
SBO;199209;62.3
SBO;199210;55.4
SBO;199211;47.9
SBO;199212;83.2
SBO;199301;59.0
SBO;199302;70.2
SBO;199303;64.4
SBO;199304;50.8
SBO;199305;47.5
SBO;199306;62.6
SBO;199307;74.5
SBO;199308;55.8
SBO;199309;51.1
SBO;199310;63.7
SBO;199311;50.8
SBO;199312;92.9
SBO;199401;81.0
SBO;199402;34.6
SBO;199403;68.4
SBO;199404;52.6
SBO;199405;60.8
SBO;199406;66.2
SBO;199407;60.8
SBO;199408;82.8
SBO;199409;49.7
SBO;199410;40.0
SBO;199411;62.3
SBO;199412;43.6
SBO;199501;76.7
SBO;199502;64.8
SBO;199503;90.4
SBO;199504;60.1
SBO;199505;60.8
SBO;199506;54.0
SBO;199507;50.4
SBO;199508;56.9
SBO;199509;74.2
SBO;199510;21.6
SBO;199511;70.6
SBO;199512;43.9
SBO;199601;29.5
SBO;199602;58.7
SBO;199603;56.5
SBO;199604;38.5
SBO;199605;54.7
SBO;199606;64.8
SBO;199607;53.3
SBO;199608;39.6
SBO;199609;52.6
SBO;199610;46.8
SBO;199611;64.4
SBO;199612;58.0
SBO;199701;21.6
SBO;199702;80.3
SBO;199703;78.5
SBO;199704;70.2
SBO;199705;91.4
SBO;199706;40.3
SBO;199707;50.8
SBO;199708;52.2
SBO;199709;33.5
SBO;199710;48.2
SBO;199711;43.9
SBO;199712;56.2
SBO;199801;69.5
SBO;199802;49.0
SBO;199803;74.9
SBO;199804;53.6
SBO;199805;47.2
SBO;199806;71.3
SBO;199807;60.1
SBO;199808;58.3
SBO;199809;58.7
SBO;199810;54.0
SBO;199811;68.8
SBO;199812;55.4
SBO;199901;66.6
SBO;199902;62.3
SBO;199903;60.8
SBO;199904;50.8
SBO;199905;42.5
SBO;199906;59.0
SBO;199907;55.8
SBO;199908;48.2
SBO;199909;61.9
SBO;199910;49.0
SBO;199911;73.4
SBO;199912;74.2
SBO;200001;55.1
SBO;200002;52.9
SBO;200003;64.4
SBO;200004;42.1
SBO;200005;38.9
SBO;200006;40.7
SBO;200007;46.8
SBO;200008;38.5
SBO;200009;43.2
SBO;200010;43.6
SBO;200011;41.8
SBO;200012;35.3
SBO;200101;37.1
SBO;200102;42.8
SBO;200103;43.2
SBO;200104;40.3
SBO;200105;45.7
SBO;200106;51.8
SBO;200107;81.7
SBO;200108;77.0
SBO;200109;56.2
SBO;200110;45.4
SBO;200111;53.3
SBO;200112;65.2
SBO;200201;25.9
SBO;200202;65.5
SBO;200203;59.0
SBO;200204;37.4
SBO;200205;62.6
SBO;200206;65.9
SBO;200207;56.9
SBO;200208;42.1
SBO;200209;41.4
SBO;200210;40.7
SBO;200211;54.4
SBO;200212;24.5
SBO;200301;45.4
SBO;200302;48.6
SBO;200303;45.7
SBO;200304;54.7
SBO;200305;54.4
SBO;200306;57.6
SBO;200307;73.4
SBO;200308;58.3
SBO;200309;41.8
SBO;200310;60.1
SBO;200311;51.1
SBO;200312;52.6
SBO;200401;46.8
SBO;200402;64.1
SBO;200403;49.7
SBO;200404;47.2
SBO;200405;43.6
SBO;200406;44.6
SBO;200407;46.4
SBO;200408;67.3
SBO;200409;53.6
SBO;200410;49.0
SBO;200411;75.6
SBO;200412;63.4
SBO;200501;50.0
SBO;200502;52.6
SBO;200503;41.8
SBO;200504;41.0
SBO;200505;48.6
SBO;200506;48.2
SBO;200507;60.1
SBO;200508;47.9
SBO;200509;37.1
SBO;200510;31.3
SBO;200511;39.2
SBO;200512;50.4
SBO;200601;32.0
SBO;200602;36.7
SBO;200603;70.2
SBO;200604;63.0
SBO;200605;60.5
SBO;200606;43.2
SBO;200607;76.7
SBO;200608;55.1
SBO;200609;55.1
SBO;200610;35.3
SBO;200611;42.8
SBO;200612;59.0
SBO;200701;49.3
SBO;200702;32.4
SBO;200703;44.3
SBO;200704;36.0
SBO;200705;51.1
SBO;200706;54.0
SBO;200707;46.8
