 

stn;time;fu3010m1
REH;201508;55.1
REH;201509;60.5
REH;201510;49.0
REH;201511;68.4
REH;201512;67.3
REH;201601;87.8
REH;201602;81.0
REH;201603;60.5
REH;201604;56.9
REH;201605;52.9
REH;201606;51.8
REH;201607;45.4
REH;201608;47.2
REH;201609;43.9
REH;201610;41.0
REH;201611;56.2
REH;201612;40.0
REH;201701;62.3
REH;201702;90.7
REH;201703;64.4
REH;201704;50.4
REH;201705;51.1
REH;201706;60.5
REH;201707;69.5
REH;201708;75.6
REH;201709;68.8
REH;201710;66.2
REH;201711;71.3
REH;201712;82.1
REH;201801;99.4
REH;201802;54.4
REH;201803;53.3
REH;201804;74.9
REH;201805;58.7
REH;201806;51.1
REH;201807;55.8
REH;201808;90.7
REH;201809;75.2
REH;201810;64.4
REH;201811;41.4
REH;201812;88.2
REH;201901;63.4
REH;201902;75.2
REH;201903;88.2
REH;201904;69.8
REH;201905;64.1
REH;201906;63.4
REH;201907;72.0
REH;201908;54.7
REH;201909;55.1
REH;201910;60.1
REH;201911;69.1
REH;201912;79.2
REH;202001;123.1
REH;202002;128.5
REH;202003;112.7
REH;202004;55.8
REH;202005;65.5
REH;202006;74.2
REH;202007;56.2
REH;202008;73.8
REH;202009;66.2
REH;202010;74.2
REH;202011;52.6
REH;202012;79.6
REH;202101;80.3
REH;202102;67.0
REH;202103;104.4
