 

stn;time;fu3010m1
HAI;199802;76.0
HAI;199803;105.5
HAI;199804;76.0
HAI;199805;70.2
HAI;199806;66.6
HAI;199807;66.6
HAI;199808;74.2
HAI;199809;74.2
HAI;199810;107.3
HAI;199811;96.5
HAI;199812;74.2
HAI;199901;83.2
HAI;199902;77.8
HAI;199903;74.2
HAI;199904;66.6
HAI;199905;46.4
HAI;199906;85.3
HAI;199907;51.8
HAI;199908;68.4
HAI;199909;64.8
HAI;199910;66.6
HAI;199911;50.0
HAI;199912;133.2
HAI;200001;61.2
HAI;200002;64.8
HAI;200003;68.4
HAI;200004;66.6
HAI;200005;61.2
HAI;200006;61.2
HAI;200007;59.4
HAI;200008;74.2
HAI;200009;64.8
HAI;200010;51.8
HAI;200011;61.2
HAI;200012;70.2
HAI;200101;83.2
HAI;200102;161.3
HAI;200103;81.4
HAI;200104;68.4
HAI;200105;68.4
HAI;200106;55.4
HAI;200107;70.2
HAI;200108;48.2
HAI;200109;64.8
HAI;200110;50.0
HAI;200111;83.2
HAI;200112;92.5
HAI;200201;103.7
HAI;200202;103.7
HAI;200203;85.3
HAI;200204;77.8
HAI;200205;48.2
HAI;200206;50.0
HAI;200207;68.4
HAI;200208;51.8
HAI;200209;50.0
HAI;200210;96.5
HAI;200211;74.2
HAI;200212;79.6
HAI;200301;111.2
HAI;200302;68.4
HAI;200303;55.4
HAI;200304;81.4
HAI;200305;77.8
HAI;200306;66.6
HAI;200307;74.2
HAI;200308;77.8
HAI;200309;53.6
HAI;200310;92.5
HAI;200311;61.2
HAI;200312;81.4
HAI;200401;85.3
HAI;200402;85.3
HAI;200403;72.4
HAI;200404;72.4
HAI;200405;77.8
HAI;200406;61.2
HAI;200407;74.2
HAI;200408;77.8
HAI;200409;70.2
HAI;200410;70.2
HAI;200411;96.5
HAI;200412;88.9
HAI;200501;96.5
HAI;200502;85.3
HAI;200503;77.8
HAI;200504;64.8
HAI;200505;77.8
HAI;200506;81.4
HAI;200507;81.4
HAI;200508;63.0
HAI;200509;53.6
HAI;200510;48.2
HAI;200511;68.4
HAI;200512;92.5
HAI;200601;74.2
HAI;200602;81.4
HAI;200603;81.4
HAI;200604;70.2
HAI;200605;85.3
HAI;200606;72.4
HAI;200607;100.1
HAI;200608;70.2
HAI;200609;48.2
HAI;200610;88.9
HAI;200611;77.8
HAI;200612;70.2
HAI;200701;118.4
HAI;200702;81.4
HAI;200703;100.1
HAI;200704;55.4
HAI;200705;92.5
HAI;200706;96.5
HAI;200707;68.4
HAI;200708;51.8
HAI;200709;66.6
HAI;200710;63.0
HAI;200711;88.9
HAI;200712;100.1
HAI;200801;85.3
HAI;200802;77.8
HAI;200803;116.6
HAI;200804;70.2
HAI;200805;48.2
HAI;200806;68.4
HAI;200807;66.6
HAI;200808;114.8
HAI;200809;57.2
HAI;200810;64.8
HAI;200811;83.2
HAI;200812;90.7
HAI;200901;83.2
HAI;200902;103.7
HAI;200903;83.2
HAI;200904;74.2
HAI;200905;107.3
HAI;200906;66.6
HAI;200907;59.4
HAI;200908;55.4
HAI;200909;77.8
HAI;200910;77.8
HAI;200911;103.7
HAI;200912;74.2
HAI;201001;68.4
HAI;201002;96.1
HAI;201003;81.4
HAI;201004;66.6
HAI;201005;66.6
HAI;201006;55.4
HAI;201007;66.6
HAI;201008;64.8
HAI;201009;48.2
HAI;201010;51.1
HAI;201011;78.8
HAI;201012;72.7
HAI;201101;63.7
HAI;201102;49.0
HAI;201103;59.4
HAI;201104;43.9
HAI;201105;47.5
HAI;201106;85.3
HAI;201107;52.6
HAI;201108;58.7
HAI;201109;50.4
HAI;201110;46.8
HAI;201111;40.0
HAI;201112;102.2
