 

stn;time;fu3010m1
IYPTR;200907;61.6
IYPTR;200908;62.6
IYPTR;200909;51.5
IYPTR;200910;63.7
IYPTR;200911;54.0
IYPTR;200912;71.3
IYPTR;201001;71.3
IYPTR;201002;58.0
IYPTR;201003;58.3
IYPTR;201004;59.4
IYPTR;201005;69.1
IYPTR;201006;59.8
IYPTR;201007;49.0
IYPTR;201008;50.0
IYPTR;201009;54.0
IYPTR;201010;43.6
IYPTR;201011;47.2
IYPTR;201012;56.2
IYPTR;201101;45.0
IYPTR;201102;65.9
IYPTR;201103;66.6
IYPTR;201104;74.5
IYPTR;201105;55.4
IYPTR;201106;49.3
IYPTR;201107;65.5
IYPTR;201108;46.8
IYPTR;201109;61.2
IYPTR;201110;61.2
IYPTR;201111;45.7
IYPTR;201112;60.1
IYPTR;201201;89.3
IYPTR;201202;80.6
IYPTR;201203;70.2
IYPTR;201204;60.8
IYPTR;201205;77.8
IYPTR;201206;50.8
IYPTR;201207;62.3
IYPTR;201208;58.0
IYPTR;201209;74.9
IYPTR;201210;65.9
IYPTR;201211;58.0
IYPTR;201212;76.3
IYPTR;201301;64.8
IYPTR;201302;79.6
IYPTR;201303;71.3
IYPTR;201304;63.7
IYPTR;201305;55.8
IYPTR;201306;56.2
IYPTR;201307;54.7
IYPTR;201308;59.0
IYPTR;201309;47.2
IYPTR;201310;52.2
IYPTR;201311;73.8
IYPTR;201312;65.2
IYPTR;201401;64.8
IYPTR;201402;53.6
IYPTR;201403;62.6
IYPTR;201404;47.2
IYPTR;201405;87.1
IYPTR;201406;49.0
IYPTR;201407;47.2
IYPTR;201408;58.3
IYPTR;201409;65.9
IYPTR;201410;92.2
IYPTR;201411;62.6
IYPTR;201412;64.8
IYPTR;201501;63.4
IYPTR;201502;80.3
IYPTR;201503;88.2
IYPTR;201504;56.2
IYPTR;201505;58.0
IYPTR;201506;50.4
IYPTR;201507;50.8
